百度,bai'du
百科,bai'ke
报价,bao'jia
比稿,bi'gao
病毒营销,bing'du'ying'xiao
策划,ce'hua
成本,cheng'ben
传播,chuan'bo
传媒,chuan'mei
创意,chuang'yi
搭建,da'jian
发布,fa'bu
覆盖,fu'gai
服务,fu'wu
公关,gong'guan
公众号,gong'zhong'hao
顾问,gu'wen
广告,guang'gao
广告狗,guang'gao'gou
互动,hu'dong
加班,jia'ban
甲方,jia'fang
监测,jian'ce
简历,jian'li
截稿,jie'gao
解决方案,jie'jue'fang'an
结算,jie'suan
经营,jing'ying
客户,ke'hu
流程,liu'cheng
媒介,mei'jie
媒体沟通,mei'ti'gou'tong
媒体关系,mei'ti'guan'xi
排版,pai'ban
排期,pai'qi
品牌,pin'pai
企业,qi'ye
软文,ruan'wen
社会化营销,she'hui'hua'ying'xiao
设计,she'ji
社群,she'qun
审稿,shen'gao
事件营销,shi'jian'ying'xiao
视频,shi'pin
数据,shu'ju
诉求,su'qiu
提案,ti'an
投放,tou'fang
推广,tui'guang
网络营销,wang'luo'ying'xiao
网站,wang'zhan
微博,wei'bo
维护,wei'hu
微信,wei'xin
文案,wen'an
文章,wen'zhang
线上,xian'shang
线下,xian'xia
消费,xiao'fei
效果,xiao'guo
新媒,xin'mei
新媒体营销,xin'mei'ti'ying'xiao
新闻发布,xin'wen'fa'bu
新闻稿,xin'wen'gao
新闻投放,xin'wen'tou'fang
需求,xu'qiu
宣传,xuan'chuan
乙方,yi'fang
营销,ying'xiao
预览,yu'lan
舆情,yu'qing
预算,yu'suan
运营,yun'ying
执行,zhi'xing
执行力,zhi'xing'li
周期,zhou'qi
作业单,zuo'ye'dan
