班哨,ban'shao
本队,ben'dui
步哨,bu'shao
侧方尖兵,ce'fang'jian'bing
侧方警戒,ce'fang'jing'jie
侧卫,ce'wei
常行军,chang'xing'jun
乘车行军,cheng'che'xing'jun
船队编组梯队,chuan'dui'bian'zu'ti'dui
大休息,da'xiu'xi
大休息地域,da'xiu'xi'di'yu
待运地域,dai'yun'di'yu
单哨,dan'shao
到达时限,dao'da'shi'xian
对空观察哨,dui'kong'guan'cha'shao
对空警戒,dui'kong'jing'jie
复哨,fu'shao
观察员,guan'cha'yuan
海上输送,hai'shang'shu'song
后方尖兵,hou'fang'jian'bing
后方警戒,hou'fang'jing'jie
后卫,hou'wei
混合行军,hun'he'xing'jun
急行军,ji'xing'jun
尖兵,jian'bing
尖兵班,jian'bing'ban
尖兵连,jian'bing'lian
尖兵排,jian'bing'pai
解除警报,jie'chu'jing'bao
紧急集合场,jin'ji'ji'he'chang
紧急警报,jin'ji'jing'bao
警报,jing'bao
警报配系,jing'bao'pei'xi
警报台,jing'bao'tai
警报站,jing'bao'zhan
警戒,jing'jie
警戒线,jing'jie'xian
空中输送,kong'zhong'shu'song
连哨,lian'shao
连续行军,lian'xu'xing'jun
列车编组梯队,lie'che'bian'zu'ti'dui
路标,lu'biao
露营,lu'ying
摩托化行军,mo'tuo'hua'xing'jun
内河输送,nei'he'shu'song
排哨,pai'shao
平行输送,ping'xing'shu'song
前方尖兵,qian'fang'jian'bing
前方警戒,qian'fang'jing'jie
前哨,qian'shao
前哨连,qian'shao'lian
前哨营,qian'shao'ying
前卫,qian'wei
强行军,qiang'xing'jun
哨位,shao'wei
舍营,she'ying
设营队,she'ying'dui
收容队,shou'rong'dui
输送,shu'song
输送计划,shu'song'ji'hua
输送命令,shu'song'ming'ling
输送梯队,shu'song'ti'dui
水路输送,shui'lu'shu'song
搜索组,sou'suo'zu
宿营,su'ying
宿营报告,su'ying'bao'gao
宿营地,su'ying'di
宿营警戒,su'ying'jing'jie
梯次行进,ti'ci'xing'jin
调整地区,tiao'zheng'di'qu
调整勤务,tiao'zheng'qin'wu
调整哨,tiao'zheng'shao
调整指挥所,tiao'zheng'zhi'hui'suo
铁路输送,tie'lu'shu'song
通过时限,tong'guo'shi'xian
徒步行军,tu'bu'xing'jun
完成时限,wan'cheng'shi'xian
向导,xiang'dao
小休息,xiao'xiu'xi
卸载,xie'zai
卸载地域,xie'zai'di'yu
卸载点,xie'zai'dian
卸载计划,xie'zai'ji'hua
卸载顺序,xie'zai'shun'xu
卸载指挥所,xie'zai'zhi'hui'suo
行程,xing'cheng
行进路线,xing'jin'lu'xian
行军,xing'jun
行军报告,xing'jun'bao'gao
行军部署,xing'jun'bu'shu
行军长径,xing'jun'chang'jing
行军出发地区,xing'jun'chu'fa'di'qu
行军出发点,xing'jun'chu'fa'dian
行军地带,xing'jun'di'dai
行军警戒,xing'jun'jing'jie
行军路线,xing'jun'lu'xian
行军路线图,xing'jun'lu'xian'tu
行军命令,xing'jun'ming'ling
行军目的,xing'jun'mu'di
行军速度,xing'jun'su'du
行军梯队,xing'jun'ti'dui
行军调整地点,xing'jun'tiao'zheng'di'dian
行军调整地区,xing'jun'tiao'zheng'di'qu
行军序列,xing'jun'xu'lie
行军纵队,xing'jun'zong'dui
休息日,xiu'xi'ri
巡逻,xun'luo
夜行军,ye'xing'jun
营哨,ying'shao
游动哨,you'dong'shao
预先警报,yu'xian'jing'bao
远程行军,yuan'cheng'xing'jun
运行序列,yun'xing'xu'lie
战备行军,zhan'bei'xing'jun
战斗警戒,zhan'dou'jing'jie
装卸用具,zhuang'xie'yong'ju
装载,zhuang'zai
装载地域,zhuang'zai'di'yu
装载点,zhuang'zai'dian
装载计划,zhuang'zai'ji'hua
装载顺序,zhuang'zai'shun'xu
装载指挥所,zhuang'zai'zhi'hui'suo
综合行军,zong'he'xing'jun
组哨,zu'shao
