杯杯乐,bei'bei'le
并育德才,bing'yu'de'cai
材料科学与工程学院,cai'liao'ke'xue'yu'gong'cheng'xue'yuan
陈嘉庚纪念堂,chen'jia'geng'ji'nian'tang
陈利伟,chen'li'wei
陈明金大楼,chen'ming'jin'da'lou
陈荣仁,chen'rong'ren
陈守仁,chen'shou'ren
陈守仁经管大楼,chen'shou'ren'jing'guan'da'lou
承露泉,cheng'lu'quan
承认教育学院,cheng'ren'jiao'yu'xue'yuan
春启銮,chun'qi'luan
春启銮艺术教学楼,chun'qi'luan'yi'shu'jiao'xue'lou
打锡街,da'xi'jie
大展厅,da'zhan'ting
东街,dong'jie
兑山大学,dui'shan'da'xue
对外汉语,dui'wai'han'yu
多元交融,duo'yuan'jiao'rong
二食,er'shi
法学院,fa'xue'yuan
菲华楼,fei'hua'lou
工商管理学院,gong'shang'guan'li'xue'yuan
公主楼,gong'zhu'lou
古加尼,gu'jia'ni
和而不同,he'er'bu'tong
何厚铧,he'hou'hua
洪祖杭大楼,hong'zu'hang'da'lou
胡睿,hu'rui
华大超市,hua'da'chao'shi
华侨大学,hua'qiao'da'xue
华侨大学董事长,hua'qiao'da'xue'dong'shi'zhang
华文学院,hua'wen'xue'yuan
会通中外,hui'tong'zhong'wai
机电及自动化学院,ji'dian'ji'zi'dong'hua'xue'yuan
季端楼,ji'duan'lou
嘉庚广场,jia'geng'guang'chang
嘉庚纪念堂,jia'geng'ji'nian'tang
建筑学院,jian'zhu'xue'yuan
蒋欣欣,jiang'xin'xin
教锯楼,jiao'ju'lou
教育中心,jiao'yu'zhong'xin
金川,jin'chuan
金川活动中心,jin'chuan'huo'dong'zhong'xin
金莲,jin'lian
进强楼,jin'qiang'lou
靳小泉,jin'xiao'quan
经管,jing'guan
经济管理学院,jing'ji'guan'li'xue'yuan
敬萱堂,jing'xuan'tang
九一路,jiu'yi'lu
可浓,ke'nong
可浓西餐厅,ke'nong'xi'can'ting
宽容论衡,kuan'rong'lun'heng
宽容为本,kuan'rong'wei'ben
赖俊奇,lai'jun'qi
李回咤体育馆,li'hui'zha'ti'yu'guan
李克砌办公楼,li'ke'qi'ban'gong'lou
廖承志,liao'cheng'zhi
旅游学院,lv'you'xue'yuan
美术学院,mei'shu'xue'yuan
梅园,mei'yuan
南苑餐厅,nan'yuan'can'ting
彭惠聪,peng'hui'cong
奇龙,qi'long
七路车,qi'lu'che
侨总,qiao'zong
秋中大道,qiu'zhong'da'dao
秋中湖,qiu'zhong'hu
泉州校区,quan'zhou'xiao'qu
人文与公共管理学院,ren'wen'yu'gong'gong'guan'li'xue'yuan
三食,san'shi
桑梓论坛,sang'zi'lun'tan
桑梓社区,sang'zi'she'qu
商学院,shang'xue'yuan
申辉,shen'hui
十九路车,shi'jiu'lu'che
施良侨科技大楼,shi'liang'qiao'ke'ji'da'lou
十三路车,shi'san'lu'che
数学系,shu'xue'xi
体育部,ti'yu'bu
土木工程学院,tu'mu'gong'cheng'xue'yuan
外国语学院,wai'guo'yu'xue'yuan
王奕民,wang'yi'min
文庙,wen'miao
文学院,wen'xue'yuan
吴彬雄,wu'bin'xiong
吴承业,wu'cheng'ye
舞蹈队,wu'dao'dui
舞蹈学院,wu'dao'xue'yuan
武庙,wu'miao
五十四路车,wu'shi'si'lu'che
西街,xi'jie
西苑餐厅,xi'yuan'can'ting
厦门校区,xia'men'xiao'qu
校董,xiao'dong
小泉,xiao'quan
小展厅,xiao'zhan'ting
谢俊,xie'jun
信息科学与工程学院,xin'xi'ke'xue'yu'gong'cheng'xue'yuan
学生街,xue'sheng'jie
寻根之旅,xun'gen'zhi'lv
杨晓,yang'xiao
一卡通,yi'ka'tong
一食,yi'shi
艺术团,yi'shu'tuan
一校两生,yi'xiao'liang'sheng
一元主导,yi'yuan'zhu'dao
因材施教,yin'cai'shi'jiao
音乐学院,yin'yue'xue'yuan
于祥,yu'xiang
臧龙飞,zang'long'fei
张佳滨,zhang'jia'bin
张向前,zhang'xiang'qian
中山路,zhong'shan'lu
紫荆门,zi'jing'men
紫荆园,zi'jing'yuan
紫藤长廊,zi'teng'chang'lang
紫藤花,zi'teng'hua
