白板,bai'ban
白板笔,bai'ban'bi
板擦,ban'ca
办公,ban'gong
办公耗材,ban'gong'hao'cai
办公家具,ban'gong'jia'ju
办公剪刀,ban'gong'jian'dao
办公沙发,ban'gong'sha'fa
办公设备,ban'gong'she'bei
办公台,ban'gong'tai
办公文教用品代理,ban'gong'wen'jiao'yong'pin'dai'li
办公文教用品加工,ban'gong'wen'jiao'yong'pin'jia'gong
办公用纸,ban'gong'yong'zhi
报表,bao'biao
报刊架,bao'kan'jia
报事贴,bao'shi'tie
保险柜,bao'xian'gui
笔袋,bi'dai
笔记本,bi'ji'ben
笔架,bi'jia
笔类,bi'lei
笔配件,bi'pei'jian
比色皿,bi'se'min
笔筒,bi'tong
便笺,bian'jian
标本模型,biao'ben'mo'xing
裁剪用品,cai'jian'yong'pin
彩喷纸,cai'pen'zhi
裁纸刀,cai'zhi'dao
裁纸机,cai'zhi'ji
尺子,chi'zi
冲印彩扩设备,chong'yin'cai'kuo'she'bei
储物柜,chu'wu'gui
传真机,chuan'zhen'ji
传真纸,chuan'zhen'zhi
磁性板,ci'xing'ban
大班椅,da'ban'yi
大班桌,da'ban'zhuo
打孔机,da'kong'ji
大头针,da'tou'zhen
打印,da'yin
打印机,da'yin'ji
打印机耗材,da'yin'ji'hao'cai
打字机,da'zi'ji
档案袋,dang'an'dai
滴管,di'guan
地球仪,di'qiu'yi
点钞机,dian'chao'ji
电话本,dian'hua'ben
电脑桌,dian'nao'zhuo
订书机,ding'shu'ji
订书针,ding'shu'zhen
二手办公设备,er'shou'ban'gong'she'bei
翻译服务,fan'yi'fu'wu
放大镜,fang'da'jing
粉笔,fen'bi
分光仪,fen'guang'yi
复读机,fu'du'ji
复写纸,fu'xie'zhi
复印机,fu'yin'ji
复印纸,fu'yin'zhi
坩埚,gan'guo
钢笔,gang'bi
固定电话,gu'ding'dian'hua
固体胶,gu'ti'jiao
光电子,guang'dian'zi
光度计,guang'du'ji
光谱仪,guang'pu'yi
光学计量标准器具,guang'xue'ji'liang'biao'zhun'qi'ju
光学及摄像,guang'xue'ji'she'xiang
光学加工机械,guang'xue'jia'gong'ji'xie
光学摄像机,guang'xue'she'xiang'ji
光学相机,guang'xue'xiang'ji
光学仪器,guang'xue'yi'qi
过塑机,guo'su'ji
号码机,hao'ma'ji
黑板,hei'ban
画板,hua'ban
画笔,hua'bi
画布,hua'bu
画夹,hua'jia
画架,hua'jia
画框,hua'kuang
画纸,hua'zhi
幻灯机,huan'deng'ji
会客椅,hui'ke'yi
绘图机,hui'tu'ji
绘图模板,hui'tu'mo'ban
绘图文具,hui'tu'wen'ju
绘图纸,hui'tu'zhi
回形针,hui'xing'zhen
会议桌,hui'yi'zhuo
活动铅笔,huo'dong'qian'bi
活页本,huo'ye'ben
激光器件,ji'guang'qi'jian
记号笔,ji'hao'bi
记事本,ji'shi'ben
计算器,ji'suan'qi
集邮簿,ji'you'bu
夹子,jia'zi
浆糊,jiang'hu
奖品,jiang'pin
讲台,jiang'tai
教鞭,jiao'bian
胶带座,jiao'dai'zuo
胶卷,jiao'juan
胶片,jiao'pian
胶水,jiao'shui
教学模型,jiao'xue'mo'xing
教学用具,jiao'xue'yong'ju
教育教学软件,jiao'yu'jiao'xue'ruan'jian
胶粘用品,jiao'zhan'yong'pin
镜架配件,jing'jia'pei'jian
镜头,jing'tou
经纬仪,jing'wei'yi
酒精灯,jiu'jing'deng
卷笔刀,juan'bi'dao
考勤机,kao'qin'ji
课桌椅,ke'zhuo'yi
刻字机,ke'zi'ji
空白录像带,kong'bai'lu'xiang'dai
库存办公,ku'cun'ban'gong
会计用品,kuai'ji'yong'pin
框架眼镜,kuang'jia'yan'jing
棱镜,leng'jing
练习本,lian'xi'ben
量杯,liang'bei
量筒,liang'tong
录像机,lu'xiang'ji
绿板,lv'ban
滤光片,lv'guang'pian
滤色片,lv'se'pian
毛笔,mao'bi
美工刀,mei'gong'dao
美术颜料,mei'shu'yan'liao
美术用品,mei'shu'yong'pin
描图,miao'tu
名片盒,ming'pian'he
墨盒水,mo'he'shui
墨水,mo'shui
内页,nei'ye
屏风,ping'feng
凭证,ping'zheng
器材,qi'cai
其他办公家具,qi'ta'ban'gong'jia'ju
其他办公用纸,qi'ta'ban'gong'yong'zhi
其他笔类,qi'ta'bi'lei
其他簿,qi'ta'bu
其他裁剪用品,qi'ta'cai'jian'yong'pin
其他打印机耗材,qi'ta'da'yin'ji'hao'cai
其他光学仪器,qi'ta'guang'xue'yi'qi
其他绘图文具,qi'ta'hui'tu'wen'ju
其他教学模型,qi'ta'jiao'xue'mo'xing
其他胶粘用品,qi'ta'jiao'zhan'yong'pin
其他会计用品,qi'ta'kuai'ji'yong'pin
其他美术用品,qi'ta'mei'shu'yong'pin
其他摄像器材,qi'ta'she'xiang'qi'cai
其他摄影器材,qi'ta'she'ying'qi'cai
其他实验室用品,qi'ta'shi'yan'shi'yong'pin
其他收纳用品,qi'ta'shou'na'yong'pin
其他书写板,qi'ta'shu'xie'ban
