暗黑的傀儡师,an'hei'de'kui'lei'shi
安乐公,an'le'gong
八斗之才,ba'dou'zhi'cai
八卦阵,ba'gua'zhen
八号位,ba'hao'wei
八门金锁,ba'men'jin'suo
八人局,ba'ren'ju
八血,ba'xue
霸业的继承者,ba'ye'de'ji'cheng'zhe
霸业未成未成啊,ba'ye'wei'cheng'wei'cheng'a
八阵,ba'zhen
百步穿杨,bai'bu'chuan'yang
白马将军,bai'ma'jiang'jun
白马先锋,bai'ma'xian'feng
白马义从,bai'ma'yi'cong
白衣渡江,bai'yi'du'jiang
拜印,bai'yin
白银狮子,bai'yin'shi'zi
搬石砸脚,ban'shi'za'jiao
爆发,bao'fa
暴发户,bao'fa'hu
暴怒标记,bao'nu'biao'ji
暴怒的战神,bao'nu'de'zhan'shen
暴虐,bao'nue
暴死,bao'si
被兵粮,bei'bing'liang
被寸,bei'cun
悲歌,bei'ge
被看穿了吗,bei'kan'chuan'le'ma
被乐,bei'le
背水一战,bei'shui'yi'zhan
崩坏,beng'huai
闭月,bi'yue
标准版,biao'zhun'ban
标准包,biao'zhun'bao
标准场,biao'zhun'chang
别救,bie'jiu
濒死状态,bin'si'zhuang'tai
兵不血刃,bing'bu'xue'ren
秉公无私,bing'gong'wu'si
兵精粮足,bing'jing'liang'zu
兵粮寸断,bing'liang'cun'duan
兵粮男,bing'liang'nan
秉忠贞之志守谦退之节,bing'zhong'zhen'zhi'zhi'shou'qian'tui'zhi'jie
伯符我去了,bo'fu'wo'qu'le
薄幸的美人,bo'xing'de'mei'ren
不得不服老了,bu'de'bu'fu'lao'le
不可能,bu'ke'neng
步练师,bu'lian'shi
补牌,bu'pai
不屈,bu'qu
不屈牌,bu'qu'pai
不同花色,bu'tong'hua'se
不同颜色,bu'tong'yan'se
不我还不可以死,bu'wo'hai'bu'ke'yi'si
补益,bu'yi
不遗余力,bu'yi'yu'li
猜猜看啊,cai'cai'kan'a
蔡文姬,cai'wen'ji
苍天已死黄天当立,cang'tian'yi'si'huang'tian'dang'li
曹操,cao'cao
曹丕,cao'pi
曹仁,cao'ren
草头天子,cao'tou'tian'zi
曹彰,cao'zhang
曹植,cao'zhi
拆兵粮,chai'bing'liang
拆盾,chai'dun
拆光,chai'guang
拆乐,chai'le
拆马,chai'ma
拆手牌,chai'shou'pai
拆武器,chai'wu'qi
常胜将军,chang'sheng'jiang'jun
超世之英杰,chao'shi'zhi'ying'jie
陈宫,chen'gong
趁虚而入,chen'xu'er'ru
程普,cheng'pu
赤壁的火神,chi'bi'de'huo'shen
赤壁的妖术师,chi'bi'de'yao'shu'shi
赤胆忠心,chi'dan'zhong'xin
持久战,chi'jiu'zhan
迟暮的丞相,chi'mu'de'cheng'xiang
吃桃,chi'tao
赤兔,chi'tu
吃我一戟,chi'wo'yi'ji
冲阵,chong'zhen
重铸,chong'zhu
仇恨值,chou'hen'zhi
抽取,chou'qu
初尝胜果,chu'chang'sheng'guo
初出茅庐,chu'chu'mao'lu
初级杀手,chu'ji'sha'shou
初来乍到,chu'lai'zha'dao
出牌,chu'pai
出牌阶段,chu'pai'jie'duan
出杀,chu'sha
出闪,chu'shan
初试身手,chu'shi'shen'shou
此火可助我军大获全胜,ci'huo'ke'zhu'wo'jun'da'huo'quan'sheng
刺美人,ci'mei'ren
此乃驱虎吞狼之计,ci'nai'qu'hu'tun'lang'zhi'ji
雌雄双股剑,ci'xiong'shuang'gu'jian
大都督,da'du'du
大汉天下已半入我手,da'han'tian'xia'yi'ban'ru'wo'shou
大将,da'jiang
大将军,da'jiang'jun
打酱油的,da'jiang'you'de
大乔,da'qiao
大事化小,da'shi'hua'xiao
打铁匠,da'tie'jiang
大宛,da'wan
大雾,da'wu
大雾标记,da'wu'biao'ji
大姨妈,da'yi'ma
大丈夫当带三尺之剑立不世之功,da'zhang'fu'dang'dai'san'chi'zhi'jian'li'bu'shi'zhi'gong
啖酪,dan'lao
单骑,dan'qi
单挑,dan'tiao
当前体力,dang'qian'ti'li
悼良会之永绝兮哀一逝而异乡,dao'liang'hui'zhi'yong'jue'xi'ai'yi'shi'er'yi'xiang
刀枪不入,dao'qiang'bu'ru
邓艾,deng'ai
的卢,di'lu
缔盟,di'meng
点数,dian'shu
典韦,dian'wei
貂蝉,diao'chan
雕虫小计,diao'chong'xiao'ji
掉上限,diao'shang'xian
掉线,diao'xian
掉血,diao'xue
洞察一切,dong'cha'yi'qie
董卓,dong'zhuo
独断的外交家,du'duan'de'wai'jiao'jia
笃烈之士,du'lie'zhi'shi
