阿里关,a'li'guan
阿莲,a'lian
隘巷,ai'xiang
白沙仑,bai'sha'lun
宝来,bao'lai
宝隆村,bao'long'cun
保宁,bao'ning
宝山村,bao'shan'cun
北岭村,bei'ling'cun
菜寮,cai'liao
草水,cao'shui
陈厝,chen'cuo
成功新村,cheng'gong'xin'cun
澄清湖,cheng'qing'hu
崇德,chong'de
大湖,da'hu
大坑里,da'keng'li
大寮,da'liao
大社,da'she
大树,da'shu
顶眉,ding'mei
顶庄,ding'zhuang
多纳村,duo'na'cun
枋寮,fang'liao
凤鸣村,feng'ming'cun
佛光山,fo'guang'shan
福安,fu'an
复兴村,fu'xing'cun
岗山头,gang'shan'tou
冈山镇,gang'shan'zhen
港嘴,gang'zui
高雄县,gao'xiong'xian
高中村,gao'zhong'cun
公馆子,gong'guan'zi
姑山村,gu'shan'cun
广林,guang'lin
广兴,guang'xing
海埔,hai'pu
红花子,hong'hua'zi
后庄,hou'zhuang
湖内,hu'nei
吉洋,ji'yang
甲仙,jia'xian
嘉兴里,jia'xing'li
尖山,jian'shan
尖山村,jian'shan'cun
旧社,jiu'she
坑内,keng'nei
老浓,lao'nong
林园,lin'yuan
岭口,ling'kou
刘厝里,liu'cuo'li
六龟,liu'gui
龙肚,long'du
路竹,lu'zhu
茂林,mao'lin
梅兰村,mei'lan'cun
美浓镇,mei'nong'zhen
面前埔,mian'qian'pu
民生村,min'sheng'cun
民族村,min'zu'cun
木栅,mu'zha
南山,nan'shan
南玉山,nan'yu'shan
内湖,nei'hu
内门,nei'men
鸟松,niao'song
农公,nong'gong
七老爷,qi'lao'ye
旗山镇,qi'shan'zhen
旗尾,qi'wei
茄定,qie'ding
仁美村,ren'mei'cun
仁武,ren'wu
三民,san'min
森涛,sen'tao
杉林,sha'lin
杉林村,sha'lin'cun
扇平,shan'ping
石安村,shi'an'cun
石内,shi'nei
手巾寮,shou'jin'liao
潭头村,tan'tou'cun
桃源,tao'yuan
田寮,tian'liao
万山村,wan'shan'cun
尾庄,wei'zhuang
五甲,wu'jia
乌林,wu'lin
溪埔,xi'pu
西山村,xi'shan'cun
下坑村,xia'keng'cun
下寮,xia'liao
小林,xiao'lin
新厝村,xin'cuo'cun
新发村,xin'fa'cun
新开,xin'kai
新寮,xin'liao
新兴村,xin'xing'cun
兴龙村,xing'long'cun
兴山村,xing'shan'cun
燕巢,yan'chao
盐田村,yan'tian'cun
义和村,yi'he'cun
营前,ying'qian
永安,yong'an
玉库,yu'ku
樟山村,zhang'shan'cun
中寮,zhong'liao
中林,zhong'lin
中路村,zhong'lu'cun
中坛,zhong'tan
中芸,zhong'yun
竹后村,zhu'hou'cun
梓官,zi'guan
紫竹寺,zi'zhu'si
