暗杠,an'gang
暗坎,an'kan
暗三刻,an'san'ke
八饼,ba'bing
八圈,ba'quan
八条,ba'tiao
八万,ba'wan
白板,bai'ban
百万石,bai'wan'dan
宝牌,bao'pai
报牌,bao'pai
报听,bao'ting
北风,bei'feng
北风圈,bei'feng'quan
边张,bian'zhang
补花,bu'hua
不求人,bu'qiu'ren
长城,chang'cheng
吃牌,chi'pai
吃碰杠,chi'peng'gang
吃张,chi'zhang
筹码,chou'ma
抽头,chou'tou
出铳,chu'chong
出张,chu'zhang
搓牌,cuo'pai
大饼,da'bing
大和,da'he
大满贯,da'man'guan
大三元,da'san'yuan
大四喜,da'si'xi
大于五,da'yu'wu
单钓,dan'diao
单钓将,dan'diao'jiang
单听,dan'ting
低番,di'fan
底分,di'fen
地和,di'he
地和,di'hu
底牌,di'pai
点和,dian'hu
点炮,dian'pao
电视机,dian'shi'ji
吊牌,diao'pai
东北麻将,dong'bei'ma'jiang
东风,dong'feng
东风圈,dong'feng'quan
断幺,duan'yao
断幺九,duan'yao'jiu
对对和,dui'dui'hu
对对胡,dui'dui'hu
对门,dui'men
对碰,dui'peng
对子,dui'zi
多张,duo'zhang
二杯口,er'bei'kou
二倍满,er'bei'man
二饼,er'bing
二人麻将,er'ren'ma'jiang
二条,er'tiao
二万,er'wan
二五八,er'wu'ba
二五八将,er'wu'ba'jiang
发展体育运动,fa'zhan'ti'yu'yun'dong
罚张,fa'zhang
番种,fan'zhong
放枪,fang'qiang
风牌,feng'pai
风一色,feng'yi'se
杠后开花,gang'hou'kai'hua
杠上花,gang'shang'hua
杠上开花,gang'shang'kai'hua
跟牌,gen'pai
广林,guang'lin
广林圣手,guang'lin'sheng'shou
国士无双,guo'shi'wu'shuang
海底捞月,hai'di'lao'yue
和绝张,he'jue'zhang
红中,hong'zhong
和绝张,hu'jue'zhang
和牌,hu'pai
花龙,hua'long
花牌,hua'pai
花七对,hua'qi'dui
荒牌,huang'pai
黄庄,huang'zhuang
混老头,hun'lao'tou
混全带幺,hun'quan'dai'yao
混三步,hun'san'bu
混三节,hun'san'jie
混四步,hun'si'bu
混四节,hun'si'jie
混幺九,hun'yao'jiu
混一色,hun'yi'se
基本分,ji'ben'fen
鸡和,ji'hu
季花,ji'hua
夹张,jia'zhang
箭刻,jian'ke
箭牌,jian'pai
将牌,jiang'pai
进张,jin'zhang
九饼,jiu'bing
九莲宝灯,jiu'lian'bao'deng
九莲灯,jiu'lian'deng
局分,ju'fen
绝张,jue'zhang
坎张,kan'zhang
靠张,kao'zhang
刻子,ke'zi
扣牌,kou'pai
赖子,lai'zi
拦和,lan'he
老牛吃嫩草,lao'niu'chi'nen'cao
老少,lao'shao
老少副,lao'shao'fu
老少户,lao'shao'hu
老少配,lao'shao'pei
粒粒幺,li'li'yao
立直,li'zhi
立直一发,li'zhi'yi'fa
连六,lian'liu
连七对,lian'qi'dui
连中三元,lian'zhong'san'yuan
连庄,lian'zhuang
六饼,liu'bing
六连,liu'lian
六连张,liu'lian'zhang
六条,liu'tiao
六万,liu'wan
轮流坐庄,lun'liu'zuo'zhuang
