俺正搁街上走劳嘞,an'zheng'ge'jie'shang'zou'lao'lei
巴不得,ba'bu'de
巴不留得,ba'bu'liu'de
扒蹅,ba'cha
扒蹅子命,ba'cha'zi'ming
八下里,ba'xia'li
白几,bai'ji
白仨裤子,bai'sa'ku'zi
白子,bai'zi
半撅日,ban'jue'ri
半拉橛子,ban'la'jue'zi
半拉绝子,ban'la'jue'zi
板熊来,ban'xiong'lai
膀,bang
包坟,bao'fen
苞谷,bao'gu
被褡子,bei'da'zi
背生子儿,bei'sheng'zi'er
褊,bian
别拌着,bie'ban'zhe
鳖虎子,bie'hu'zi
冰凉块,bing'liang'kuai
冰凉条子,bing'liang'tiao'zi
冰凌条儿,bing'ling'tiao'er
不得地,bu'de'di
不咋味儿,bu'za'wei'er
不在了,bu'zai'le
草驴,cao'lv
差劲,cha'jin
岔裤,cha'ku
差气,cha'qi
长虫,chang'chong
抻剂子,chen'ji'zi
撑杆子,cheng'gan'zi
吃妈头,chi'ma'tou
眵目糊,chi'mu'hu
齿实,chi'shi
冲喜,chong'xi
虫蚁子,chong'yi'zi
促织,cu'zhi
窜哪,cuan'na
矬,cuo
搓板,cuo'ban
大椒,da'jiao
打墓,da'mu
刀刀,dao'dao
捣咕捣咕,dao'gu'dao'gu
倒劲,dao'jing
得劲,de'jin
等一吆会,deng'yi'yao'hui
嗲,dia
屌破比,diao'po'bi
钉铃搭挂,ding'ling'da'gua
丢了,diu'le
冬笼,dong'long
冬笼条子,dong'long'tiao'zi
斗你知道里多,dou'ni'zhi'dao'li'duo
都徐吊哩很,dou'xu'diao'li'hen
肚跻子,du'ji'zi
多迨劲,duo'dai'jing
额勒盖子,e'le'gai'zi
恶水,e'shui
恶诉,e'su
二不斗,er'bu'dou
耳朵边子,er'duo'bian'zi
耳朵唇子,er'duo'chun'zi
二赶子,er'gan'zi
二胡,er'hu
二米子饭,er'mi'zi'fan
二模头饭,er'mo'tou'fan
二棚楼,er'peng'lou
二性子头,er'xing'zi'tou
贩蛋,fan'dan
佛话,fo'hua
孵小鸡儿,fu'xiao'ji'er
胳肢窝,ga'zhi'wo
盖体被子,gai'ti'bei'zi
盖体页子,gai'ti'ye'zi
干店,gan'dian
干饭疙巴,gan'fan'ge'ba
干哕,gan'yue
膏,gao
胳膊拐子,ge'bo'guai'zi
胳拉拐子,ge'la'guai'zi
胳拉窝,ge'la'wo
胳拉肢,ge'la'zhi
格佬子,ge'lao'zi
虼蚤,ge'zao
哽声,geng'sheng
狗鳖,gou'bie
鼓顶拍子,gu'ding'pai'zi
咕哝咕哝,gu'nong'gu'nong
褂子,gua'zi
拐子,guai'zi
管,guan
灌肠,guan'chang
管护,guan'hu
光滚,guang'gun
光滚的,guang'gun'de
闺女,gui'nv
过劲,guo'jin
锅壳啷子,guo'ke'lang'zi
锅脸,guo'lian
锅拍子,guo'pai'zi
过去了,guo'qu'le
锅屋里,guo'wu'li
哈痒,ha'yang
汗子,han'zi
黑雀子,hei'qiao'zi
横,heng
红眼马愣,hong'yan'ma'leng
后脑勺,hou'nao'shao
后脑窝子,hou'nao'wo'zi
猴头,hou'tou
胡吊扯,hu'diao'che
胡拉,hu'la
煳了,hu'le
葫芦管儿,hu'lu'guan'er
滑蛋,hua'dan
花花搭搭,hua'hua'da'da
花青青,hua'qing'qing
黄不哜的,huang'bu'ji'de
毁,hui
混子,hun'zi
攉,huo
火明虫,huo'ming'chong
叽咕哩狠,ji'gu'li'hen
脊梁沟子,ji'liang'gou'zi
几下里,ji'xia'li
鲫鱼巴子,ji'yu'ba'zi
家后,jia'hou
尖,jian
糨,jiang
江米,jiang'mi
铰,jiao
截老瘴,jie'lao'zhang
解灵柩,jie'ling'jiu
诘牙,jie'ya
褯子,jie'zi
今儿个,jin'er'ge
筋壮,jin'zhuang
景,jing
静板,jing'ban
炯,jiong
就不哩,jiu'bu'li
酒米,jiu'mi
绝户头,jue'hu'tou
坎肩儿,kan'jian'er
看你长哩焉,kan'ni'chang'li'yan
坷拉头子,ke'la'tou'zi
骒马,ke'ma
咳嗓子嗡,ke'sang'zi'weng
吭声,keng'sheng
抠,kou
口哩狠,kou'li'hen
枯缩,ku'suo
枯缩纹,ku'suo'wen
拉扒开腿,la'ba'kai'tui
辣疙瘩,la'ge'da
癞蟆猴子,lai'ma'hou'zi
揽满食,lan'man'shi
郎猫,lang'mao
老表,lao'biao
老鸹蛋皮子,lao'gua'dan'pi'zi
老拐子,lao'guai'zi
老咶,lao'huai
老犍,lao'jian
老了,lao'le
老生子,lao'sheng'zi
老洼子,lao'wa'zi
老窝窝,lao'wo'wo
老丈母爹,lao'zhang'mu'die
老丈母娘,lao'zhang'mu'niang
楞拉巴哜的,leng'la'ba'ji'de
楞拉瓜哜的,leng'la'gua'ji'de
愣子,leng'zi
利亮,li'liang
脸布,lian'bu
莲花豆儿,lian'hua'dou'er
两岔里,liang'cha'li
撩,liao
淋肩子,lin'jian'zi
溜,liu
