白云石,bai'yun'shi
搬离,ban'li
搬移,ban'yi
保护气体,bao'hu'qi'ti
保护气体冷却的出口唇板,bao'hu'qi'ti'leng'que'de'chu'kou'chun'ban
保温砖,bao'wen'zhuan
玻璃带起跳点,bo'li'dai'qi'tiao'dian
玻璃水,bo'li'shui
侧壁石墨衬,ce'bi'shi'mo'chen
拆除,chai'chu
长石,chang'shi
池壁,chi'bi
池底,chi'di
抽力,chou'li
出口唇板,chu'kou'chun'ban
出口端,chu'kou'duan
出口横梁,chu'kou'heng'liang
纯碱,chun'jian
次级电缆,ci'ji'dian'lan
错缝砖,cuo'feng'zhuan
大碹,da'xuan
点火,dian'huo
电极侧插式,dian'ji'ce'cha'shi
电极底插式,dian'ji'di'cha'shi
电接线排,dian'jie'xian'pai
电缆,dian'lan
电熔窑,dian'rong'yao
电视监控系统,dian'shi'jian'kong'xi'tong
吊杆,diao'gan
吊碹,diao'xuan
多孔硅砖,duo'kong'gui'zhuan
反碹,fan'xuan
放玻璃水,fang'bo'li'shui
放玻璃水池,fang'bo'li'shui'chi
放玻璃水孔,fang'bo'li'shui'kong
放锡,fang'xi
放下截流闸板,fang'xia'jie'liu'zha'ban
风管,feng'guan
风管报警,feng'guan'bao'jing
风机,feng'ji
风冷,feng'leng
蜂窝状砖,feng'wo'zhuang'zhuan
浮法玻璃带,fu'fa'bo'li'dai
浮法玻璃窑,fu'fa'bo'li'yao
辅助控制盘,fu'zhu'kong'zhi'pan
钢结构,gang'jie'gou
锆刚玉砖,gao'gang'yu'zhuan
高架冷却器,gao'jia'leng'que'qi
隔离伐,ge'li'fa
铬镁砖,ge'mei'zhuan
格子体,ge'zi'ti
格子砖,ge'zi'zhuan
挂钩砖,gua'gou'zhuan
关闭锡槽,guan'bi'xi'cao
硅藻土保温砖,gui'zao'tu'bao'wen'zhuan
硅砖,gui'zhuan
横焰窑,heng'yan'yao
厚度,hou'du
后退火区,hou'tui'huo'qu
换热器式单元窑,huan're'qi'shi'dan'yuan'yao
汇流带,hui'liu'dai
混合料,hun'he'liao
火焰,huo'yan
加热元件,jia're'yuan'jian
检查,jian'cha
将拉边器置于板面上,jiang'la'bian'qi'zhi'yu'ban'mian'shang
搅拌器,jiao'ban'qi
金属制,jin'shu'zhi
烤窑,kao'yao
控制伐,kong'zhi'fa
拉边机系统,la'bian'ji'xi'tong
拉边器,la'bian'qi
冷修,leng'xiu
料仓,liao'cang
料斗,liao'dou
流道,liu'dao
流道控制闸板,liu'dao'kong'zhi'zha'ban
流道上部平碹,liu'dao'shang'bu'ping'xuan
炉条碹,lu'tiao'xuan
炉腰,lu'yao
炉腰池墙,lu'yao'chi'qiang
炉腰山墙,lu'yao'shan'qiang
螺栓,luo'shuan
码格子砖,ma'ge'zi'zhuan
马蹄型焰窑,ma'ti'xing'yan'yao
芒硝,mang'xiao
煤粉,mei'fen
镁砖,mei'zhuan
密封挡坎,mi'feng'dang'kan
耐火砖,nai'huo'zhuan
粘土大砖,nian'tu'da'zhuan
粘土砖,nian'tu'zhuan
排锡,pai'xi
排锡渣口,pai'xi'zha'kou
配合料,pei'he'liao
配合料房,pei'he'liao'fang
喷枪,pen'qiang
平碹,ping'xuan
气流强冷区,qi'liu'qiang'leng'qu
气体燃料电视屏窑,qi'ti'ran'liao'dian'shi'ping'yao
前脸墙,qian'lian'qiang
前脸墙立柱,qian'lian'qiang'li'zhu
前脸墙平台,qian'lian'qiang'ping'tai
潜望镜,qian'wang'jing
全氧,quan'yang
熔窑和锡槽,rong'yao'he'xi'cao
熔窑结构,rong'yao'jie'gou
软管,ruan'guan
山墙,shan'qiang
上部结构,shang'bu'jie'gou
上间隙砖,shang'jian'xi'zhuan
湿背流,shi'bei'liu
湿背砖,shi'bei'zhuan
石灰石,shi'hui'shi
石墨挡块,shi'mo'dang'kuai
石英砂,shi'ying'sha
水冷,shui'leng
水泥筒仓,shui'ni'tong'cang
碎玻璃,sui'bo'li
碎玻璃仓,sui'bo'li'cang
套管,tao'guan
提升辊道,ti'sheng'gun'dao
铁皮料仓,tie'pi'liao'cang
停窑,ting'yao
投料池,tou'liao'chi
投料机,tou'liao'ji
退出,tui'chu
退火区,tui'huo'qu
退火速率,tui'huo'su'lv
退火窑,tui'huo'yao
退火窑罩,tui'huo'yao'zhao
维修,wei'xiu
锡槽,xi'cao
锡槽侧壁,xi'cao'ce'bi
锡槽侧密封,xi'cao'ce'mi'feng
锡槽底壳,xi'cao'di'ke
