阿是穴,a'shi'xue
百会,bai'hui
伴手臂,ban'shou'bi
伴头晕,ban'tou'yun
伴腿,ban'tui
髀关,bi'guan
臂髎,bi'liao
臂臑,bi'nao
常用,chang'yong
常用的,chang'yong'de
常用穴,chang'yong'xue
承扶,cheng'fu
承浆,cheng'jiang
承筋,cheng'jin
承山,cheng'shan
赤赤,chi'chi
尺泽,chi'ze
攒竹,cuan'zhu
大赫,da'he
大横,da'heng
大椎,da'zhui
大椎穴,da'zhui'xue
带脉,dai'mai
的穴位,de'xue'wei
地仓,di'cang
犊鼻,du'bi
飞扬,fei'yang
风池,feng'chi
丰隆,feng'long
丰隆大,feng'long'da
风市,feng'shi
伏兔,fu'tu
浮郄,fu'xi
骨禺,gu'yu
关元,guan'yuan
鹤顶,he'ding
合谷,he'gu
后溪,hou'xi
后遗症,hou'yi'zheng
环跳穴,huan'tiao'xue
会阳,hui'yang
夹承浆,jia'cheng'jiang
夹脊,jia'ji
夹脊穴,jia'ji'xue
肩井,jian'jing
肩髎,jian'liao
肩前,jian'qian
肩三,jian'san
肩外俞,jian'wai'yu
肩髃,jian'yu
肩贞,jian'zhen
肩中俞,jian'zhong'yu
肩周炎,jian'zhou'yan
解溪,jie'xi
颈椎,jing'zhui
颈椎病,jing'zhui'bing
颈椎间盘突出,jing'zhui'jian'pan'tu'chu
昆仑,kun'lun
廉泉,lian'quan
梁丘,liang'qiu
面肌痉挛,mian'ji'jing'luan
面瘫,mian'tan
脑出血,nao'chu'xue
脑出血后遗症,nao'chu'xue'hou'yi'zheng
脑梗塞,nao'geng'se
臑腧,nao'shu
臑腧俞,nao'shu'yu
臑痛,nao'tong
内外,nei'wai
盆腔炎,pen'qiang'yan
气海,qi'hai
曲尺,qu'chi
曲池,qu'chi
曲恒,qu'heng
曲泉,qu'quan
颧髎,quan'liao
人中,ren'zhong
人中地仓,ren'zhong'di'cang
三阴交,san'yin'jiao
神庭,shen'ting
手臂,shou'bi
手臂疼痛,shou'bi'teng'tong
手三里,shou'san'li
手五里,shou'wu'li
输入,shu'ru
四白,si'bai
丝竹空,si'zhu'kong
太冲,tai'chong
太溪,tai'xi
太阳,tai'yang
太阳穴,tai'yang'xue
疼痛,teng'tong
天井,tian'jing
天宗,tian'zong
痛用,tong'yong
头晕,tou'yun
腿痛,tui'tong
外关,wai'guan
外关合谷,wai'guan'he'gu
委阳,wei'yang
委中,wei'zhong
膝关,xi'guan
膝关节炎,xi'guan'jie'yan
膝眼,xi'yan
膝阳关,xi'yang'guan
下关,xia'guan
悬钟,xuan'zhong
血海,xue'hai
穴位,xue'wei
阳白,yang'bai
阳陵泉,yang'ling'quan
腰椎病,yao'zhui'bing
腰椎间盘突出,yao'zhui'jian'pan'tu'chu
翳风,yi'feng
阴谷,yin'gu
殷门,yin'men
印堂,yin'tang
迎香,ying'xiang
涌泉,yong'quan
用右侧,yong'you'ce
用左侧,yong'zuo'ce
右侧,you'ce
右侧穴位,you'ce'xue'wei
右颈,you'jing
右曲恒,you'qu'heng
右太阳,you'tai'yang
右腿,you'tui
右腰,you'yao
右秩边,you'zhi'bian
右子宫,you'zi'gong
鱼际,yu'ji
针灸科,zhen'jiu'ke
针灸科常用,zhen'jiu'ke'chang'yong
秩边,zhi'bian
秩边穴,zhi'bian'xue
中风,zhong'feng
中国,zhong'guo
中极,zhong'ji
中渚,zhong'zhu
肘髎,zhou'liao
子宫,zi'gong
足三里,zu'san'li
左侧,zuo'ce
左侧穴位,zuo'ce'xue'wei
左颈,zuo'jing
左腿,zuo'tui
左腿痛,zuo'tui'tong
左腰,zuo'yao
左右,zuo'you
左右环跳穴,zuo'you'huan'tiao'xue
左右足三里,zuo'you'zu'san'li
