艾叶,ai'ye
艾叶招呼站,ai'ye'zhao'hu'zhan
芭蕉冲招呼站,ba'jiao'chong'zhao'hu'zhan
八中,ba'zhong
白家湾,bai'jia'wan
白家湾招呼站,bai'jia'wan'zhao'hu'zhan
板仓孵化,ban'cang'fu'hua
板仓工业园,ban'cang'gong'ye'yuan
板仓工业园招呼站,ban'cang'gong'ye'yuan'zhao'hu'zhan
半坊塘招呼站,ban'fang'tang'zhao'hu'zhan
滨江路,bin'jiang'lu
簸米湾,bo'mi'wan
彩灯公园,cai'deng'gong'yuan
草学堂,cao'xue'tang
草学堂招呼站,cao'xue'tang'zhao'hu'zhan
长土,chang'tu
长土农贸市场,chang'tu'nong'mao'shi'chang
长土招呼站,chang'tu'zhao'hu'zhan
长土镇,chang'tu'zhen
长土镇招呼站,chang'tu'zhen'zhao'hu'zhan
长征大道招呼站,chang'zheng'da'dao'zhao'hu'zhan
长征机床厂,chang'zheng'ji'chuang'chang
长征机床厂招呼站,chang'zheng'ji'chuang'chang'zhao'hu'zhan
川玻,chuan'bo
川玻大门,chuan'bo'da'men
川力实业,chuan'li'shi'ye
川南农贸,chuan'nan'nong'mao
川南皮革城,chuan'nan'pi'ge'cheng
川西南矿区,chuan'xi'nan'kuang'qu
川西钻探,chuan'xi'zuan'tan
创新制碳,chuang'xin'zhi'tan
春华路,chun'hua'lu
大安,da'an
大安招呼站,da'an'zhao'hu'zhan
大高路,da'gao'lu
大山铺,da'shan'pu
大湾井,da'wan'jing
大岩洞,da'yan'dong
倒挂寺,dao'gua'si
倒挂寺招呼站,dao'gua'si'zhao'hu'zhan
倒湾,dao'wan
灯杆坝,deng'gan'ba
地佩尔阀门,di'pei'er'fa'men
东方储运招呼站,dong'fang'chu'yun'zhao'hu'zhan
东方广场,dong'fang'guang'chang
东锅厂,dong'guo'chang
东锅招呼站,dong'guo'zhao'hu'zhan
董家,dong'jia
洞口井,dong'kou'jing
东碳厂,dong'tan'chang
东兴寺,dong'xing'si
东源井,dong'yuan'jing
都市森林,du'shi'sen'lin
鹅儿沟,e'er'gou
鹅儿沟招呼站,e'er'gou'zhao'hu'zhan
二十九中,er'shi'jiu'zhong
方冲小区,fang'chong'xiao'qu
凤鸣小区,feng'ming'xiao'qu
釜江,fu'jiang
富台山,fu'tai'shan
釜溪步行街,fu'xi'bu'xing'jie
干池塘招呼站,gan'chi'tang'zhao'hu'zhan
高硐,gao'dong
高硐招呼站,gao'dong'zhao'hu'zhan
高峰,gao'feng
高峰小区,gao'feng'xiao'qu
高压阀门厂,gao'ya'fa'men'chang
个私园区,ge'si'yuan'qu
公交大厦,gong'jiao'da'sha
贡井,gong'jing
贡井招呼站,gong'jing'zhao'hu'zhan
贡舒路口,gong'shu'lu'kou
贡兴路,gong'xing'lu
贡院,gong'yuan
贡院招呼站,gong'yuan'zhao'hu'zhan
光大街,guang'da'jie
广电大厦,guang'dian'da'sha
广华,guang'hua
郭家坳,guo'jia'ao
翰林尚都,han'lin'shang'du
和平广场,he'ping'guang'chang
和平中学,he'ping'zhong'xue
恒和花苑,heng'he'hua'yuan
宏发小区,hong'fa'xiao'qu
鸿鹤坝,hong'he'ba
虎头桥,hu'tou'qiao
虎头桥招呼站,hu'tou'qiao'zhao'hu'zhan
华华印务,hua'hua'yin'wu
华气科技,hua'qi'ke'ji
汇北路东段,hui'bei'lu'dong'duan
汇北路西段,hui'bei'lu'xi'duan
汇川路口,hui'chuan'lu'kou
汇东公交枢纽站,hui'dong'gong'jiao'shu'niu'zhan
汇维仕,hui'wei'shi
汇维仕招呼站,hui'wei'shi'zhao'hu'zhan
汇维寺,hui'wei'si
汇贤苑,hui'xian'yuan
汇兴路,hui'xing'lu
火车客运站广场,huo'che'ke'yun'zhan'guang'chang
火车站,huo'che'zhan
简洞桥,jian'dong'qiao
简洞桥招呼站,jian'dong'qiao'zhao'hu'zhan
交通苑,jiao'tong'yuan
金鱼村,jin'yu'cun
锦苑小区,jin'yuan'xiao'qu
韭菜嘴,jiu'cai'zui
九鼎百货,jiu'ding'bai'huo
聚酯厂,ju'zhi'chang
凯悦星城,kai'yue'xing'cheng
康立医院,kang'li'yi'yuan
科创一路招呼站,ke'chuang'yi'lu'zhao'hu'zhan
客运总站川南机电市场,ke'yun'zong'zhan'chuan'nan'ji'dian'shi'chang
恐龙馆,kong'long'guan
恐龙馆招呼站,kong'long'guan'zhao'hu'zhan
蓝天科技,lan'tian'ke'ji
蓝鹰花园,lan'ying'hua'yuan
蓝鹰花园招呼站,lan'ying'hua'yuan'zhao'hu'zhan
老年大学,lao'nian'da'xue
凉高山,liang'gao'shan
梁家坝,liang'jia'ba
两口塘,liang'kou'tang
凉水井,liang'shui'jing
林子崖,lin'zi'ya
龙湖郡,long'hu'jun
龙湖森林,long'hu'sen'lin
龙汇路南延线,long'hui'lu'nan'yan'xian
龙汇路招呼站,long'hui'lu'zhao'hu'zhan
龙井,long'jing
隆雅路口,long'ya'lu'kou
露水湾,lu'shui'wan
罗石塔,luo'shi'ta
罗石塔招呼站,luo'shi'ta'zhao'hu'zhan
绿盛家园,lv'sheng'jia'yuan
绿洲花园,lv'zhou'hua'yuan
马吃水,ma'chi'shui
马吃水招呼站,ma'chi'shui'zhao'hu'zhan
马冲口,ma'chong'kou
马舒路招呼站,ma'shu'lu'zhao'hu'zhan
毛家坝,mao'jia'ba
南湖郡,nan'hu'jun
南湖立交,nan'hu'li'jiao
南湖派出所招呼站,nan'hu'pai'chu'suo'zhao'hu'zhan
南苑街,nan'yuan'jie
牛奶场,niu'nai'chang
泼堰招呼站,po'yan'zhao'hu'zhan
气古坳,qi'gu'ao
七拐桥,qi'guai'qiao
气建公司,qi'jian'gong'si
七里半,qi'li'ban
青杠林,qing'gang'lin
青杠林招呼站,qing'gang'lin'zhao'hu'zhan
青岩洞,qing'yan'dong
仁和路北段,ren'he'lu'bei'duan
人人乐购物广场,ren'ren'le'gou'wu'guang'chang
荣光苑,rong'guang'yuan
荣新,rong'xin
三八路,san'ba'lu
三星职校,san'xing'zhi'xiao
沙坪,sha'ping
沙坪收费站,sha'ping'shou'fei'zhan
沙湾,sha'wan
山水名苑,shan'shui'ming'yuan
山水名苑招呼站,shan'shui'ming'yuan'zhao'hu'zhan
燊海井,shen'hai'jing
圣地亚家居广场,sheng'di'ya'jia'ju'guang'chang
省盐校,sheng'yan'xiao
石佛寺,shi'fo'si
石缸井,shi'gang'jing
