暗杠,an'gang
暗刻,an'ke
半庄,ban'zhuang
半庄战,ban'zhuang'zhan
宝牌,bao'pai
边张,bian'zhang
场风,chang'feng
地和,di'he
点棒,dian'bang
点炮,dian'pao
东南战,dong'nan'zhan
断幺九,duan'yao'jiu
二杯口,er'bei'kou
放铳,fang'chong
杠牌,gang'pai
国士无双,guo'shi'wu'shuang
海底捞月,hai'di'lao'yue
海底牌,hai'di'pai
河底捞鱼,he'di'lao'yu
加杠,jia'gang
九莲宝灯,jiu'lian'bao'deng
坎张,kan'zhang
客风,ke'feng
立直,li'zhi
连庄,lian'zhuang
岭上,ling'shang
岭上开花,ling'shang'kai'hua
流局,liu'ju
流局满贯,liu'ju'man'guan
流满,liu'man
门前役,men'qian'yi
门清,men'qing
明刻,ming'ke
配牌,pei'pai
平和,ping'he
七对子,qi'dui'zi
抢杠,qiang'gang
亲家,qing'jia
人和,ren'he
食和,shi'he
天和,tian'he
闲家,xian'jia
幺九牌,yao'jiu'pai
一杯口,yi'bei'kou
一发,yi'fa
役满,yi'man
一气贯通,yi'qi'guan'tong
振听,zhen'ting
中张,zhong'zhang
