癌细胞,ai'xi'bao
爱滋病毒,ai'zi'bing'du
氨基酸,an'ji'suan
白蛋白,bai'dan'bai
白细胞,bai'xi'bao
白血病病毒,bai'xue'bing'bing'du
保护组织,bao'hu'zu'zhi
曝气,bao'qi
孢子,bao'zi
孢子囊,bao'zi'nang
孢子球,bao'zi'qiu
被动免疫,bei'dong'mian'yi
被动免疫法,bei'dong'mian'yi'fa
变态,bian'tai
变异,bian'yi
表皮组织,biao'pi'zu'zhi
病毒,bing'du
病毒病,bing'du'bing
病毒基因,bing'du'ji'yin
病毒颗粒,bing'du'ke'li
病毒学,bing'du'xue
病毒抑制,bing'du'yi'zhi
病原菌,bing'yuan'jun
不可再生资源,bu'ke'zai'sheng'zi'yuan
草酸,cao'suan
肠道病毒,chang'dao'bing'du
肠道球菌,chang'dao'qiu'jun
虫媒病毒,chong'mei'bing'du
传导组织,chuan'dao'zu'zhi
传染病菌,chuan'ran'bing'jun
纯系,chun'xi
纯种,chun'zhong
雌孢子,ci'bao'zi
雌激素,ci'ji'su
雌配子,ci'pei'zi
大孢子,da'bao'zi
大肠杆菌数,da'chang'gan'jun'shu
大肠杆菌素,da'chang'gan'jun'su
达尔文主义,da'er'wen'zhu'yi
大配子,da'pei'zi
大型植物,da'xing'zhi'wu
代谢,dai'xie
代谢更新,dai'xie'geng'xin
代谢节律,dai'xie'jie'lv
代谢期,dai'xie'qi
代谢顺序,dai'xie'shun'xu
代谢途径,dai'xie'tu'jing
代谢物,dai'xie'wu
代谢消耗,dai'xie'xiao'hao
代谢抑制物,dai'xie'yi'zhi'wu
代谢障碍,dai'xie'zhang'ai
代谢值,dai'xie'zhi
蛋白代谢,dan'bai'dai'xie
蛋白酶,dan'bai'mei
蛋白水解,dan'bai'shui'jie
蛋白体,dan'bai'ti
蛋白原,dan'bai'yuan
蛋白脂,dan'bai'zhi
蛋白质,dan'bai'zhi
单倍体,dan'bei'ti
底栖生物,di'qi'sheng'wu
淀粉酶,dian'fen'mei
冬孢子,dong'bao'zi
多核细胞,duo'he'xi'bao
多因子说,duo'yin'zi'shuo
发光菌,fa'guang'jun
发酵菌,fa'jiao'jun
发育,fa'yu
返祖现象,fan'zu'xian'xiang
芳族酸,fang'zu'suan
分解代谢,fen'jie'dai'xie
分解代谢产物,fen'jie'dai'xie'chan'wu
分枝细菌,fen'zhi'xi'jun
分子生物学,fen'zi'sheng'wu'xue
辅酶,fu'mei
浮游生物,fu'you'sheng'wu
腐质,fu'zhi
腐殖酸,fu'zhi'suan
干扰素,gan'rao'su
肝糖,gan'tang
高山生物,gao'shan'sheng'wu
更代,geng'dai
更生,geng'sheng
共生现象,gong'sheng'xian'xiang
谷氨酸,gu'an'suan
固氮酸,gu'dan'suan
古动物学,gu'dong'wu'xue
古昆虫学,gu'kun'chong'xue
古生态学,gu'sheng'tai'xue
古生物学,gu'sheng'wu'xue
古植物学,gu'zhi'wu'xue
寡营养,gua'ying'yang
冠状病毒,guan'zhuang'bing'du
果胶酸,guo'jiao'suan
过敏毒素,guo'min'du'su
海底生物,hai'di'sheng'wu
好气条件,hao'qi'tiao'jian
合成酶,he'cheng'mei
核蛋白,he'dan'bai
核酸,he'suan
核糖核酸,he'tang'he'suan
合子,he'zi
合子期,he'zi'qi
红细胞,hong'xi'bao
红细胞生成素,hong'xi'bao'sheng'cheng'su
环形菌落,huan'xing'jun'luo
还原酶,huan'yuan'mei
黄热病毒,huang're'bing'du
混血,hun'xue
获得性免疫,huo'de'xing'mian'yi
活性菌丝,huo'xing'jun'si
基本组织,ji'ben'zu'zhi
继承性免疫,ji'cheng'xing'mian'yi
肌动蛋白,ji'dong'dan'bai
激酶,ji'mei
机能衰退,ji'neng'shuai'tui
肌球蛋白,ji'qiu'dan'bai
肌肉组织,ji'rou'zu'zhi
寄生菌,ji'sheng'jun
寄生生物,ji'sheng'sheng'wu
激素,ji'su
基因,ji'yin
基因变异,ji'yin'bian'yi
基因病,ji'yin'bing
基因工程,ji'yin'gong'cheng
基因活化,ji'yin'huo'hua
基因突变,ji'yin'tu'bian
基因相互作用,ji'yin'xiang'hu'zuo'yong
基因序列,ji'yin'xu'lie
基因转移,ji'yin'zhuan'yi
基因作用,ji'yin'zuo'yong
嫁接杂种,jia'jie'za'zhong
家族,jia'zu
降解代谢,jiang'jie'dai'xie
角蛋白,jiao'dan'bai
酵母菌,jiao'mu'jun
交替遗传,jiao'ti'yi'chuan
结缔组织,jie'di'zu'zhi
结核杆菌,jie'he'gan'jun
进化,jin'hua
净化,jing'hua
局部免疫,ju'bu'mian'yi
巨型细菌,ju'xing'xi'jun
菌丝,jun'si
菌株,jun'zhu
抗病毒素,kang'bing'du'su
抗毒血清,kang'du'xue'qing
抗结核血清,kang'jie'he'xue'qing
抗菌免疫,kang'jun'mian'yi
抗菌血清,kang'jun'xue'qing
抗体球蛋白,kang'ti'qiu'dan'bai
抗血清,kang'xue'qing
枯草杆菌,ku'cao'gan'jun
赖氨酸,lai'an'suan
痢疾杆菌,li'ji'gan'jun
链球菌,lian'qiu'jun
量子生物学,liang'zi'sheng'wu'xue
淋球菌,lin'qiu'jun
卵细胞,luan'xi'bao
免疫,mian'yi
免疫测定,mian'yi'ce'ding
免疫蛋白质,mian'yi'dan'bai'zhi
免疫反应,mian'yi'fan'ying
免疫过敏性,mian'yi'guo'min'xing
免疫化学,mian'yi'hua'xue
免疫机制,mian'yi'ji'zhi
免疫接种,mian'yi'jie'zhong
免疫抗体,mian'yi'kang'ti
免疫扩散,mian'yi'kuo'san
免疫疗法,mian'yi'liao'fa
免疫酶学,mian'yi'mei'xue
免疫耐受性,mian'yi'nai'shou'xing
免疫排斥,mian'yi'pai'chi
免疫球蛋白,mian'yi'qiu'dan'bai
免疫缺乏,mian'yi'que'fa
免疫生物学,mian'yi'sheng'wu'xue
免疫特异性,mian'yi'te'yi'xing
免疫体,mian'yi'ti
免疫调理素,mian'yi'tiao'li'su
免疫消除,mian'yi'xiao'chu
免疫效价,mian'yi'xiao'jia
免疫学,mian'yi'xue
免疫血清,mian'yi'xue'qing
免疫遗传性,mian'yi'yi'chuan'xing
免疫抑制,mian'yi'yi'zhi
免疫原,mian'yi'yuan
敏感菌,min'gan'jun
母体免疫,mu'ti'mian'yi
母体遗传,mu'ti'yi'chuan
母系遗传,mu'xi'yi'chuan
纳污能力,na'wu'neng'li
内分泌,nei'fen'mi
尿酸,niao'suan
柠檬酸,ning'meng'suan
凝血酶,ning'xue'mei
盘菌,pan'jun
配子,pei'zi
配子结合,pei'zi'jie'he
配子囊,pei'zi'nang
配子期,pei'zi'qi
配子生殖,pei'zi'sheng'zhi
配子体,pei'zi'ti
贫污水,pin'wu'shui
品系,pin'xi
品种,pin'zhong
葡萄球菌,pu'tao'qiu'jun
普通病毒,pu'tong'bing'du
普通遗传学,pu'tong'yi'chuan'xue
起源中心说,qi'yuan'zhong'xin'shuo
清水生物,qing'shui'sheng'wu
球蛋白,qiu'dan'bai
球菌,qiu'jun
缺氧,que'yang
缺氧状态,que'yang'zhuang'tai
染色体,ran'se'ti
染色体基因,ran'se'ti'ji'yin
染色体配对,ran'se'ti'pei'dui
染色体学,ran'se'ti'xue
染色体组型,ran'se'ti'zu'xing
热带生物,re'dai'sheng'wu
人工选择,ren'gong'xuan'ze
人类基因图谱,ren'lei'ji'yin'tu'pu
人类遗传学,ren'lei'yi'chuan'xue
溶菌酶,rong'jun'mei
乳蛋白,ru'dan'bai
乳酸,ru'suan
乳酸酶,ru'suan'mei
萨斯病毒,sa'si'bing'du
色素细胞,se'su'xi'bao
少滋育湖泊,shao'zi'yu'hu'po
神经,shen'jing
神经冲动,shen'jing'chong'dong
神经丛,shen'jing'cong
神经控制论,shen'jing'kong'zhi'lun
神经末梢,shen'jing'mo'shao
神经生理学,shen'jing'sheng'li'xue
神经生物学,shen'jing'sheng'wu'xue
神经束,shen'jing'shu
神经索,shen'jing'suo
神经细胞,shen'jing'xi'bao
神经兴奋,shen'jing'xing'fen
神经兴奋阻滞,shen'jing'xing'fen'zu'zhi
神经学,shen'jing'xue
神经中枢,shen'jing'zhong'shu
神经组织,shen'jing'zu'zhi
生化需氧量,sheng'hua'xu'yang'liang
生化遗传学,sheng'hua'yi'chuan'xue
生命起源,sheng'ming'qi'yuan
生态背景,sheng'tai'bei'jing
生态变异,sheng'tai'bian'yi
生态地理学,sheng'tai'di'li'xue
生态隔离,sheng'tai'ge'li
生态环境,sheng'tai'huan'jing
生态金字塔,sheng'tai'jin'zi'ta
生态平衡,sheng'tai'ping'heng
生态圈,sheng'tai'quan
生态社会学,sheng'tai'she'hui'xue
生态同类群,sheng'tai'tong'lei'qun
生态危机,sheng'tai'wei'ji
生态系统,sheng'tai'xi'tong
生态性能,sheng'tai'xing'neng
生态形态学,sheng'tai'xing'tai'xue
生态学,sheng'tai'xue
生态演替,sheng'tai'yan'ti
生物,sheng'wu
生物催化,sheng'wu'cui'hua
生物带,sheng'wu'dai
