埃德温生命十字,ai'de'wen'sheng'ming'shi'zi
暗影莫西斯,an'ying'mo'xi'si
白虎明皇,bai'hu'ming'huang
暴君大熊罗斯巴缪尔,bao'jun'da'xiong'luo'si'ba'miu'er
地火龙骑将迈格玛,di'huo'long'qi'jiang'mai'ge'ma
地狱龙骑将斯蒂亚斯,di'yu'long'qi'jiang'si'di'ya'si
风神奥古斯塔斯,feng'shen'ao'gu'si'ta'si
光明神蒂克丝雅,guang'ming'shen'di'ke'si'ya
黑暗神亚历克斯,hei'an'shen'ya'li'ke'si
毁灭大地卡卡罗里奥,hui'mie'da'di'ka'ka'luo'li'ao
火神法米尔,huo'shen'fa'mi'er
教皇普波,jiao'huang'pu'bo
精灵女王丽芙,jing'ling'nv'wang'li'fu
九大神兽九尾风狸三眼血狱,jiu'da'shen'shou'jiu'wei'feng'li'san'yan'xue'yu
蓝冰龙骑将卡斯,lan'bing'long'qi'jiang'ka'si
龙神罗里曼卡瑞斯特,long'shen'luo'li'man'ka'rui'si'te
青龙雷皇,qing'long'lei'huang
沙鲁平衡天平,sha'lu'ping'heng'tian'ping
十字剑圣卡利佩斯,shi'zi'jian'sheng'ka'li'pei'si
水镜依娜丝,shui'jing'yi'na'si
水神特西亚,shui'shen'te'xi'ya
四大红衣主教布瑞特审判之锤,si'da'hong'yi'zhu'jiao'bu'rui'te'shen'pan'zhi'chui
土神索沃尔,tu'shen'suo'wo'er
玄武昊皇,xuan'wu'hao'huang
岩神巨兵,yan'shen'ju'bing
伊恩荣誉权杖,yi'en'rong'yu'quan'zhang
朱雀罗皇,zhu'que'luo'huang
