短行程,duan'xing'cheng
非圆形孔珩磨,fei'yuan'xing'kong'heng'mo
珩磨头,heng'mo'tou
珩磨液,heng'mo'ye
铰珩,jiao'heng
径向涨开,jing'xiang'zhang'kai
空运行,kong'yun'xing
力受控,li'shou'kong
气动测量,qi'dong'ce'liang
砂条,sha'tiao
砂条座,sha'tiao'zuo
上换向点,shang'huan'xiang'dian
刷珩磨,shua'heng'mo
贴靠,tie'kao
位受控,wei'shou'kong
下换向点,xia'huan'xiang'dian
异径孔珩磨,yi'jing'kong'heng'mo
在线测量,zai'xian'ce'liang
