暗组,an'zu
白帽子,bai'mao'zi
本地提权,ben'di'ti'quan
本地溢出,ben'di'yi'chu
冰锋刺客,bing'feng'ci'ke
冰魂,bing'hun
查杀,cha'sha
冲击波,chong'ji'bo
臭小子,chou'xiao'zi
穿山甲,chuan'shan'jia
刀锋,dao'feng
法客,fa'ke
饭客,fan'ke
服务器,fu'wu'qi
高配,gao'pei
黑客榜中榜,hei'ke'bang'zhong'bang
黑雨,hei'yu
红客联盟,hong'ke'lian'meng
还原,huan'yuan
灰鸽子,hui'ge'zi
监听,jian'ting
解析漏洞,jie'xi'lou'dong
九区,jiu'qu
可写目录,ke'xie'mu'lu
漏洞挖掘,lou'dong'wa'jue
密码泄露,mi'ma'xie'lou
免杀,mian'sha
明文密码,ming'wen'mi'ma
明小子,ming'xiao'zi
内网嗅探,nei'wang'xiu'tan
爬行,pa'xing
签名,qian'ming
权限,quan'xian
入侵,ru'qin
弱口令,ruo'kou'ling
扫描,sao'miao
杀软,sha'ruan
上传突破,shang'chuan'tu'po
上线,shang'xian
渗透,shen'tou
数据库,shu'ju'ku
提权,ti'quan
乌云团队,wu'yun'tuan'dui
下线,xia'xian
小葵,xiao'kui
星外提权,xing'wai'ti'quan
御剑,yu'jian
远程登陆,yuan'cheng'deng'lu
远程控制,yuan'cheng'kong'zhi
远程溢出,yuan'cheng'yi'chu
远控,yuan'kong
云安全,yun'an'quan
蜘蛛,zhi'zhu
中国菜刀,zhong'guo'cai'dao
中转注入,zhong'zhuan'zhu'ru
抓鸡,zhua'ji
