啊得得,a'de'de
烟灰竿,yan'hui'gan
檐老鼠儿,yan'lao'shu'er
眼流巴沙,yan'liu'ba'sha
眼溜子,yan'liu'zi
眼水,yan'shui
堰塘,yan'tang
眼眨毛,yan'zha'mao
眼子,yan'zi
羊安镇,yang'an'zhen
养不家,yang'bu'jia
洋铲,yang'chan
殃的很,yang'de'hen
羊儿疯,yang'er'feng
杨辣子,yang'la'zi
洋马儿,yang'ma'er
洋盘,yang'pan
殃人,yang'ren
洋芋花,yang'yu'hua
幺爸,yao'ba
要得,yao'de
幺儿,yao'er
幺儿子,yao'er'zi
腰杆,yao'gan
幺牯儿,yao'gu'er
妖精十八怪,yao'jing'shi'ba'guai
妖精十怪,yao'jing'shi'guai
要居儿不得,yao'ju'er'bu'de
腰裤,yao'ku
幺妹,yao'mei
幺妹儿,yao'mei'er
要哪门,yao'na'men
幺女,yao'nv
幺女子,yao'nv'zi
要球不得,yao'qiu'bu'de
幺台,yao'tai
妖艳儿,yao'yan'er
幺圆,yao'yuan
叶儿粑,ye'er'ba
夜猫子,ye'mao'zi
夜天,ye'tian
夜瓦西,ye'wa'xi
一把连,yi'ba'lian
一大坨,yi'da'tuo
依的西,yi'de'xi
一耳屎,yi'er'shi
一个们,yi'ge'men
一哈,yi'ha
一哈儿,yi'ha'er
一毛根儿,yi'mao'gen'er
一匍爬,yi'pu'pa
一气猫儿,yi'qi'mao'er
一斜一斜,yi'xie'yi'xie
阴倒,yin'dao
阴倒日怪,yin'dao'ri'guai
阴斗,yin'dou
硬是港,ying'shi'gang
硬是有点悬,ying'shi'you'dian'xuan
影响,ying'xiang
硬肘,ying'zhou
油淋鸭,you'lin'ya
油泡子翻翻,you'pao'zi'fan'fan
忧人,you'ren
有喂,you'wei
有喜了,you'xi'le
有盐有味,you'yan'you'wei
油蚱蜢儿,you'zha'meng'er
油榨乡,you'zha'xiang
玉带街,yu'dai'jie
遇得倒,yu'de'dao
遇得倒哟,yu'de'dao'yo
芋儿鸡,yu'er'ji
钰了,yu'le
玉麦子,yu'mai'zi
院坝,yuan'ba
圆范,yuan'fan
圆圆,yuan'yuan
月儿光,yue'er'guang
匀兑,yun'dui
咋个,za'ge
咋个的嘛,za'ge'de'ma
咋个的喃,za'ge'de'nan
咋个的呢,za'ge'de'ne
咋个儿,za'ge'er
咋哪,za'na
扎起,za'qi
遭不住,zao'bu'zhu
唣的很,zao'de'hen
灶灯影儿,zao'deng'ying'er
灶闳,zao'hong
灶门先,zao'men'xian
遭孽,zao'nie
遭烧了,zao'shao'le
灶头子,zao'tou'zi
择嘴,ze'zui
贼娃子,zei'wa'zi
扎耳根,zha'er'gen
扎劲,zha'jin
奓开嘴,zha'kai'zui
炸土豆,zha'tu'dou
炸洋芋,zha'yang'yu
渣渣,zha'zha
渣渣洼洼,zha'zha'wa'wa
占花儿,zhan'hua'er
展劲,zhan'jin
张巴,zhang'ba
丈把高,zhang'ba'gao
张班子,zhang'ban'zi
扙脑壳,zhang'nao'ke
扙脑壳娃娃,zhang'nao'ke'wa'wa
找些话来说,zhao'xie'hua'lai'shuo
找些龙门阵来摆,zhao'xie'long'men'zhen'lai'bai
罩子,zhao'zi
折耳根,zhe'er'gen
这二年甚,zhe'er'nian'shen
这回子,zhe'hui'zi
这毛儿那毛儿,zhe'mao'er'na'mao'er
真悬,zhen'xuan
整饭,zheng'fan
整酒,zheng'jiu
整嘛,zheng'ma
整孃,zheng'niang
挣声板命,zheng'sheng'ban'ming
直劈,zhi'pi
止雅,zhi'ya
众多,zhong'duo
众块,zhong'kuai
众块起,zhong'kuai'qi
众块子,zhong'kuai'zi
众气,zhong'qi
盅盅,zhong'zhong
皱眉纳拱,zhou'mei'na'gong
周吴郑王,zhou'wu'zheng'wang
竹丝瓷胎,zhu'si'ci'tai
竹笋炒肉,zhu'sun'chao'rou
抓卷儿,zhua'juan'er
抓梦脚,zhua'meng'jiao
爪爪,zhua'zhua
抓子,zhua'zi
爪子,zhua'zi
爪子嘛,zhua'zi'ma
拽瞌睡,zhuai'ke'shui
拽实,zhuai'shi
转一下,zhuan'yi'xia
撞棒,zhuang'bang
状多,zhuang'duo
装疯迷呛,zhuang'feng'mi'qiang
装疯迷窍,zhuang'feng'mi'qiao
装舅子,zhuang'jiu'zi
状块,zhuang'kuai
状块起,zhuang'kuai'qi
状气,zhuang'qi
壮猪,zhuang'zhu
啄蜢子,zhuo'meng'zi
啄木官,zhuo'mu'guan
资格,zi'ge
仔鸡,zi'ji
总还,zong'hai
走狗屎运,zou'gou'shi'yun
走人户,zou'ren'hu
走展,zou'zhan
租儿,zu'er
左刮子,zuo'gua'zi
昨晚黑,zuo'wan'hei
