阿修,a'xiu
爱戴尔海特,ai'dai'er'hai'te
艾森,ai'sen
安迪,an'di
暗拂,an'fu
八锖,ba'qiang
八神,ba'shen
八神庵,ba'shen'an
八神庵无敌,ba'shen'an'wu'di
八神无敌,ba'shen'wu'di
霸王翔吼拳,ba'wang'xiang'hou'quan
八稚女,ba'zhi'nv
百八拾贰式,bai'ba'shi'er'shi
坂崎,ban'qi
坂崎良,ban'qi'liang
坂崎獠,ban'qi'liao
坂崎由莉,ban'qi'you'li
坂崎琢磨,ban'qi'zuo'mo
比利,bi'li
波格,bo'ge
不知火舞,bu'zhi'huo'wu
蔡宝健,cai'bao'jian
蔡宝奇,cai'bao'qi
草薙,cao'ti
草薙柴舟,cao'ti'chai'zhou
草薙京,cao'ti'jing
草薙流古武术,cao'ti'liu'gu'wu'shu
陈国汗,chen'guo'han
陈可汗,chen'ke'han
吹飞,chui'fei
打防技,da'fang'ji
大门五郎,da'men'wu'lang
大蛇,da'she
大蛇薙,da'she'ti
当身,dang'shen
东丈,dong'zhang
独乐屠,du'le'tu
毒咬,du'yao
对空,dui'kong
堕珑,duo'long
多择,duo'ze
二阶堂,er'jie'tang
二阶堂红丸,er'jie'tang'hong'wan
二择,er'ze
罚咏,fa'yong
返技,fan'ji
防御不能,fang'yu'bu'neng
防御反击,fang'yu'fan'ji
防御切换,fang'yu'qie'huan
飞行道具,fei'xing'dao'ju
凤麟阳,feng'lin'yang
高尼茨,gao'ni'ci
古拉古,gu'la'gu
古娜,gu'na
鬼步,gui'bu
鬼烧,gui'shao
轰飞,hong'fei
候活,hou'huo
虎伏,hu'fu
荒咬,huang'yao
霍华德,huo'hua'de
祸忌,huo'ji
霍斯,huo'si
基烈寺,ji'lie'si
基烈治,ji'lie'zhi
吉丝,ji'si
吉斯,ji'si
极限流,ji'xian'liu
杰斯,jie'si
金家藩,jin'jia'fan
九伤,jiu'shang
克拉克,ke'la'ke
克里斯,ke'li'si
库拉,ku'la
葵花三式,kui'hua'san'shi
拉尔夫,la'er'fu
拉鲁夫,la'lu'fu
莉安娜,li'an'na
连击,lian'ji
连携技,lian'xie'ji
莲欣,lian'xin
连续技,lian'xu'ji
胧车,long'che
龙二,long'er
龙射,long'she
卢嘉尔,lu'jia'er
露丝,lu'si
乱舞,luan'wu
罗拔,luo'ba
罗伯特,luo'bo'te
麻宫,ma'gong
麻宫雅典娜,ma'gong'ya'dian'na
玛克西姆,ma'ke'xi'mu
麦斯玛,mai'si'ma
麦卓,mai'zhuo
美乐,mei'le
米卓,mi'zhuo
目押,mu'ya
奈落落,nai'luo'luo
破防,po'fang
砌穿,qi'chuan
七枷社,qi'jia'she
七濑,qi'lai
七十五式改,qi'shi'wu'shi'gai
琴月阳,qin'yue'yang
琴月阴,qin'yue'yin
全动,quan'dong
拳皇,quan'huang
全勋,quan'xun
三角跳,san'jiao'tiao
山崎,shan'qi
山崎龙二,shan'qi'long'er
上段,shang'duan
神尘,shen'chen
神乐,shen'le
神乐麻贵,shen'le'ma'gui
神乐千鹤,shen'le'qian'he
神乐万龟,shen'le'wan'gui
神武,shen'wu
升龙,sheng'long
矢吹真吾,shi'chui'zhen'wu
受身,shou'shen
铄铁,shuo'tie
丝露美,si'lu'mei
索瓦雷,suo'wa'lei
泰利,tai'li
特瑞,te'rui
藤堂龙白,teng'tang'long'bai
藤堂香澄,teng'tang'xiang'cheng
投技,tou'ji
薇璞,wei'pu
薇丝,wei'si
无界,wu'jie
无式,wu'shi
无下,wu'xia
无限连,wu'xian'lian
希顿,xi'dun
下段,xia'duan
夏尔米,xia'er'mi
香澄,xiang'cheng
销风,xiao'feng
亚柏,ya'bai
雅典娜,ya'dian'na
移动投,yi'dong'tou
伊格尼斯,yi'ge'ni'si
有纪,you'ji
域思,yu'si
真吾,zhen'wu
镇元斋,zhen'yuan'zhai
指令投,zhi'ling'tou
追加,zhui'jia
椎拳崇,zhui'quan'chong
紫苑,zi'yuan
罪咏,zui'yong
