蔡斌,cai'bin
陈阿生,chen'a'sheng
陈海荣,chen'hai'rong
陈建成,chen'jian'cheng
陈建军,chen'jian'jun
陈建文,chen'jian'wen
陈开建,chen'kai'jian
陈少晖,chen'shao'hui
陈温生,chen'wen'sheng
戴阿川,dai'a'chuan
戴阿利,dai'a'li
戴阿龙,dai'a'long
戴斌,dai'bin
戴福全,dai'fu'quan
戴基成,dai'ji'cheng
戴金海,dai'jin'hai
戴坤波,dai'kun'bo
戴昆华,dai'kun'hua
戴昆辉,dai'kun'hui
戴清松,dai'qing'song
戴水宝,dai'shui'bao
戴小平,dai'xiao'ping
戴长成,dai'zhang'cheng
戴正建,dai'zheng'jian
戴子忠,dai'zi'zhong
董丽滨,dong'li'bin
郭瑞全,guo'rui'quan
洪阿江,hong'a'jiang
洪阿青,hong'a'qing
洪连基,hong'lian'ji
黄炳能,huang'bing'neng
黄金龙,huang'jin'long
黄木秋,huang'mu'qiu
黄松民,huang'song'min
黄文江,huang'wen'jiang
黄英雄,huang'ying'xiong
李现明,li'xian'ming
廖成福,liao'cheng'fu
林金链,lin'jin'lian
林丽文,lin'li'wen
林连福,lin'lian'fu
刘江南,liu'jiang'nan
刘江西,liu'jiang'xi
刘少杰,liu'shao'jie
苏元川,su'yuan'chuan
唐金泰,tang'jin'tai
王阿成,wang'a'cheng
王凤忠,wang'feng'zhong
王建太,wang'jian'tai
王锦明,wang'jin'ming
王龙全,wang'long'quan
王明朝,wang'ming'chao
王明勇,wang'ming'yong
王清根,wang'qing'gen
王泉财,wang'quan'cai
王伟彬,wang'wei'bin
王小明,wang'xiao'ming
王玉飞,wang'yu'fei
吴冠文,wu'guan'wen
徐阿尖,xu'a'jian
薛来发,xue'lai'fa
薛水盛,xue'shui'sheng
杨冠辉,yang'guan'hui
杨金福,yang'jin'fu
杨龙顺,yang'long'shun
杨麒,yang'qi
杨万清,yang'wan'qing
杨文福,yang'wen'fu
张炳辉,zhang'bing'hui
张江明,zhang'jiang'ming
张金清,zhang'jin'qing
张南清,zhang'nan'qing
张文兴,zhang'wen'xing
张银龙,zhang'yin'long
郑金德,zheng'jin'de
郑金全,zheng'jin'quan
郑庆寿,zheng'qing'shou
庄阿强,zhuang'a'qiang
