丁坝,ding'ba
丁宝桢,ding'bao'zhen
丁苯橡胶,ding'ben'xiang'jiao
丁丙,ding'bing
丁部,ding'bu
丁部领,ding'bu'ling
丁草胺,ding'cao'an
丁辰,ding'chen
丁丑,ding'chou
丁丑劫馀印存,ding'chou'jie'yu'yin'cun
丁村人,ding'cun'ren
丁大全,ding'da'quan
丁倒,ding'dao
丁丁,ding'ding
丁东,ding'dong
丁度,ding'du
丁督护歌,ding'du'hu'ge
丁铎尔现象,ding'duo'er'xian'xiang
丁二酸,ding'er'suan
丁赋,ding'fu
丁福保,ding'fu'bao
丁辅之,ding'fu'zhi
丁干,ding'gan
丁甘仁,ding'gan'ren
丁恭,ding'gong
丁公藤,ding'gong'teng
丁缓,ding'huan
丁祭,ding'ji
丁基锂,ding'ji'li
丁基橡胶,ding'ji'xiang'jiao
丁机宜,ding'ji'yi
丁家庐,ding'jia'lu
丁艰,ding'jian
丁匠,ding'jiang
丁敬,ding'jing
丁腈橡胶,ding'jing'xiang'jiao
丁卡人,ding'ka'ren
丁卡因,ding'ka'yin
丁克家庭,ding'ke'jia'ting
丁口,ding'kou
丁零,ding'ling
丁玲,ding'ling
丁令威,ding'ling'wei
丁卯集,ding'mao'ji
丁尼生,ding'ni'sheng
丁宁,ding'ning
丁女,ding'nv
丁启睿,ding'qi'rui
丁谦,ding'qian
丁钱,ding'qian
丁强,ding'qiang
丁青,ding'qing
丁日昌,ding'ri'chang
丁汝昌,ding'ru'chang
丁若镛,ding'ruo'yong
丁善德,ding'shan'de
丁声树,ding'sheng'shu
丁是娥,ding'shi'e
丁蜀,ding'shu
丁税,ding'shui
丁托列托,ding'tuo'lie'tuo
丁烷,ding'wan
丁谓,ding'wei
丁惟汾,ding'wei'fen
丁韪良,ding'wei'liang
丁文江,ding'wen'jiang
丁烯二酸,ding'xi'er'suan
丁西林,ding'xi'lin
丁香,ding'xiang
丁香花,ding'xiang'hua
丁香结,ding'xiang'jie
丁香油,ding'xiang'you
丁香紫玉,ding'xiang'zi'yu
丁型病毒性肝炎,ding'xing'bing'du'xing'gan'yan
丁耀亢,ding'yao'kang
丁夜,ding'ye
丁颐,ding'yi
丁银,ding'yin
丁颖,ding'ying
丁忧,ding'you
丁云鹏,ding'yun'peng
丁瓒,ding'zan
丁振麟,ding'zhen'lin
丁字尺,ding'zi'chi
二八,er'ba
二八减租,er'ba'jian'zu
二斑叶螨,er'ban'ye'man
二倍体,er'bei'ti
二苯铬,er'ben'ge
二部制,er'bu'zhi
二长岩,er'chang'yan
二陈汤,er'chen'tang
二程全书,er'cheng'quan'shu
二齿兽,er'chi'shou
二冲程内燃机,er'chong'cheng'nei'ran'ji
二重真理,er'chong'zhen'li
二次采油,er'ci'cai'you
二次发射,er'ci'fa'she
二次方程,er'ci'fang'cheng
二次革命,er'ci'ge'ming
二次革命论,er'ci'ge'ming'lun
二次规划,er'ci'gui'hua
二次回路,er'ci'hui'lu
二次开花,er'ci'kai'hua
二次炼钢法,er'ci'lian'gang'fa
二次能源,er'ci'neng'yuan
二次破碎,er'ci'po'sui
二次曲面,er'ci'qu'mian
二次曲线,er'ci'qu'xian
二次污染,er'ci'wu'ran
二次形式,er'ci'xing'shi
二次枝,er'ci'zhi
二代发病率,er'dai'fa'bing'lv
二道坝,er'dao'ba
二谛,er'di
二点螟,er'dian'ming
二叠纪,er'die'ji
二叠系,er'die'xi
二读,er'du
二度梅,er'du'mei
二段式,er'duan'shi
二二八起义,er'er'ba'qi'yi
二二六事件,er'er'liu'shi'jian
二方连续,er'fang'lian'xu
二分点,er'fen'dian
二分法,er'fen'fa
二分明月,er'fen'ming'yue
二分圈,er'fen'quan
二辅,er'fu
二傅,er'fu
二副,er'fu
二府,er'fu
二锅头,er'guo'tou
二荷花史,er'he'hua'shi
二合元音,er'he'yuan'yin
二胡,er'hu
二花脸,er'hua'lian
二化螟,er'hua'ming
二化一放,er'hua'yi'fang
二黄,er'huang
二纪,er'ji
二极管,er'ji'guan
二级相变,er'ji'xiang'bian
二甲苯,er'jia'ben
