俺大,an'da
俺姥,an'lao
俺囊,an'nang
板了,ban'le
北开,bei'kai
表孙,biao'sun
别咕动,bie'gu'dong
别纂了,bie'zuan'le
冰咋凉,bing'za'liang
曹鱼板子,cao'yu'ban'zi
差妈夫,cha'ma'fu
朝怀饼,chao'huai'bing
呲水枪,ci'shui'qiang
大熟熟,da'shu'shu
大约母,da'yue'mu
叨菜,dao'cai
地蛋,di'dan
电棒,dian'bang
豆芽粉丝,dou'ya'fen'si
耳巴子,er'ba'zi
二大,er'da
方瓜,fang'gua
奋子,fen'zi
擀面皮,gan'mian'pi
刚饭,gang'fan
刚饭格子,gang'fan'ge'zi
割爱,ge'ai
膈拜子,ge'bai'zi
格机子,ge'ji'zi
跟么的汗,gen'me'de'han
工么的汗,gong'me'de'han
呱呱辣椒,gua'gua'la'jiao
管斤,guan'jin
锅胚子,guo'pei'zi
海了,hai'le
海孙,hai'sun
憨不朝吃的,han'bu'chao'chi'de
憨不愣怔的,han'bu'leng'zheng'de
黑个,hei'ge
湖里边了,hu'li'bian'le
乎你,hu'ni
花喜,hua'xi
黄菜,huang'cai
黄鳝,huang'shan
鸡鸡棍,ji'ji'gun
鸡屎皮子,ji'shi'pi'zi
假日马,jia'ri'ma
撅闸车,jue'zha'che
撅趾头,jue'zhi'tou
可管,ke'guan
坷啷,ke'lang
坷头蛋子,ke'tou'dan'zi
坷头溜子,ke'tou'liu'zi
裤腿撅子,ku'tui'jue'zi
块包,kuai'bao
拉各丝,la'ge'si
撂手,liao'shou
六叶子,liu'ye'zi
芦喳子,lu'zha'zi
麻叽子,ma'ji'zi
面餐子,mian'can'zi
哌死你,pai'si'ni
炮冲的,pao'chong'de
皮脸,pi'lian
匹你,pi'ni
蒲鸽子,pu'ge'zi
蒲种,pu'zhong
掐子,qia'zi
噻海了,sai'hai'le
三大,san'da
少蛋弦子,shao'dan'xian'zi
少火,shao'huo
少脑子,shao'nao'zi
手夫子,shou'fu'zi
手捏子,shou'nie'zi
太噻了,tai'sai'le
娃娃鱼,wa'wa'yu
下湖去了,xia'hu'qu'le
小鲈棍,xiao'lu'gun
小苺,xiao'mei
小熟熟,xiao'shu'shu
熊囊东西,xiong'nang'dong'xi
纂人,zuan'ren
