阿尔塞斯,a'er'sai'si
阿卡那瑟德刺人,a'ka'na'se'de'ci'ren
阿卡那瑟德掘地者,a'ka'na'se'de'jue'di'zhe
阿卡那瑟德领主,a'ka'na'se'de'ling'zhu
阿卡那瑟德战士,a'ka'na'se'de'zhan'shi
阿利亚之笛,a'li'ya'zhi'di
艾鲁尼之优雅,ai'lu'ni'zhi'you'ya
矮人直升机,ai'ren'zhi'sheng'ji
矮人直升机炸弹,ai'ren'zhi'sheng'ji'zha'dan
艾萨拉,ai'sa'la
暗夜,an'ye
暗夜精灵,an'ye'jing'ling
暗夜精灵形态,an'ye'jing'ling'xing'tai
暗影猎手,an'ying'lie'shou
暗影突袭,an'ying'tu'xi
白猪,bai'zhu
半人马刺客,ban'ren'ma'ci'ke
半人马弓箭手,ban'ren'ma'gong'jian'shou
半人马可汗,ban'ren'ma'ke'han
半人马苦工,ban'ren'ma'ku'gong
半人马巫师,ban'ren'ma'wu'shi
半人马先行者,ban'ren'ma'xian'xing'zhe
暴风雪,bao'feng'xue
保护卷轴,bao'hu'juan'zhou
堡垒,bao'lei
暴怒枭兽,bao'nu'xiao'shou
爆破,bao'po
爆小黑,bao'xiao'hei
变身,bian'shen
变相移动,bian'xiang'yi'dong
变形术,bian'xing'shu
变异两栖人,bian'yi'liang'qi'ren
冰冻喷吐,bing'dong'pen'tu
冰冻之箭,bing'dong'zhi'jian
冰封王座,bing'feng'wang'zuo
冰火两重天,bing'huo'liang'chong'tian
冰甲,bing'jia
冰龙,bing'long
冰魔高级牧师,bing'mo'gao'ji'mu'shi
冰魔狂战士,bing'mo'kuang'zhan'shi
冰魔猎手,bing'mo'lie'shou
冰魔首领,bing'mo'shou'ling
冰魔影子牧师,bing'mo'ying'zi'mu'shi
冰霜巨龙,bing'shuang'ju'long
冰牙猛犸,bing'ya'meng'ma
兵营,bing'ying
冰之巨魔,bing'zhi'ju'mo
步兵,bu'bing
补魔,bu'mo
不死族,bu'si'zu
不稳定化合物,bu'wen'ding'hua'he'wu
补血,bu'xue
残废,can'fei
操纵死尸,cao'zong'si'shi
操纵死尸卷轴,cao'zong'si'shi'juan'zhou
叉状闪电,cha'zhuang'shan'dian
缠绕金矿,chan'rao'jin'kuang
