哀牢山带,ai'lao'shan'dai
板块边界地震,ban'kuai'bian'jie'di'zhen
板块运动,ban'kuai'yun'dong
板内地震,ban'nei'di'zhen
板缘地震,ban'yuan'di'zhen
崩塌,beng'ta
变位错动,bian'wei'cuo'dong
测量场地,ce'liang'chang'di
测震,ce'zhen
长周期,chang'zhou'qi
传播方向,chuan'bo'fang'xiang
次生灾害,ci'sheng'zai'hai
大地电磁,da'di'dian'ci
大地振动,da'di'zhen'dong
大陆裂谷地震活动带,da'lu'lie'gu'di'zhen'huo'dong'dai
大洋中脊地震活动带,da'yang'zhong'ji'di'zhen'huo'dong'dai
单发型序列,dan'fa'xing'xu'lie
地表,di'biao
地表地质特征,di'biao'di'zhi'te'zheng
地层陷落,di'ceng'xian'luo
地磁,di'ci
地磁测量,di'ci'ce'liang
地电,di'dian
地电观测,di'dian'guan'ce
地动仪,di'dong'yi
地方震,di'fang'zhen
地光,di'guang
地光烧伤,di'guang'shao'shang
地裂缝,di'lie'feng
地面的破坏,di'mian'de'po'huai
地面振动,di'mian'zhen'dong
地壳,di'qiao
地壳形变观测,di'qiao'xing'bian'guan'ce
地壳振动,di'qiao'zhen'dong
地球表层,di'qiu'biao'ceng
地球动力学,di'qiu'dong'li'xue
地球内部传播,di'qiu'nei'bu'chuan'bo
地球深部构造,di'qiu'shen'bu'gou'zao
地球重力场,di'qiu'zhong'li'chang
地声,di'sheng
地下核爆炸,di'xia'he'bao'zha
地下流体,di'xia'liu'ti
地下水异常,di'xia'shui'yi'chang
地心轨道,di'xin'gui'dao
地心角,di'xin'jiao
地心经度,di'xin'jing'du
地心距离,di'xin'ju'li
地心圈,di'xin'quan
地心体系,di'xin'ti'xi
地心天顶,di'xin'tian'ding
地心纬度,di'xin'wei'du
地心位置,di'xin'wei'zhi
地心引力,di'xin'yin'li
地心坐标,di'xin'zuo'biao
地形变,di'xing'bian
地学大断面探测研究,di'xue'da'duan'mian'tan'ce'yan'jiu
地应力观测,di'ying'li'guan'ce
地震,di'zhen
地震保险,di'zhen'bao'xian
地震避难,di'zhen'bi'nan
地震波,di'zhen'bo
地震波传播,di'zhen'bo'chuan'bo
地震波衰减,di'zhen'bo'shuai'jian
地震波速比,di'zhen'bo'su'bi
地震波速度,di'zhen'bo'su'du
地震波体波,di'zhen'bo'ti'bo
地震波走时,di'zhen'bo'zou'shi
地震波走时异常,di'zhen'bo'zou'shi'yi'chang
地震不连续面,di'zhen'bu'lian'xu'mian
地震参数,di'zhen'can'shu
地震测震学,di'zhen'ce'zhen'xue
地震层序,di'zhen'ceng'xu
地震场,di'zhen'chang
地震长期预报,di'zhen'chang'qi'yu'bao
地震成像,di'zhen'cheng'xiang
地震成因,di'zhen'cheng'yin
地震重复间隔,di'zhen'chong'fu'jian'ge
地震初波,di'zhen'chu'bo
地震错距,di'zhen'cuo'ju
地震大地构造学,di'zhen'da'di'gou'zao'xue
地震带,di'zhen'dai
地震道,di'zhen'dao
地震的原生现象,di'zhen'de'yuan'sheng'xian'xiang
地震地磁,di'zhen'di'ci
地震地貌,di'zhen'di'mao
地震地质,di'zhen'di'zhi
地震地质效应,di'zhen'di'zhi'xiao'ying
地震地质学,di'zhen'di'zhi'xue
地震地质灾害,di'zhen'di'zhi'zai'hai
地震电效应,di'zhen'dian'xiao'ying
地震调查,di'zhen'diao'cha
地震定量,di'zhen'ding'liang
地震定位,di'zhen'ding'wei
地震动参数,di'zhen'dong'can'shu
地震陡坎,di'zhen'dou'kan
地震断层,di'zhen'duan'ceng
地震断层错动,di'zhen'duan'ceng'cuo'dong
地震短期预报,di'zhen'duan'qi'yu'bao
地震对策,di'zhen'dui'ce
地震反射,di'zhen'fan'she
地震反演,di'zhen'fan'yan
地震反应,di'zhen'fan'ying
地震反应谱,di'zhen'fan'ying'pu
地震反应小区划,di'zhen'fan'ying'xiao'qu'hua
地震放大器,di'zhen'fang'da'qi
地震分布图,di'zhen'fen'bu'tu
地震分类,di'zhen'fen'lei
地震复发,di'zhen'fu'fa
地震各向异性,di'zhen'ge'xiang'yi'xing
地震工程,di'zhen'gong'cheng
地震工程地质条件,di'zhen'gong'cheng'di'zhi'tiao'jian
地震工程地质学,di'zhen'gong'cheng'di'zhi'xue
地震工程学,di'zhen'gong'cheng'xue
地震构造,di'zhen'gou'zao
地震构造区,di'zhen'gou'zao'qu
地震构造区划,di'zhen'gou'zao'qu'hua
地震构造图,di'zhen'gou'zao'tu
地震观测,di'zhen'guan'ce
地震光缆,di'zhen'guang'lan
地震过程,di'zhen'guo'cheng
地震海啸,di'zhen'hai'xiao
地震荷载,di'zhen'he'zai
地震横波,di'zhen'heng'bo
地震宏观调查,di'zhen'hong'guan'diao'cha
地震湖,di'zhen'hu
地震回放仪,di'zhen'hui'fang'yi
地震会商,di'zhen'hui'shang
地震活动带,di'zhen'huo'dong'dai
地震活动动态分析,di'zhen'huo'dong'dong'tai'fen'xi
地震活动度,di'zhen'huo'dong'du
地震活动断层,di'zhen'huo'dong'duan'ceng
地震活动平静期,di'zhen'huo'dong'ping'jing'qi
地震活动图,di'zhen'huo'dong'tu
地震活动性,di'zhen'huo'dong'xing
地震活动性区划,di'zhen'huo'dong'xing'qu'hua
地震活动异常,di'zhen'huo'dong'yi'chang
地震活跃期,di'zhen'huo'yue'qi
地震计,di'zhen'ji
地震基本烈度,di'zhen'ji'ben'lie'du
地震记录,di'zhen'ji'lu
地震机制,di'zhen'ji'zhi
地震加速度,di'zhen'jia'su'du
地震加速度图,di'zhen'jia'su'du'tu
地震检波器,di'zhen'jian'bo'qi
地震监测,di'zhen'jian'ce
地震监视系统,di'zhen'jian'shi'xi'tong
地震界面,di'zhen'jie'mian
地震解耦,di'zhen'jie'ou
地震静力学,di'zhen'jing'li'xue
地震矩,di'zhen'ju
地震矩张量,di'zhen'ju'zhang'liang
地震勘探,di'zhen'kan'tan
地震科学,di'zhen'ke'xue
地震空区,di'zhen'kong'qu
地震控制,di'zhen'kong'zhi
地震力,di'zhen'li
地震历时,di'zhen'li'shi
地震烈度,di'zhen'lie'du
地震烈度表,di'zhen'lie'du'biao
地震烈度评定,di'zhen'lie'du'ping'ding
地震烈度区划,di'zhen'lie'du'qu'hua
地震烈度小区划,di'zhen'lie'du'xiao'qu'hua
地震烈度异常,di'zhen'lie'du'yi'chang
地震流体地质学,di'zhen'liu'ti'di'zhi'xue
地震滤波,di'zhen'lv'bo
地震盲区,di'zhen'mang'qu
地震面波,di'zhen'mian'bo
地震模拟,di'zhen'mo'ni
地震能,di'zhen'neng
地震能级,di'zhen'neng'ji
地震耦合,di'zhen'ou'he
地震频度,di'zhen'pin'du
地震平静期,di'zhen'ping'jing'qi
地震平静区,di'zhen'ping'jing'qu
地震剖面,di'zhen'pou'mian
地震谱,di'zhen'pu
地震迁移,di'zhen'qian'yi
地震前兆,di'zhen'qian'zhao
地震前兆效应,di'zhen'qian'zhao'xiao'ying
地震强度,di'zhen'qiang'du
地震区,di'zhen'qu
地震区划,di'zhen'qu'hua
地震区划图,di'zhen'qu'hua'tu
地震趋势分析,di'zhen'qu'shi'fen'xi
地震全息照相,di'zhen'quan'xi'zhao'xiang
地震群,di'zhen'qun
地震扰动,di'zhen'rao'dong
地震散射,di'zhen'san'she
地震三要素,di'zhen'san'yao'su
地震社会学,di'zhen'she'hui'xue
地震设计烈度,di'zhen'she'ji'lie'du
地震射线,di'zhen'she'xian
地震射线理论,di'zhen'she'xian'li'lun
地震深度,di'zhen'shen'du
地震声学,di'zhen'sheng'xue
地震史,di'zhen'shi
地震事件,di'zhen'shi'jian
地震时空分布,di'zhen'shi'kong'fen'bu
地震首波,di'zhen'shou'bo
地震衰减,di'zhen'shuai'jian
地震水文地球化学,di'zhen'shui'wen'di'qiu'hua'xue
地震台,di'zhen'tai
地震台网,di'zhen'tai'wang
地震台阵,di'zhen'tai'zhen
地震弹性回跳理论,di'zhen'tan'xing'hui'tiao'li'lun
地震体波,di'zhen'ti'bo
地震天气,di'zhen'tian'qi
地震天文学,di'zhen'tian'wen'xue
地震条件,di'zhen'tiao'jian
地震统计学,di'zhen'tong'ji'xue
地震图,di'zhen'tu
地震图像,di'zhen'tu'xiang
地震图像识别,di'zhen'tu'xiang'shi'bie
地震尾波,di'zhen'wei'bo
地震位错,di'zhen'wei'cuo
地震位能,di'zhen'wei'neng
地震危险估计,di'zhen'wei'xian'gu'ji
地震危险评价,di'zhen'wei'xian'ping'jia
地震危险区,di'zhen'wei'xian'qu
地震危险区划,di'zhen'wei'xian'qu'hua
地震危险图,di'zhen'wei'xian'tu
地震危险性,di'zhen'wei'xian'xing
地震危险性分析,di'zhen'wei'xian'xing'fen'xi
地震危险性评定,di'zhen'wei'xian'xing'ping'ding
地震位置,di'zhen'wei'zhi
地震物理学,di'zhen'wu'li'xue
地震系列,di'zhen'xi'lie
地震系数,di'zhen'xi'shu
地震线,di'zhen'xian
地震现场科考,di'zhen'xian'chang'ke'kao
地震响应,di'zhen'xiang'ying
地震效率,di'zhen'xiao'lv
地震小区划,di'zhen'xiao'qu'hua
地震效应,di'zhen'xiao'ying
地震信号,di'zhen'xin'hao
地震行波,di'zhen'xing'bo
地震序列,di'zhen'xu'lie
地震序列类型,di'zhen'xu'lie'lei'xing
地震学,di'zhen'xue
地震遥测,di'zhen'yao'ce
地震遥感,di'zhen'yao'gan
地震仪,di'zhen'yi
地震仪标定,di'zhen'yi'biao'ding
地震仪参数,di'zhen'yi'can'shu
地震异常,di'zhen'yi'chang
地震易损性,di'zhen'yi'sun'xing
地震易损性分析,di'zhen'yi'sun'xing'fen'xi
地震应急,di'zhen'ying'ji
地震影区,di'zhen'ying'qu
地震影响场区划,di'zhen'ying'xiang'chang'qu'hua
地震有感范围,di'zhen'you'gan'fan'wei
地震预报,di'zhen'yu'bao
地震预报对策,di'zhen'yu'bao'dui'ce
地震预防,di'zhen'yu'fang
地震云,di'zhen'yun
地震灾害,di'zhen'zai'hai
地震噪声,di'zhen'zao'sheng
地震震动,di'zhen'zhen'dong
地震震级,di'zhen'zhen'ji
地震震相,di'zhen'zhen'xiang
地震震源,di'zhen'zhen'yuan
地震震中,di'zhen'zhen'zhong
地震震中分布图,di'zhen'zhen'zhong'fen'bu'tu
地震中期预报,di'zhen'zhong'qi'yu'bao
地震周期,di'zhen'zhou'qi
地震周期性,di'zhen'zhou'qi'xing
地震专用测量标志,di'zhen'zhuan'yong'ce'liang'biao'zhi
地震纵波,di'zhen'zong'bo
地震走时表,di'zhen'zou'shi'biao
地震走时曲线,di'zhen'zou'shi'qu'xian
地震作用,di'zhen'zuo'yong
电磁异常,dian'ci'yi'chang
典型大震震害,dian'xing'da'zhen'zhen'hai
东北深震带,dong'bei'shen'zhen'dai
抖动,dou'dong
断裂地震,duan'lie'di'zhen
短期预报,duan'qi'yu'bao
短周期,duan'zhou'qi
多震型序列,duo'zhen'xing'xu'lie
尔格,er'ge
反常变化,fan'chang'bian'hua
翻花冒泡,fan'hua'mao'pao
房屋加固,fang'wu'jia'gu
非洲板块,fei'zhou'ban'kuai
工程震害,gong'cheng'zhen'hai
供电设施,gong'dian'she'shi
公共场所避震,gong'gong'chang'suo'bi'zhen
供水设施,gong'shui'she'shi
工业爆破,gong'ye'bao'po
构造地震,gou'zao'di'zhen
构造地震的分类,gou'zao'di'zhen'de'fen'lei
构造物理实验,gou'zao'wu'li'shi'yan
构筑物,gou'zhu'wu
孤立型地震,gu'li'xing'di'zhen
孤立型序列,gu'li'xing'xu'lie
观测井,guan'ce'jing
观测数据,guan'ce'shu'ju
