阿达,a'da
啊四,a'si
挨挫,ai'cuo
半拉子,ban'la'zi
包逗,bao'dou
毕咧,bi'lie
冰溜子,bing'liu'zi
不灵醒,bu'ling'xing
蚕火,can'huo
缠伙,chan'huo
缠活,chan'huo
瓷锤子,ci'chui'zi
瓷马二愣,ci'ma'er'leng
瓷实,ci'shi
瓷怂,ci'song
打发娃,da'fa'wa
大原,da'yuan
得能,de'neng
电壶,dian'hu
奠酒,dian'jiu
丢吨,diu'dun
兜兜,dou'dou
逗火,dou'huo
恶水,e'shui
二杆子,er'gan'zi
二糊糊,er'hu'hu
二球,er'qiu
嘎达马西,ga'da'ma'xi
旮旯,ga'la
干早,gan'zao
圪蹴,ge'cu
圪圪拧拧,ge'ge'ning'ning
媾子,gou'zi
瓜瓜,gua'gua
刮迷失念,gua'mi'shi'nian
刮批,gua'pi
瓜皮,gua'pi
瓜娃,gua'wa
瓜熊瓷锤,gua'xiong'ci'chui
瓜子,gua'zi
哈哈,ha'ha
哈事,ha'shi
哈水,ha'shui
哈怂,ha'song
喝汤,he'tang
哄人,hong'ren
红堂瓜水,hong'tang'gua'shui
后晌,hou'shang
胡凑,hu'cou
糊弄,hu'nong
胡砌,hu'qi
胡设,hu'she
花搅,hua'jiao
花梢,hua'shao
伙计,huo'ji
活式,huo'shi
煎火,jian'huo
煎水,jian'shui
叫驴,jiao'lv
尻门子,kao'men'zi
尻子,kao'zi
瞌飞,ke'fei
刻立马嚓,ke'li'ma'cha
涝池,lao'chi
老蛙,lao'wa
老碗,lao'wan
撩咋咧,liao'za'lie
咧远,lie'yuan
灵醒,ling'xing
麻达,ma'da
麻卡,ma'ka
麻眼事,ma'yan'shi
蛮势,man'shi
茅房,mao'fang
茅坑,mao'keng
么麻达,me'ma'da
么念塞,me'nian'sai
么怂相,me'song'xiang
闷松,men'song
明隔,ming'ge
莫四,mo'si
莫相,mo'xiang
莫熊相,mo'xiong'xiang
牟乱,mou'luan
木犊,mu'du
木犊娃,mu'du'wa
暮攮,mu'nang
那达,na'da
难场,nan'chang
难畅,nan'chang
腻子,ni'zi
捻不处处,nian'bu'chu'chu
念传,nian'chuan
蔫人,nian'ren
皮干,pi'gan
皮实,pi'shi
谝闲传,pian'xian'chuan
品麻,pin'ma
泼凡,po'fan
泼烦,po'fan
前个,qian'ge
怯火,qie'huo
挈子,qie'zi
卿忙,qing'mang
球不顶,qiu'bu'ding
球蹲脸,qiu'dun'lian
球势架子,qiu'shi'jia'zi
冉面,ran'mian
瓤人,rang'ren
日韩杆子,ri'han'gan'zi
日塌,ri'ta
塞黑拐,sai'hei'guai
搡眼,sang'yan
桑眼,sang'yan
骚情,sao'qing
森人,sen'ren
上杆子,shang'gan'zi
似伙,si'huo
怂相,song'xiang
碎猴,sui'hou
碎怂,sui'song
碎娃,sui'wa
碎揍儿,sui'zou'er
谈嫌,tan'xian
歪人,wai'ren
万货,wan'huo
细发,xi'fa
惜惶,xi'huang
细相,xi'xiang
瞎了,xia'le
瞎熊,xia'xiong
显花,xian'hua
献餮,xian'tie
严窝,yan'wo
洋火,yang'huo
洋碱,yang'jian
洋柿子,yang'shi'zi
夜隔,ye'ge
远咧,yuan'lie
咋个相,za'ge'xiang
咋咧,za'lie
糟怪,zao'guai
蚤鸟,zao'niao
贼怂,zei'song
贼娃子,zei'wa'zi
扎势,zha'shi
沾布,zhan'bu
招识,zhao'shi
挣人,zheng'ren
吱哇,zhi'wa
猪唠唠,zhu'lao'lao
