按地电阻值,an'di'dian'zu'zhi
安全,an'quan
安全接地,an'quan'jie'di
安装尺寸,an'zhuang'chi'cun
安装容量,an'zhuang'rong'liang
避雷带,bi'lei'dai
避雷器,bi'lei'qi
避雷针,bi'lei'zhen
比例,bi'li
编号,bian'hao
变配电站,bian'pei'dian'zhan
变压器,bian'ya'qi
标高,biao'gao
标注,biao'zhu
标准图,biao'zhun'tu
补偿柜,bu'chang'gui
补充图例,bu'chong'tu'li
布线,bu'xian
布置图,bu'zhi'tu
操作电源,cao'zuo'dian'yuan
侧击雷,ce'ji'lei
测试点,ce'shi'dian
层数,ceng'shu
插座,cha'zuo
重复接地,chong'fu'jie'di
初步设计,chu'bu'she'ji
单相负荷,dan'xiang'fu'he
档距,dang'ju
挡数,dang'shu
道路,dao'lu
等电位,deng'dian'wei
灯具,deng'ju
地形,di'xing
电工仪表,dian'gong'yi'biao
电气总平面图,dian'qi'zong'ping'mian'tu
电源点,dian'yuan'dian
电源接地,dian'yuan'jie'di
顶层,ding'ceng
定货,ding'huo
镀锌扁钢,du'xin'bian'gang
断接卡,duan'jie'ka
断路器,duan'lu'qi
端子排,duan'zi'pai
二次原理图,er'ci'yuan'li'tu
二次装修,er'ci'zhuang'xiu
发电机,fa'dian'ji
方案,fang'an
方案设计,fang'an'she'ji
防爆,fang'bao
防高电位引入,fang'gao'dian'wei'yin'ru
方框图,fang'kuang'tu
防雷,fang'lei
防雷措施,fang'lei'cuo'shi
防雷击电磁脉冲,fang'lei'ji'dian'ci'mai'chong
防雷类别,fang'lei'lei'bie
风机,feng'ji
敷设安装,fu'she'an'zhuang
敷设方法,fu'she'fang'fa
敷设方式,fu'she'fang'shi
附图,fu'tu
杆高,gan'gao
杆位,gan'wei
钢筋,gang'jin
钢筋混凝土,gang'jin'hun'ning'tu
钢柱,gang'zhu
高低压,gao'di'ya
供电回路,gong'dian'hui'lu
工艺设备,gong'yi'she'bei
共用接地,gong'yong'jie'di
工作接地,gong'zuo'jie'di
构筑物,gou'zhu'wu
归档,gui'dang
锅炉房,guo'lu'fang
回路,hui'lu
火灾自动报警,huo'zai'zi'dong'bao'jing
基础钢筋,ji'chu'gang'jin
基础内钢筋,ji'chu'nei'gang'jin
继电保护,ji'dian'bao'hu
继电器,ji'dian'qi
计量仪表,ji'liang'yi'biao
计算电流,ji'suan'dian'liu
计算书,ji'suan'shu
架空,jia'kong
夹芯板,jia'xin'ban
加压风机,jia'ya'feng'ji
检测,jian'ce
建筑电气,jian'zhu'dian'qi
建筑物,jian'zhu'wu
接地,jie'di
接地保护,jie'di'bao'hu
接地电阻,jie'di'dian'zu
接地干线,jie'di'gan'xian
接地极,jie'di'ji
接地螺栓,jie'di'luo'shuan
接地平面图,jie'di'ping'mian'tu
接地网,jie'di'wang
接地线,jie'di'xian
接闪器,jie'shan'qi
进出线,jin'chu'xian
进风机,jin'feng'ji
局部等电位,ju'bu'deng'dian'wei
开关,kai'guan
开关柜,kai'guan'gui
可靠焊接,ke'kao'han'jie
空调机组,kong'tiao'ji'zu
控制柜,kong'zhi'gui
控制原理图,kong'zhi'yuan'li'tu
拉线,la'xian
冷冻泵,leng'dong'beng
冷冻机组,leng'dong'ji'zu
冷却泵,leng'que'beng
冷水机组,leng'shui'ji'zu
楼层,lou'ceng
模数,mo'shu
母线,mu'xian
排烟风机,pai'yan'feng'ji
配电平面图,pei'dian'ping'mian'tu
配电系统图,pei'dian'xi'tong'tu
配电箱,pei'dian'xiang
配电箱系统图,pei'dian'xiang'xi'tong'tu
喷淋泵,pen'lin'beng
喷洒泵,pen'sa'beng
平剖面图,ping'pou'mian'tu
轻钢,qing'gang
热工,re'gong
容量,rong'liang
设备安装,she'bei'an'zhuang
设备监控,she'bei'jian'kong
设计概况,she'ji'gai'kuang
设计说明,she'ji'shuo'ming
设计图纸,she'ji'tu'zhi
施工图,shi'gong'tu
施工要求,shi'gong'yao'qiu
室外,shi'wai
鼠笼式,shu'long'shi
竖向,shu'xiang
双速风机,shuang'su'feng'ji
水泵,shui'beng
台面,tai'mian
台数,tai'shu
通用图,tong'yong'tu
图集,tu'ji
土建,tu'jian
图纸目录,tu'zhi'mu'lu
屋面,wu'mian
系统集成,xi'tong'ji'cheng
线路,xian'lu
相别,xiang'bie
消防联动,xiao'fang'lian'dong
消火栓泵,xiao'huo'shuan'beng
小室,xiao'shi
新风机组,xin'feng'ji'zu
信号原理图,xin'hao'yuan'li'tu
型号,xing'hao
型式,xing'shi
压型钢板,ya'xing'gang'ban
仪表盘,yi'biao'pan
一次线路图,yi'ci'xian'lu'tu
引下线,yin'xia'xian
用户名称,yong'hu'ming'cheng
预留,yu'liu
预埋件,yu'mai'jian
圆钢,yuan'gang
照明灯具,zhao'ming'deng'ju
照明平面图,zhao'ming'ping'mian'tu
指北针,zhi'bei'zhen
支架,zhi'jia
直流电源,zhi'liu'dian'yuan
直流柜,zhi'liu'gui
直流接地,zhi'liu'jie'di
终端,zhong'duan
重要负荷,zhong'yao'fu'he
主要设备表,zhu'yao'she'bei'biao
桩基,zhuang'ji
自动调节,zi'dong'tiao'jie
自然接地体,zi'ran'jie'di'ti
总等电位,zong'deng'dian'wei
