阿斯玛,a'si'ma
阿修罗,a'xiu'luo
暗部,an'bu
芭蕉扇,ba'jiao'shan
八门遁甲,ba'men'dun'jia
百豪之术,bai'hao'zhi'shu
白绝,bai'jue
白眼,bai'yan
表莲华,biao'lian'hua
并足雷同,bing'zu'lei'tong
波风水门,bo'feng'shui'men
博人,bo'ren
草薙剑,cao'ti'jian
查克拉,cha'ke'la
查克拉果实,cha'ke'la'guo'shi
长门,chang'men
长十郎,chang'shi'lang
赤胴铠,chi'dong'kai
赤丸,chi'wan
雏田,chu'tian
春野樱,chun'ye'ying
磁遁,ci'dun
次郎坊,ci'lang'fang
大蛤蟆仙人,da'ha'ma'xian'ren
大和,da'he
达鲁伊,da'lu'yi
大蛇丸,da'she'wan
大筒木,da'tong'mu
大筒木辉夜,da'tong'mu'hui'ye
大筒木金式,da'tong'mu'jin'shi
大筒木舍人,da'tong'mu'she'ren
大筒木桃式,da'tong'mu'tao'shi
大筒木羽村,da'tong'mu'yu'cun
大筒木羽衣,da'tong'mu'yu'yi
大野木,da'ye'mu
达兹纳,da'zi'na
带土,dai'tu
地爆天星,di'bao'tian'xing
迪达拉,di'da'la
地陆,di'lu
电气,dian'qi
丁次,ding'ci
丁座,ding'zuo
多由也,duo'you'ye
飞段,fei'duan
沸遁,fei'dun
风遁,feng'dun
风遁螺旋手里剑,feng'dun'luo'xuan'shou'li'jian
风魔手里剑,feng'mo'shou'li'jian
封印之书,feng'yin'zhi'shu
风影,feng'ying
纲手,gang'shou
钢子铁,gang'zi'tie
怪力,guai'li
怪力无双,guai'li'wu'shuang
鬼灯满月,gui'deng'man'yue
鬼灯水月,gui'deng'shui'yue
鬼鲛,gui'jiao
鬼童丸,gui'tong'wan
蛤蟆广,ha'ma'guang
蛤蟆吉,ha'ma'ji
蛤蟆健,ha'ma'jian
蛤蟆龙,ha'ma'long
蛤蟆文太,ha'ma'wen'tai
海老蔵,hai'lao'cang
亥一,hai'yi
好色仙人,hao'se'xian'ren
黑绝,hei'jue
黑土,hei'tu
红葫芦,hong'hu'lu
后宫术,hou'gong'shu
琥珀净瓶,hu'po'jing'ping
花火,hua'huo
幻术,huan'shu
愰金绳,huang'jin'sheng
惠比斯,hui'bi'si
辉夜一族,hui'ye'yi'zu
火遁,huo'dun
火遁凤仙花爪红,huo'dun'feng'xian'hua'zhao'hong
火遁凤仙火之术,huo'dun'feng'xian'huo'zhi'shu
火遁蛤蟆油炎弹,huo'dun'ha'ma'you'yan'dan
火遁豪火球之术,huo'dun'hao'huo'qiu'zhi'shu
火遁豪龙火之术,huo'dun'hao'long'huo'zhi'shu
火遁灰积烧,huo'dun'hui'ji'shao
火遁龙火之术,huo'dun'long'huo'zhi'shu
火遁头刻苦,huo'dun'tou'ke'ku
火遁炎弹,huo'dun'yan'dan
火影,huo'ying
疾风,ji'feng
极乐之匣,ji'le'zhi'xia
矶怃,ji'wu
加琉罗,jia'liu'luo
剑三隅,jian'san'yu
角都,jiao'du
焦遁,jiao'dun
鲛肌,jiao'ji
津奈美,jin'nai'mei
晶遁,jing'dun
井野,jing'ye
静音,jing'yin
井阵,jing'zhen
九喇嘛,jiu'la'ma
卷轴,juan'zhou
卷轴蛤蟆,juan'zhou'ha'ma
君麻吕,jun'ma'lv
卡多,ka'duo
卡卡西,ka'ka'xi
卡鲁伊,ka'lu'yi
勘九郎,kan'jiu'lang
拷贝忍者,kao'bei'ren'zhe
苦无,ku'wu
傀儡术,kui'lei'shu
蛞蝓,kuo'yu
岚遁,lan'dun
兰丸,lan'wan
雷刀,lei'dao
雷遁,lei'dun
雷遁地走,lei'dun'de'zou
雷遁雷分身,lei'dun'lei'fen'shen
雷遁麒麟,lei'dun'qi'lin
雷遁四柱束缚之术,lei'dun'si'zhu'shu'fu'zhi'shu
雷门电气,lei'men'dian'qi
雷切,lei'qie
雷牙,lei'ya
雷影,lei'ying
里莲华,li'lian'hua
李洛克,li'luo'ke
镰鼬,lian'you
零尾,ling'wei
六道仙人,liu'dao'xian'ren
鹿代,lu'dai
鹿丸,lu'wan
轮回眼,lun'hui'yan
轮墓边狱,lun'mu'bian'yu
螺旋丸,luo'xuan'wan
绿青葵,lv'qing'kui
马基,ma'ji
猫婆婆,mao'po'po
猫又,mao'you
梅塔尔,mei'ta'er
萌黄,meng'huang
弥彦,mi'yan
冥遁,ming'dun
鸣门大桥,ming'men'da'qiao
鸣人,ming'ren
木遁,mu'dun
木叶村,mu'ye'cun
木叶丸,mu'ye'wan
木叶旋风,mu'ye'xuan'feng
奈良一族,nai'liang'yi'zu
宁次,ning'ci
牛鬼,niu'gui
帕克,pa'ke
佩恩,pei'en
彭侯,peng'hou
平目鲽,ping'mu'die
旗木朔茂,qi'mu'shuo'mao
七星剑,qi'xing'jian
千代,qian'dai
千年杀,qian'nian'sha
千手绳树,qian'shou'sheng'shu
千手一族,qian'shou'yi'zu
秋道蝶蝶,qiu'dao'die'die
秋道一族,qiu'dao'yi'zu
求道玉,qiu'dao'yu
泉奈,quan'nai
忍猫,ren'mao
日差,ri'cha
日葵,ri'kui
日向一族,ri'xiang'yi'zu
日斩,ri'zhan
日足,ri'zu
溶遁,rong'dun
熔遁,rong'dun
