白坂,bai'ban
白佛岩瀑布,bai'fo'yan'pu'bu
柏清包子,bai'qing'bao'zi
白糖糕,bai'tang'gao
百竹步行街,bai'zhu'bu'xing'jie
半爿月,ban'pan'yue
包子,bao'zi
北门,bei'men
鹁鸪头,bo'gu'tou
步坑口,bu'keng'kou
曹家,cao'jia
岑山,cen'shan
岑山路,cen'shan'lu
茶叶,cha'ye
葱饼,cong'bing
葱花肉,cong'hua'rou
翠光,cui'guang
大坂桥,da'ban'qiao
大街,da'jie
大栗糕,da'li'gao
大众路,da'zhong'lu
道琴,dao'qin
倒用,dao'yong
吊儿郎当,diao'er'lang'dang
丁倒格勒,ding'dao'ge'le
东华街,dong'hua'jie
东华街道办,dong'hua'jie'dao'ban
东山湾,dong'shan'wan
冬笋,dong'sun
豆豉,dou'chi
豆腐花,dou'fu'hua
豆腐圆子,dou'fu'yuan'zi
豆丝,dou'si
杜挖鼻葱,du'wa'bi'cong
杜挖肠,du'wa'chang
杜挖妞,du'wa'niu
杜挖头风,du'wa'tou'feng
渡贤头,du'xian'tou
额则,e'ze
鹅掌,e'zhang
发糕,fa'gao
范布,fan'bu
方门街,fang'men'jie
方山茶,fang'shan'cha
方坦,fang'tan
粉干,fen'gan
凤凰山,feng'huang'shan
佛笑,fo'xiao
浮杯塔,fu'bei'ta
福泰隆,fu'tai'long
柑桔,gan'ju
甘溪垄,gan'xi'long
高仙塘,gao'xian'tang
格钉格嘚,ge'ding'ge'de
姑嗲,gu'dia
姑蔑,gu'mie
姑篾,gu'mie
谷水路,gu'shui'lu
官村祝,guan'cun'zhu
官潭,guan'tan
桂花糕,gui'hua'gao
横路祝,heng'lu'zhu
横山,heng'shan
横山塔,heng'shan'ta
洪呈,hong'cheng
红星,hong'xing
红枣糕,hong'zao'gao
后田铺,hou'tian'pu
湖底叶,hu'di'ye
护国禅院,hu'guo'chan'yuan
胡里百里,hu'li'bai'li
虎头山,hu'tou'shan
湖岩塔,hu'yan'ta
湖镇,hu'zhen
华茂,hua'mao
华西园,hua'xi'yuan
黄花梨,huang'hua'li
馄饨,hun'tun
火山颈,huo'shan'jing
既东掰西,ji'dong'bai'xi
鸡鸣,ji'ming
鸡鸣路,ji'ming'lu
鸡鸣山,ji'ming'shan
鸡鸣塔,ji'ming'ta
鸡子,ji'zi
鸡子粿,ji'zi'guo
嘉业书店,jia'ye'shu'dian
见猫,jian'mao
江滨公园,jiang'bin'gong'yuan
酱粿,jiang'guo
酱样,jiang'yang
姜益大广货店,jiang'yi'da'guang'huo'dian
街路,jie'lu
劲动邦,jin'dong'bang
进士第,jin'shi'di
锦绣龙城,jin'xiu'long'cheng
开洋豆腐干,kai'yang'dou'fu'gan
空姥姥,kong'lao'lao
口部很老,kou'bu'hen'lao
库易,ku'yi
莱茵河畔,lai'yin'he'pan
兰石,lan'shi
老内子,lao'nei'zi
老三老四,lao'san'lao'si
老窝铲,lao'wo'chan
老窝壳,lao'wo'ke
乐虎,le'hu
乐特,le'te
莲子,lian'zi
聊屁,liao'pi
灵江,ling'jiang
灵山江,ling'shan'jiang
六春湖,liu'chun'hu
柳村,liu'cun
龙二高,long'er'gao
龙兰路,long'lan'lu
龙丘山,long'qiu'shan
龙潭瀑布,long'tan'pu'bu
龙翔路,long'xiang'lu
龙游商帮,long'you'shang'bang
龙中,long'zhong
龙洲公园,long'zhou'gong'yuan
龙洲街道,long'zhou'jie'dao
龙洲塔,long'zhou'ta
罗家,luo'jia
马墩,ma'dun
馒头,man'tou
毛吧,mao'ba
毛竹,mao'zhu
么劲,me'jin
酶柑甜肉,mei'gan'tian'rou
梦里红豆杉群,meng'li'hong'dou'shan'qun
懵里懵懂,meng'li'meng'dong
米糊,mi'hu
庙下,miao'xia
民居苑,min'ju'yuan
模环,mo'huan
沐尘畲族乡,mu'chen'she'zu'xiang
沐尘塔,mu'chen'ta
尼星,ni'xing
弄佛拎清,nong'fo'lin'qing
农迷饭,nong'mi'fan
糯米饭,nuo'mi'fan
女居瓜,nv'ju'gua
平政路,ping'zheng'lu
婆剧,po'ju
千层糕,qian'ceng'gao
千里岗,qian'li'gang
荞麦粿,qiao'mai'guo
荞麦面,qiao'mai'mian
翘毛,qiao'mao
桥下,qiao'xia
清风雅苑,qing'feng'ya'yuan
清糕,qing'gao
清廉,qing'lian
清廉路,qing'lian'lu
清明粿,qing'ming'guo
衢江,qu'jiang
衢龙路,qu'long'lu
荣昌广场,rong'chang'guang'chang
荣昌路,rong'chang'lu
肉圆,rou'yuan
撒布,sa'bu
撒鬼,sa'gui
撒了被,sa'le'bei
撒了呗,sa'le'bei
三叠岩,san'die'yan
三门源,san'men'yuan
三头一掌,san'tou'yi'zhang
三爪坞,san'zhao'wu
刹下塔,sha'xia'ta
山底,shan'di
上圩头,shang'xu'tou
上杨村,shang'yang'cun
绍衣趟,shao'yi'tang
舍利塔,she'li'ta
社阳,she'yang
时代广场,shi'dai'guang'chang
石佛,shi'fo
世纪联华,shi'ji'lian'hua
石窟,shi'ku
石窟饼,shi'ku'bing
石郎山,shi'lang'shan
十里铺,shi'li'pu
狮子桥,shi'zi'qiao
手工面,shou'gong'mian
蔬菜村,shu'cai'cun
薯粉,shu'fen
寺后,si'hou
随豆,sui'dou
隋故,sui'gu
笋干,sun'gan
笋块,sun'kuai
笋竹,sun'zhu
塔石,ta'shi
太平东路,tai'ping'dong'lu
太平西路,tai'ping'xi'lu
唐尧,tang'yao
甜酒酿,tian'jiu'niang
秃山尖,tu'shan'jian
兔头,tu'tou
伟嘚,wei'de
魏家,wei'jia
微些,wei'xie
文化路,wen'hua'lu
婺剧,wu'ju
乌石山,wu'shi'shan
乌石寺,wu'shi'si
溪口,xi'kou
西门,xi'men
西山排,xi'shan'pai
席殊,xi'shu
吓死能,xia'si'neng
下洋,xia'yang
下杨村,xia'yang'cun
仙霞岭,xian'xia'ling
响动,xiang'dong
项庄,xiang'zhuang
小高山,xiao'gao'shan
小黄瓜,xiao'huang'gua
小辣椒,xiao'la'jiao
小南海,xiao'nan'hai
小酥饼,xiao'su'bing
晓溪生态沟,xiao'xi'sheng'tai'gou
新二路,xin'er'lu
新建,xin'jian
新桥头,xin'qiao'tou
