爱吃不歹,ai'chi'bu'dai
碍你鸡毛事,ai'ni'ji'mao'shi
按倒霉处理,an'dao'mei'chu'li
巴丑,ba'chou
巴丑巴丑,ba'chou'ba'chou
巴苦,ba'ku
巴苦巴苦,ba'ku'ba'ku
拔骚,ba'sao
败的色,bai'de'se
败得瑟了,bai'de'se'le
败个痒人,bai'ge'yang'ren
白虎俺,bai'hu'an
摆老来哥了我,bai'lao'lai'ge'le'wo
败抓唬我,bai'zhua'hu'wo
半彪不傻,ban'biao'bu'sha
绊马腿,ban'ma'tui
棒八,bang'ba
棒二,bang'er
棒尖,bang'jian
棒九,bang'jiu
棒令,bang'ling
棒六,bang'liu
棒七,bang'qi
棒三,bang'san
棒十,bang'shi
棒四,bang'si
棒五,bang'wu
苞米面,bao'mi'mian
被门夹了,bei'men'jia'le
背死,bei'si
背下来,bei'xia'lai
奔儿头,ben'er'tou
蹦高乐,beng'gao'le
嘣硬,beng'ying
闭腚攒粪,bi'ding'cuan'fen
鼻疙,bi'ge
鼻哥子,bi'ge'zi
逼赖,bi'lai
逼赖赖,bi'lai'lai
逼赖样,bi'lai'yang
逼痒,bi'yang
逼痒操的,bi'yang'cao'de
变态,bian'tai
彪逼,biao'bi
彪卜愣噔,biao'bu'leng'deng
彪毁了,biao'hui'le
彪了,biao'le
彪说六道,biao'shuo'liu'dao
彪死了,biao'si'le
彪样,biao'yang
彪佐,biao'zuo
别马腿,bie'ma'tui
鳖掐掐,bie'qia'qia
别上,bie'shang
鳖头蛤蟆眼,bie'tou'ha'ma'yan
饼材,bing'cai
饼子,bing'zi
勃勃丁,bo'bo'ding
不对付,bu'dui'fu
不嘎十,bu'ga'shi
不嘎施,bu'ga'shi
不嘎十买,bu'ga'shi'mai
不嘎十卖,bu'ga'shi'mai
不是一般战士,bu'shi'yi'ban'zhan'shi
不太对付,bu'tai'dui'fu
不稀,bu'xi
操喃个血妈,cao'nan'ge'xie'ma
操喃个血祖宗,cao'nan'ge'xie'zu'zong
操喃妈,cao'nan'ma
草鞋底子,cao'xie'di'zi
潮乎蛋,chao'hu'dan
潮乎蛋子,chao'hu'dan'zi
潮了吧嘟,chao'le'ba'du
扯鸡巴蛋,che'ji'ba'dan
抽鸡巴疯,chou'ji'ba'feng
抽老鳖,chou'lao'bie
臭嘴烂腚,chou'zui'lan'ding
刺锅子,ci'guo'zi
次挠,ci'nao
窜巴,cuan'ba
窜副,cuan'fu
窜话,cuan'hua
攒其,cuan'qi
催帚,cui'zhou
打棒,da'bang
大姑姐,da'gu'jie
大令,da'ling
打娘娘,da'niang'niang
大血耳跟子,da'xue'er'gen'zi
带臭不带蔫,dai'chou'bu'dai'nian
歹饭,dai'fan
待恨,dai'hen
带架,dai'jia
待亲,dai'qin
带人亲,dai'ren'qin
刀梁,dao'liang
倒阳,dao'yang
嘚瑟,de'se
得瑟,de'se
的色,de'se
嘚瑟大了,de'se'da'le
噔硬,deng'ying
噔硬噔硬,deng'ying'deng'ying
滴滴拉拉,di'di'la'la
滴滴拉拉丝儿,di'di'la'la'si'er
滴了当啷,di'le'dang'lang
地溜圆,di'liu'yuan
掂倒,dian'dao
吊干,diao'gan
掉链子,diao'lian'zi
吊主,diao'zhu
腚眼,ding'yan
腚眼儿,ding'yan'er
逗其,dou'qi
二掰掰,er'bai'bai
耳朵里塞驴毛,er'duo'li'se'lv'mao
耳跟子,er'gen'zi
二乎八道,er'hu'ba'dao
二乎蛋,er'hu'dan
二忽忽,er'hu'hu
二乎了,er'hu'le
耳蛹,er'yong
发贱,fa'jian
发洋贱,fa'yang'jian
犯彪病,fan'biao'bing
饭钵,fan'bo
犯硌样,fan'ge'yang
反贡,fan'gong
反群,fan'qun
逢三必打,feng'san'bi'da
逢十必打,feng'shi'bi'da
嘎嗒板,ga'da'ban
嘎伙,ga'huo
