昂刺鱼,ang'ci'yu
白对虾,bai'dui'xia
白甲鱼,bai'jia'yu
白鲢,bai'lian
白米虾,bai'mi'xia
白丝鱼,bai'si'yu
斑节虾,ban'jie'xia
包公鱼,bao'gong'yu
鲍鱼,bao'yu
鳊鱼,bian'yu
彩虹绸,cai'hong'chou
草虾,cao'xia
草鱼,cao'yu
叉尾回鱼,cha'wei'hui'yu
鲳鱼,chang'yu
蛏子,cheng'zi
绸鱼,chou'yu
大鲍鱼,da'bao'yu
大龙虾,da'long'xia
大明虾,da'ming'xia
大闸蟹,da'zha'xie
带鱼,dai'yu
淡水白鲳,dan'shui'bai'chang
刀额新对虾,dao'e'xin'dui'xia
鲷鱼,diao'yu
钉螺,ding'luo
东星斑,dong'xing'ban
多宝鱼,duo'bao'yu
凤尾鱼,feng'wei'yu
佛手,fo'shou
鰔鱼,gan'yu
蛤蛎,ge'li
蛤仔,ge'zai
鳜鱼,gui'yu
桂鱼,gui'yu
哈蜊,ha'li
海白虾,hai'bai'xia
海胆,hai'dan
海瓜子,hai'gua'zi
海蛎,hai'li
海螺,hai'luo
海参,hai'shen
海兽螺,hai'shou'luo
海虾,hai'xia
海蜇,hai'zhe
海蜇皮,hai'zhe'pi
海蜇头,hai'zhe'tou
海蜇子,hai'zhe'zi
河鳗,he'man
河虾,he'xia
河蚬,he'xian
河蟹,he'xie
黑鲷,hei'diao
黑鱼,hei'yu
红花蟹,hong'hua'xie
红鲤,hong'li
红螺,hong'luo
红虾,hong'xia
红蟹,hong'xie
红鱼,hong'yu
虎螺,hu'luo
虎头鱼,hu'tou'yu
花鲢鱼头,hua'lian'yu'tou
花螺,hua'luo
花蟹,hua'xie
皇帝蟹,huang'di'xie
黄花鱼,huang'hua'yu
黄螺,huang'luo
黄鳝,huang'shan
黄山鱼,huang'shan'yu
黄鱼,huang'yu
基尾虾,ji'wei'xia
鲫鱼,ji'yu
甲鱼,jia'yu
叫叫鱼,jiao'jiao'yu
金枪鱼,jin'qiang'yu
魁蚶,kui'han
辣螺,la'luo
蓝鳍金枪鱼,lan'qi'jin'qiang'yu
老板鱼,lao'ban'yu
鳓鱼,le'yu
龙虾,long'xia
鲈鱼,lu'yu
马鲛鱼,ma'jiao'yu
毛蚶,mao'han
毛虾,mao'xia
毛蟹,mao'xie
梅同鱼,mei'tong'yu
墨鱼,mo'yu
牡蛎,mu'li
目鱼,mu'yu
南美白对虾,nan'mei'bai'dui'xia
泥蚶,ni'han
泥鳅,ni'qiu
鲶鱼,nian'yu
牛蛙,niu'wa
胖头鱼,pang'tou'yu
青斑鱼,qing'ban'yu
青蛤,qing'ge
青蟹,qing'xie
青鱼,qing'yu
日本鲟,ri'ben'xun
三文鱼,san'wen'yu
鲨鱼,sha'yu
扇贝,shan'bei
生蚝,sheng'hao
石斑鱼,shi'ban'yu
笋壳鱼,sun'ke'yu
梭子蟹,suo'zi'xie
塘鲤鱼,tang'li'yu
田螺,tian'luo
田蟹,tian'xie
望潮,wang'chao
文蛤,wen'ge
武士鲟,wu'shi'xun
虾蛄,xia'gu
虾菇虾,xia'gu'xia
象鼻蚌,xiang'bi'bang
香螺,xiang'luo
小鲍鱼,xiao'bao'yu
小黄鱼,xiao'huang'yu
小龙虾,xiao'long'xia
贻贝,yi'bei
缢蛏,yi'cheng
鱿鱼,you'yu
玉螺,yu'luo
章鱼,zhang'yu
竹节虾,zhu'jie'xia
