阿魏,a'wei
对座草,dui'zuo'cao
鹅不食草,e'bu'shi'cao
阿胶,e'jiao
恶实,e'shi
莪术,e'zhu
儿茶,er'cha
二叶律,er'ye'lv
法夏,fa'xia
番泻叶,fan'xie'ye
防风,fang'feng
方海,fang'hai
防己,fang'ji
飞刀剑,fei'dao'jian
飞滑石,fei'hua'shi
飞扬草,fei'yang'cao
榧子,fei'zi
蜂房,feng'fang
风化硝,feng'hua'xiao
凤凰衣,feng'huang'yi
蜂蜡,feng'la
蜂蜜,feng'mi
风茄花,feng'qie'hua
凤尾草,feng'wei'cao
风仙花,feng'xian'hua
佛片,fo'pian
佛手,fo'shou
茯苓,fu'ling
茯苓皮,fu'ling'pi
复盆子,fu'pen'zi
腹皮,fu'pi
浮萍,fu'ping
茯神,fu'shen
浮石,fu'shi
附子,fu'zi
甘草,gan'cao
甘草节,gan'cao'jie
甘草稍,gan'cao'shao
干姜,gan'jiang
甘露子,gan'lu'zi
干漆,gan'qi
干石斛,gan'shi'hu
甘松,gan'song
甘松香,gan'song'xiang
甘遂,gan'sui
杠板,gang'ban
岗梅,gang'mei
岗松,gang'song
高良姜,gao'liang'jiang
葛根,ge'gen
葛花,ge'hua
蛤蚧,ge'jie
蛤壳,ge'ke
公丁香,gong'ding'xiang
功劳木,gong'lao'mu
狗宝,gou'bao
狗肝菜,gou'gan'cai
狗脊,gou'ji
枸杞,gou'qi
钩藤,gou'teng
钩吻,gou'wen
谷精草,gu'jing'cao
古山龙,gu'shan'long
骨碎补,gu'sui'bu
谷芽,gu'ya
瓜菜仁,gua'cai'ren
瓜姜皮,gua'jiang'pi
瓜萎根,gua'wei'gen
瓜萎仁,gua'wei'ren
瓜萎子,gua'wei'zi
瓜子金,gua'zi'jin
官桂,guan'gui
贯仲,guan'zhong
贯众,guan'zhong
广白,guang'bai
光慈姑,guang'ci'gu
广丹,guang'dan
广地丁,guang'di'ding
广地龙,guang'di'long
广防己,guang'fang'ji
广藿香,guang'huo'xiang
广角,guang'jiao
广木香,guang'mu'xiang
广郁金,guang'yu'jin
鬼白,gui'bai
龟板,gui'ban
龟板胶,gui'ban'jiao
鬼刺,gui'ci
龟甲,gui'jia
归尾,gui'wei
桂心,gui'xin
鬼针,gui'zhen
桂枝,gui'zhi
鬼珠,gui'zhu
果导,guo'dao
过路黄,guo'lu'huang
孩儿参,hai'er'can
海风藤,hai'feng'teng
海金沙,hai'jin'sha
海龙,hai'long
海马,hai'ma
海螵蛸,hai'piao'xiao
海芋,hai'yu
海藻,hai'zao
海蛰,hai'zhe
汉宫秋,han'gong'qiu
汉肌松,han'ji'song
旱莲,han'lian
旱莲草,han'lian'cao
旱芹,han'qin
寒水,han'shui
寒水石,han'shui'shi
汉桃叶,han'tao'ye
蒿本,hao'ben
荷蒂,he'di
荷梗,he'geng
合欢,he'huan
合欢皮,he'huan'pi
合萌,he'meng
鹤虱,he'shi
何首乌,he'shou'wu
核桃仁,he'tao'ren
荷叶,he'ye
诃子,he'zi
黑菜,hei'cai
黑丑,hei'chou
黑锡,hei'xi
黑钻,hei'zuan
红粉,hong'fen
红根,hong'gen
红花,hong'hua
洪连,hong'lian
红参,hong'shen
红升,hong'sheng
红糖,hong'tang
红藤,hong'teng
厚朴,hou'pu
猴头,hou'tou
虎刺,hu'ci
虎骨,hu'gu
胡椒,hu'jiao
葫芦,hu'lu
葫芦茶,hu'lu'cha
琥珀,hu'po
胡桃,hu'tao
虎仗,hu'zhang
花椒,hua'jiao
花蕊石,hua'rui'shi
滑石,hua'shi
槐花,huai'hua
槐角,huai'jiao
槐米,huai'mi
淮山药,huai'shan'yao
槐实,huai'shi
黄柏,huang'bai
黄丹,huang'dan
黄独,huang'du
黄精,huang'jing
黄蜡,huang'la
黄连,huang'lian
黄栌,huang'lu
黄蘖,huang'nie
黄杞,huang'qi
黄芪,huang'qi
黄芩,huang'qin
黄藤,huang'teng
黄宣,huang'xuan
回回来,hui'hui'lai
茴香,hui'xiang
火麻仁,huo'ma'ren
火炭母,huo'tan'mu
藿香,huo'xiang
荠菜,ji'cai
荠草,ji'cao
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
蒺藜,ji'li
鸡内金,ji'nei'jin
及巳,ji'si
鸡头,ji'tou
吉祥草,ji'xiang'cao
急性子,ji'xing'zi
鸡血藤,ji'xue'teng
甲鱼骨,jia'yu'gu
见愁,jian'chou
碱花,jian'hua
僵蚕,jiang'can
姜黄,jiang'huang
将军,jiang'jun
姜皮,jiang'pi
降香,jiang'xiang
姜汁,jiang'zhi
椒目,jiao'mu
桔梗,jie'geng
芥子,jie'zi
金钱草,jin'qian'cao
金沙藤,jin'sha'teng
锦纹,jin'wen
金银花,jin'yin'hua
金樱子,jin'ying'zi
荆芥,jing'jie
京墨,jing'mo
救必应,jiu'bi'ying
灸草,jiu'cao
九节茶,jiu'jie'cha
九里明,jiu'li'ming
九里香,jiu'li'xiang
九龙根,jiu'long'gen
九香虫,jiu'xiang'chong
橘白,ju'bai
橘核,ju'he
橘红,ju'hong
菊花,ju'hua
菊苣,ju'ju
橘皮,ju'pi
苣英菜,ju'ying'cai
卷柏,juan'bai
卷丹,juan'dan
爵床,jue'chuang
决明,jue'ming
决明子,jue'ming'zi
开金锁,kai'jin'suo
空青,kong'qing
苦菜,ku'cai
枯草,ku'cao
枯矾,ku'fan
苦瓜干,ku'gua'gan
苦酒,ku'jiu
苦楝皮,ku'lian'pi
枯苓,ku'ling
苦木,ku'mu
苦参,ku'shen
款冬花,kuan'dong'hua
宽筋藤,kuan'jin'teng
昆布,kun'bu
辣蓼,la'liao
腊梅花,la'mei'hua
莱菔子,lai'fu'zi
狼毒,lang'du
老鹳草,lao'guan'cao
老鹳嘴,lao'guan'zui
老少年,lao'shao'nian
老勿大,lao'wu'da
老鸦瓣,lao'ya'ban
了哥王,le'ge'wang
雷丸,lei'wan
栗壳,li'ke
鲤鱼,li'yu
荔枝核,li'zhi'he
莲房,lian'fang
连钱草,lian'qian'cao
连翘,lian'qiao
莲肉,lian'rou
莲芯,lian'xin
莲须,lian'xu
莲子,lian'zi
莲子心,lian'zi'xin
良姜,liang'jiang
两面针,liang'mian'zhen
列当,lie'dang
菱角,ling'jiao
鲮鲤,ling'li
凌霄花,ling'xiao'hua
羚羊角,ling'yang'jiao
灵芝,ling'zhi
六和曲,liu'he'qu
硫磺,liu'huang
六曲,liu'qu
柳芽,liu'ya
柳叶,liu'ye
六月雪,liu'yue'xue
柳枝,liu'zhi
龙齿,long'chi
龙胆,long'dan
龙胆草,long'dan'cao
