阿夫拉米方程,a'fu'la'mi'fang'cheng
氨基树脂,an'ji'shu'zhi
氨纶,an'lun
胺纤维素,an'xian'wei'su
螯合聚合物,ao'he'ju'he'wu
螯合橡胶,ao'he'xiang'jiao
螯合型离子交换剂,ao'he'xing'li'zi'jiao'huan'ji
螯合型树脂,ao'he'xing'shu'zhi
白蛋白,bai'dan'bai
半合成纤维,ban'he'cheng'xian'wei
半互穿聚合物网络,ban'hu'chuan'ju'he'wu'wang'luo
半结晶聚合物,ban'jie'jing'ju'he'wu
半结晶橡胶,ban'jie'jing'xiang'jiao
半连续聚合,ban'lian'xu'ju'he
半熔酚醛树脂,ban'rong'fen'quan'shu'zhi
半柔性链聚合物,ban'rou'xing'lian'ju'he'wu
半柔性链橡胶,ban'rou'xing'lian'xiang'jiao
半透膜,ban'tou'mo
棒状高分子,bang'zhuang'gao'fen'zi
棒状链,bang'zhuang'lian
饱和聚酯,bao'he'ju'zhi
饱和橡胶,bao'he'xiang'jiao
暴聚,bao'ju
包埋,bao'mai
包模成型,bao'mo'cheng'xing
苯并呋喃茚树脂,ben'bing'fu'nan'yin'shu'zhi
苯二酸二烯丙酯树脂,ben'er'suan'er'xi'bing'zhi'shu'zhi
苯二酸十一烷酯,ben'er'suan'shi'yi'wan'zhi
苯二酸辛癸酯,ben'er'suan'xin'gui'zhi
苯酚醚树脂,ben'fen'mi'shu'zhi
苯醌聚合物,ben'kun'ju'he'wu
苯醌橡胶,ben'kun'xiang'jiao
本体聚合,ben'ti'ju'he
本体模量,ben'ti'mo'liang
本体粘度,ben'ti'nian'du
苯乙烯丙烯腈共聚物,ben'yi'xi'bing'xi'jing'gong'ju'wu
苯乙烯丁二烯,ben'yi'xi'ding'er'xi
苯乙烯丁二烯苯乙烯嵌段共聚物,ben'yi'xi'ding'er'xi'ben'yi'xi'qian'duan'gong'ju'wu
苯乙烯丁二烯共聚物,ben'yi'xi'ding'er'xi'gong'ju'wu
苯乙烯甲基苯乙烯共聚物,ben'yi'xi'jia'ji'ben'yi'xi'gong'ju'wu
苯乙烯氯丁二烯橡胶,ben'yi'xi'lv'ding'er'xi'xiang'jiao
苯乙烯异戊二烯丁二烯橡胶,ben'yi'xi'yi'wu'er'xi'ding'er'xi'xiang'jiao
比浓对数粘度,bi'nong'dui'shu'nian'du
比浓粘度,bi'nong'nian'du
变形,bian'xing
表观分子量,biao'guan'fen'zi'liang
表观剪切粘度,biao'guan'jian'qie'nian'du
表观摩尔质量,biao'guan'mo'er'zhi'liang
标准马来西来橡胶,biao'zhun'ma'lai'xi'lai'xiang'jiao
宾汉姆流体,bin'han'mu'liu'ti
丙二烯聚合物,bing'er'xi'ju'he'wu
丙二烯橡胶,bing'er'xi'xiang'jiao
丙纶,bing'lun
丙酸纤维素,bing'suan'xian'wei'su
丙烯腈苯乙烯丙烯酸酯共聚物,bing'xi'jing'ben'yi'xi'bing'xi'suan'zhi'gong'ju'wu
丙烯腈苯乙烯树脂,bing'xi'jing'ben'yi'xi'shu'zhi
丙烯腈丙烯酸酯苯乙烯共聚物,bing'xi'jing'bing'xi'suan'zhi'ben'yi'xi'gong'ju'wu
丙烯腈丁二烯苯乙烯共聚物,bing'xi'jing'ding'er'xi'ben'yi'xi'gong'ju'wu
丙烯腈甲基丙烯酸甲酯共聚物,bing'xi'jing'jia'ji'bing'xi'suan'jia'zhi'gong'ju'wu
丙烯醛类聚合物,bing'xi'quan'lei'ju'he'wu
丙烯醛类橡胶,bing'xi'quan'lei'xiang'jiao
丙烯酸酯丙烯腈橡胶,bing'xi'suan'zhi'bing'xi'jing'xiang'jiao
丙烯酸酯丁二烯橡胶,bing'xi'suan'zhi'ding'er'xi'xiang'jiao
丙烯酸酯类聚合物,bing'xi'suan'zhi'lei'ju'he'wu
丙烯酸酯类树脂,bing'xi'suan'zhi'lei'shu'zhi
丙烯酸酯类橡胶,bing'xi'suan'zhi'lei'xiang'jiao
丙烯酸酯氯乙烯醚橡胶,bing'xi'suan'zhi'lv'yi'xi'mi'xiang'jiao
丙烯酸酯橡胶,bing'xi'suan'zhi'xiang'jiao
玻耳兹曼叠加原理,bo'er'zi'man'die'jia'yuan'li
玻璃化转变,bo'li'hua'zhuan'bian
玻璃化转变温度,bo'li'hua'zhuan'bian'wen'du
剥离强度,bo'li'qiang'du
玻璃束聚酯预浸渍物,bo'li'shu'ju'zhi'yu'jin'zi'wu
玻璃态,bo'li'tai
玻璃毡聚酯预浸渍物,bo'li'zhan'ju'zhi'yu'jin'zi'wu
泊松比,bo'song'bi
玻纤环氧塑料,bo'xian'huan'yang'su'liao
玻纤增强酚醛塑料,bo'xian'zeng'qiang'fen'quan'su'liao
玻纤增强聚酯塑料,bo'xian'zeng'qiang'ju'zhi'su'liao
玻纤增强塑料,bo'xian'zeng'qiang'su'liao
玻纤织物聚酯预浸渍物,bo'xian'zhi'wu'ju'zhi'yu'jin'zi'wu
不饱和聚酯,bu'bao'he'ju'zhi
不饱和聚酯树脂,bu'bao'he'ju'zhi'shu'zhi
不饱和橡胶,bu'bao'he'xiang'jiao
不对称立体选择性聚合,bu'dui'chen'li'ti'xuan'ze'xing'ju'he
不对称选择性聚合,bu'dui'chen'xuan'ze'xing'ju'he
