阿搭爾,a'da'er
阿彌陀佛,a'mi'tuo'fo
啊儺喊,a'nuo'han
阿是,a'shi
啊也,a'ye
阿總,a'zong
隑塝,ai'bang
隑牌頭,ai'pai'tou
矮拖峻,ai'tuo'jun
矮險,ai'xian
安生,an'sheng
澳兜,ao'dou
懊惱,ao'nao
拔得牢,ba'de'lao
拔風,ba'feng
拔風拔去,ba'feng'ba'qu
拔弗牢,ba'fu'lao
八嗰,ba'ge
八嘅,ba'ge
把加把,ba'jia'ba
拔來,ba'lai
拔牢,ba'lao
拔勒牢,ba'le'lao
拔苗頭,ba'miao'tou
把脈,ba'mo
把模,ba'mo
把握,ba'wo
拔直,ba'zhi
拔直盲,ba'zhi'mang
拔直頭,ba'zhi'tou
百把,bai'ba
百把嗰,bai'ba'ge
白撥,bai'bo
白豆,bai'dou
白粉,bai'fen
白殕,bai'fou
白殕毛,bai'fou'mao
白老鼠,bai'lao'shu
白落,bai'luo
擺落去,bai'luo'qu
擺落去望,bai'luo'qu'wang
拜歲,bai'sui
白糖,bai'tang
白鮝,bai'xiang
白蟹,bai'xie
白雪雪,bai'xue'xue
白衣食,bai'yi'shi
鈑鈑,ban'ban
板板,ban'ban
板壁,ban'bi
班房,ban'fang
半浸蘸,ban'jin'zhan
板坑,ban'keng
辦人辦家,ban'ren'ban'jia
板砧,ban'zhen
棒冰,bang'bing
塝耷儿,bang'da'er
塝方,bang'fang
塝個,bang'ge
塝嗰,bang'ge
塝嘅,bang'ge
塝門,bang'men
塝面,bang'mian
塝頭,bang'tou
埲塕,bang'weng
塝許,bang'xu
爆炒豆,bao'chao'dou
爆炒米,bao'chao'mi
包裹,bao'guo
報來,bao'lai
抱裙,bao'qun
包頭,bao'tou
暴寫,bao'xie
暴著,bao'zhu
暴妝,bao'zhuang
暴做,bao'zuo
鐾鐾,bei'bei
背後手,bei'hou'shou
背脊,bei'ji
背脊身,bei'ji'shen
杯加杯,bei'jia'bei
倍來爻,bei'lai'yao
背面,bei'mian
被頭,bei'tou
被絮,bei'xu
本加本,ben'jia'ben
本事,ben'shi
本事好,ben'shi'hao
甮打,beng'da
甮講,beng'jiang
甮謳,beng'ou
甮去,beng'qu
甮去讀,beng'qu'du
甮趒來,beng'tiao'lai
甮趒去,beng'tiao'qu
甮聽,beng'ting
甮聽渠講,beng'ting'qu'jiang
甮望,beng'wang
甮見講,beng'xian'jiang
甮見講響,beng'xian'jiang'xiang
甮寫,beng'xie
甮許某,beng'xu'mou
繃硬,beng'ying
甮妝,beng'zhuang
躃躃,bi'bi
躃賭快,bi'du'kuai
躃弗逮,bi'fu'dai
躃弗洎,bi'fu'ji
躃來,bi'lai
躃來躃去,bi'lai'bi'qu
躃去,bi'qu
躃上躃落,bi'shang'bi'luo
筆套,bi'tao
鼻頭,bi'tou
鼻頭屙,bi'tou'e
鼻頭紅,bi'tou'gong
鼻頭紅血出,bi'tou'gong'xue'chu
鼻頭孔,bi'tou'kong
鼻頭樑杠,bi'tou'liang'gang
鼻頭涕,bi'tou'ti
鼻頭涕水,bi'tou'ti'shui
壁吸,bi'xi
躃轉,bi'zhuan
痹作,bi'zuo
扁擔,bian'dan
匾額,bian'e
遍加遍,bian'jia'bian
邊裏,bian'li
邊裡,bian'li
邊沿,bian'yan
邊沿頭,bian'yan'tou
標緻,biao'zhi
婊子兒,biao'zi'er
婊子囡,biao'zi'nan
別蕩處,bie'dang'chu
別蕩地,bie'dang'di
別嘅,bie'ge
別攤,bie'tan
憋心,bie'xin
別樣,bie'yang
別樣許,bie'yang'xu
絣欽架,bing'qin'jia
冰險,bing'xian
撥爾,bo'er
撥爾囉唆爻,bo'er'luo'suo'yao
撥爾侇,bo'er'yi
撥箇,bo'ge
跛腳,bo'jue
菠薐菜,bo'leng'cai
撥渠,bo'qu
撥渠侇,bo'qu'yi
撥是,bo'shi
撥我,bo'wo
撥我儂,bo'wo'nong
撥我侇,bo'wo'yi
撥伊,bo'yi
趵扎扎,bo'zha'zha
步姑,bu'gu
部加部,bu'jia'bu
布爿,bu'pan
布衫,bu'shan
不捨得,bu'she'de
布頭,bu'tou
布頭爿,bu'tou'pan
布帳,bu'zhang
布帳鉤,bu'zhang'gou
菜梗,cai'geng
菜蕻,cai'hong
菜花,cai'hua
菜乾,cai'qian
菜蔬,cai'shu
菜頭,cai'tou
菜鹹,cai'xian
菜心,cai'xin
菜油,cai'you
蠶豆,can'dou
蠶蛾,can'e
草灰,cao'hui
草鑊絮,cao'huo'xu
草雞,cao'ji
糙門,cao'men
草豬,cao'zhu
草籽,cao'zi
層加層,ceng'jia'ceng
茶壺,cha'hu
杈加杈,cha'jia'cha
茶腳,cha'jue
茶散,cha'san
拆爛污,chai'lan'wu
柴爿,chai'pan
柴爿花,chai'pan'hua
柴繩,chai'sheng
長長晏界,chang'chang'yan'jie
長長夜,chang'chang'ye
昶朞,chang'ji
昶稘,chang'ji
場加場,chang'jia'chang
長褲,chang'ku
長老世,chang'lao'shi
長年,chang'nian
長臍,chang'qi
長日,chang'ri
長日儿,chang'ri'er
長衫袖,chang'shan'xiu
長世,chang'shi
長頭,chang'tou
長險,chang'xian
昌行,chang'xing
炒豆,chao'dou
炒米,chao'mi
潮水,chao'shui
吵險,chao'xian
趁昶,chen'chang
趁船,chen'chuan
趁帶便,chen'dai'bian
趁帶隊,chen'dai'dui
趁車,chen'ju
趁摩托車,chen'mo'tuo'ju
衬袖,chen'xiu
趁自行車,chen'zi'xing'ju
秤錘,cheng'chui
撐功,cheng'gong
秤花,cheng'hua
撐門頭,cheng'men'tou
撐牌子,cheng'pai'zi
蟶田,cheng'tian
赤膊卵,chi'bo'luan
喫得,chi'de
吃得爻,chi'de'yao
吃賭快,chi'du'kuai
吃飯間,chi'fan'jian
赤胐臀,chi'fei'tun
吃弗落,chi'fu'luo
吃弗爻,chi'fu'yao
吃功,chi'gong
吃黃昏,chi'huang'hun
吃及完,chi'ji'wan
吃夾淡,chi'jia'dan
吃教,chi'jiao
赤腳,chi'jue
吃枯星,chi'ku'xing
吃來健,chi'lai'jian
喫牢,chi'lao
吃牢定,chi'lao'ding
喫牢一繞頸,chi'lao'yi'rao'jing
喫力,chi'li
喫力死,chi'li'si
喫力險,chi'li'xian
吃涼,chi'liang
吃日晝,chi'ri'zhou
吃生活,chi'sheng'huo
吃爽,chi'shuang
遲險,chi'xian
吃香,chi'xiang
吃爻,chi'yao
吃耶穌教,chi'ye'su'jiao
赤豬肉,chi'zhu'rou
抽懶惰筋,chou'lan'duo'jin
醜派,chou'pai
廚飯,chu'fan
廚房間,chu'fang'jian
廚官,chu'guan
出客,chu'ke
初頭,chu'tou
廚下,chu'xia
觸眼,chu'yan
出爻,chu'yao
除夜,chu'ye
傳撥,chuan'bo
川豆,chuan'dou
船兒,chuan'er
串加串,chuan'jia'chuan
傳轉,chuan'zhuan
床加床,chuang'jia'chuang
床頭櫃,chuang'tou'gui
槌擔,chui'dan
吹胐臀,chui'fei'tun
吹牛皮,chui'niu'pi
炊皮,chui'pi
刺戳戳,ci'chuo'chuo
刺瓜,ci'gua
慈心,ci'xin
簇角落新,cu'jiao'luo'xin
簇齊,cu'qi
簇新,cu'xin
忖不來爻,cun'bu'lai'yao
忖忖,cun'cun
忖心,cun'xin
忖心忖牢,cun'xin'cun'lao
忖著,cun'zhu
忖著得,cun'zhu'de
忖著勒,cun'zhu'le
搓搓過,cuo'cuo'guo
撮加撮,cuo'jia'cuo
打撥,da'bo
大陳,da'chen
大陳山,da'chen'shan
大蟲,da'chong
搭搭,da'da
汏汏過,da'da'guo
大大後日儿,da'da'hou'ri'er
溚溚落,da'da'luo
大大前日,da'da'qian'ri
大大聲,da'da'sheng
溚溚渧,da'da'ti
搭搭隱,da'da'yin
搭搭用,da'da'yong
打倒鉋,da'dao'bao
打得到,da'de'dao
打得來,da'de'lai
打得死,da'de'si
打得著,da'de'zhu
大度,da'du
搭隊,da'dui
搭爾,da'er
打風癡,da'feng'chi
打弗到,da'fu'dao
打弗進,da'fu'jin
打弗來,da'fu'lai
打弗死,da'fu'si
打弗著,da'fu'zhu
大概,da'gai
搭嗰,da'ge
打功,da'gong
打過身,da'guo'shen
大後日儿,da'hou'ri'er
大話,da'hua
打划泅,da'hua'qiu
打及死,da'ji'si
打跤,da'jiao
大井,da'jing
大井頭,da'jing'tou
打來爻,da'lai'yao
打勒到,da'le'dao
打勒來,da'le'lai
打勒著,da'le'zhu
打勒死,da'lei'si
大量,da'liang
大蠻,da'man
大蠻班,da'man'ban
大蠻嘅,da'man'ge
打棚,da'peng
打起,da'qi
大前日,da'qian'ri
大前夜,da'qian'ye
搭渠,da'qu
大人腔,da'ren'qiang
打上打,da'shang'da
大蛇,da'she
打生,da'sheng
打雙打,da'shuang'da
打水片,da'shui'pian
打死,da'si
打算,da'suan
大頭蒼蠅,da'tou'cang'ying
大頭伙蟻,da'tou'huo'yi
打旺陣,da'wang'zhen
搭我,da'wo
打五關,da'wu'guan
大細,da'xi
大險,da'xian
打爻,da'yao
大約莫,da'yao'mo
搭伊,da'yi
打賺,da'zuan
袋被絮,dai'bei'xu
帶便,dai'bian
呆大,dai'da
呆大大,dai'da'da
呆大範,dai'da'fan
呆歹歹,dai'dai'dai
呆乎乎,dai'hu'hu
帶及到,dai'ji'dao
袋起,dai'qi
帶水,dai'shui
蛋白,dan'bai
擔轎前紙,dan'jiao'qian'zhi
撣順毛,dan'shun'mao
膽子,dan'zi
蕩蕩動,dang'dang'dong
盪盪過,dang'dang'guo
蕩地,dang'di
當功,dang'gong
蕩街,dang'jie
趤街,dang'jie
當頭六月,dang'tou'liu'yue
當中,dang'zhong
當中央,dang'zhong'yang
道道,dao'dao
道道時,dao'dao'shi
到得,dao'de
島地,dao'di
稻地,dao'di
倒反鏡,dao'fan'jing
到後來,dao'hou'lai
倒空,dao'kong
倒空空爻,dao'kong'kong'yao
到勒,dao'le
搗亂,dao'luan
倒楣,dao'mei
倒牌子,dao'pai'zi
稻熟假,dao'shu'jia
倒攤,dao'tan
倒退,dao'tui
倒爻,dao'yao
倒運,dao'yun
倒轉,dao'zhuan
得出,de'chu
得逮,de'dai
得到,de'dao
得動,de'dong
得過,de'guo
得洎,de'ji
得進,de'jin
得來,de'lai
得牢,de'lao
得落,de'luo
得起,de'qi
得人憎,de'ren'zeng
得爻,de'yao
得著,de'zhu
得上,dei'shang
等昶,deng'chang
等朞,deng'ji
等稘,deng'ji
凳頭,deng'tou
凳頭裏,deng'tou'li
凳頭裡,deng'tou'li
地地,di'di
地底,di'di
地栿,di'fu
遰弗牢,di'fu'lao
遰來,di'lai
遰牢,di'lao
底裏,di'li
底裡,di'li
嚁嚦泊咯,di'li'bo'ge
遰去,di'qu
蒂頭,di'tou
地頭,di'tou
地拖,di'tuo
地壅,di'yong
點把鐘,dian'ba'zhong
點把鐘頭,dian'ba'zhong'tou
點半,dian'ban
顛倒,dian'dao
電話柱,dian'hua'zhu
澱漿粉,dian'jiang'fen
電木牢,dian'mu'lao
點起,dian'qi
電石,dian'shi
電爍起,dian'shuo'qi
定當,ding'dang
頂裡,ding'li
頂頭,ding'tou
丁香,ding'xiang
動動,dong'dong
棟桁,dong'heng
抖被,dou'bei
抖抖過,dou'dou'guo
都爾緣故,dou'er'yuan'gu
兜飯,dou'fan
豆腐生,dou'fu'sheng
都粒,dou'li
兜裏,dou'li
兜裡,dou'li
陡門,dou'men
抖起,dou'qi
都渠緣故,dou'qu'yuan'gu
都是,dou'shi
逗桶,dou'tong
都我緣故,dou'wo'yuan'gu
豆芽,dou'ya
豆子芽,dou'zi'ya
都做爾著,dou'zuo'er'zhu
都做渠著,dou'zuo'qu'zhu
都做我著,dou'zuo'wo'zhu
肚才,du'cai
賭掁,du'cheng
賭搶,du'cheng
獨份人家,du'fen'ren'jia
獨嗰,du'ge
獨嗰人,du'ge'ren
獨嘅頭,du'ge'tou
獨家弄講,du'jia'nong'jiang
獨句,du'ju
獨句講,du'ju'jiang
賭快,du'kuai
肚裏,du'li
肚裡,du'li
讀書,du'shu
肚頭,du'tou
獨隻,du'zhi
賭妝,du'zhuang
短打,duan'da
短衫袖,duan'shan'xiu
端午,duan'wu
短險,duan'xian
短顯,duan'xian
對岸,dui'an
對昶,dui'chang
對昶朞,dui'chang'ji
對昶稘,dui'chang'ji
對反,dui'fan
對起,dui'qi
對起朞,dui'qi'ji
對起稘,dui'qi'ji
對頭,dui'tou
對周,dui'zhou
鈍市,dun'shi
掇凳,duo'deng
掇來,duo'lai
多少,duo'shao
多是,duo'shi
多頭,duo'tou
多險,duo'xian
惡卵,e'luan
閜落,e'luo
惡人相,e'ren'xiang
惡相,e'xiang
爾班人,er'ban'ren
爾搭渠,er'da'qu
爾搭我,er'da'wo
耳朵垂,er'duo'chui
耳朵洞,er'duo'dong
耳朵孔,er'duo'kong
爾弗搭渠,er'fu'da'qu
爾弗搭我,er'fu'da'wo
爾講,er'jiang
爾兩個,er'liang'ge
兒囡,er'nan
爾咸爾,er'xian'er
爾許,er'xu
爾侇,er'yi
爾侇嗰,er'yi'ge
發撥,fa'bo
發極,fa'ji
