阿海珐,a'hai'fa
安规,an'gui
安规考试,an'gui'kao'shi
安规题,an'gui'ti
安全措施,an'quan'cuo'shi
安全措施票,an'quan'cuo'shi'piao
安全监督,an'quan'jian'du
安全奖,an'quan'jiang
安全帽,an'quan'mao
安全生产月,an'quan'sheng'chan'yue
安全学习,an'quan'xue'xi
安全意识,an'quan'yi'shi
安全员,an'quan'yuan
按确认键,an'que'ren'jian
按时送电,an'shi'song'dian
安稳,an'wen
把手,ba'shou
白胶布,bai'jiao'bu
版本升级,ban'ben'sheng'ji
班后会,ban'hou'hui
班前会,ban'qian'hui
班组建设,ban'zu'jian'she
保奥运,bao'ao'yun
保存定值,bao'cun'ding'zhi
保电,bao'dian
保电奖,bao'dian'jiang
保护,bao'hu
保护版本,bao'hu'ban'ben
保护测控,bao'hu'ce'kong
保护测控屏,bao'hu'ce'kong'ping
保护电源,bao'hu'dian'yuan
保护改定值,bao'hu'gai'ding'zhi
保护回路,bao'hu'hui'lu
保护校验,bao'hu'jiao'yan
保护屏,bao'hu'ping
保护室,bao'hu'shi
保护小室,bao'hu'xiao'shi
保护信息子站,bao'hu'xin'xi'zi'zhan
保护装置,bao'hu'zhuang'zhi
报缺,bao'que
背板,bei'ban
背板图,bei'ban'tu
北京四方,bei'jing'si'fang
备自投,bei'zi'tou
本体端子箱,ben'ti'duan'zi'xiang
本体轻瓦斯,ben'ti'qing'wa'si
本体瓦斯,ben'ti'wa'si
本体压力释放,ben'ti'ya'li'shi'fang
本体重瓦斯,ben'ti'zhong'wa'si
比率差动,bi'lv'cha'dong
比率制动,bi'lv'zhi'dong
变比,bian'bi
变压器,bian'ya'qi
变压器保护屏,bian'ya'qi'bao'hu'ping
标签机,biao'qian'ji
标示牌,biao'shi'pai
标准化班组,biao'zhun'hua'ban'zu
补偿系数,bu'chang'xi'shu
不平衡系数,bu'ping'heng'xi'shu
不停电,bu'ting'dian
布置图,bu'zhi'tu
残压,can'ya
操作箱,cao'zuo'xiang
测控,ce'kong
测控屏,ce'kong'ping
测控装置,ce'kong'zhuang'zhi
差动,cha'dong
差动保护,cha'dong'bao'hu
差动电流,cha'dong'dian'liu
差流,cha'liu
长园深瑞,chang'yuan'shen'rui
充电保护,chong'dian'bao'hu
重合后加速,chong'he'hou'jia'su
重合闸,chong'he'zha
初级工,chu'ji'gong
出口,chu'kou
出口矩阵,chu'kou'ju'zhen
出口压板,chu'kou'ya'ban
处缺,chu'que
出入口,chu'ru'kou
出入口及检修通道,chu'ru'kou'ji'jian'xiu'tong'dao
出线,chu'xian
大差,da'cha
打号管,da'hao'guan
打号机,da'hao'ji
大集控,da'ji'kong
大集控改造,da'ji'kong'gai'zao
大集控切改,da'ji'kong'qie'gai
大接地,da'jie'di
大接地电流系统,da'jie'di'dian'liu'xi'tong
打压电源,da'ya'dian'yuan
带电设备,dai'dian'she'bei
单跳,dan'tiao
单相,dan'xiang
单重,dan'zhong
倒闸,dao'zha
刀闸,dao'zha
倒闸操作,dao'zha'cao'zuo
刀闸切换,dao'zha'qie'huan
低电压,di'dian'ya
低定值,di'ding'zhi
低后备,di'hou'bei
地线,di'xian
低压侧,di'ya'ce
低压减载,di'ya'jian'zai
低周,di'zhou
点表,dian'biao
电机电源,dian'ji'dian'yuan
点极性,dian'ji'xing
电抗器,dian'kang'qi
电缆刀,dian'lan'dao
电缆沟,dian'lan'gou
电缆牌,dian'lan'pai
电力企业,dian'li'qi'ye
电力生产,dian'li'sheng'chan
电流闭锁,dian'liu'bi'suo
电流互感器,dian'liu'hu'gan'qi
电流回路,dian'liu'hui'lu
电容器,dian'rong'qi
电压闭锁,dian'ya'bi'suo
电压互感器,dian'ya'hu'gan'qi
电压回路,dian'ya'hui'lu
电压切换,dian'ya'qie'huan
电源插件,dian'yuan'cha'jian
调度所,diao'du'suo
调度中心,diao'du'zhong'xin
掉闸,diao'zha
定相,ding'xiang
定值,ding'zhi
定值单,ding'zhi'dan
定置图,ding'zhi'tu
定值未变,ding'zhi'wei'bian
独股线,du'gu'xian
短封,duan'feng
短连片,duan'lian'pian
短路点,duan'lu'dian
断路器,duan'lu'qi
端子,duan'zi
端子排,duan'zi'pai
端子箱,duan'zi'xiang
对侧,dui'ce
对称分量法,dui'cheng'fen'liang'fa
二次回路,er'ci'hui'lu
二次线,er'ci'xian
二圈,er'quan
二态,er'tai
反抽,fan'chou
反措,fan'cuo
反极性,fan'ji'xing
反起,fan'qi
反事故措施,fan'shi'gu'cuo'shi
防跳,fang'tiao
防跳继电器,fang'tiao'ji'dian'qi
防止跳跃,fang'zhi'tiao'yue
防止误动,fang'zhi'wu'dong
防止误碰,fang'zhi'wu'peng
防止误整定,fang'zhi'wu'zheng'ding
非电量,fei'dian'liang
非金属性短路,fei'jin'shu'xing'duan'lu
菲尼克斯,fei'ni'ke'si
非全相,fei'quan'xiang
非同期,fei'tong'qi
分流,fen'liu
分相,fen'xiang
分闸,fen'zha
分支,fen'zhi
分支侧,fen'zhi'ce
分支系数,fen'zhi'xi'shu
负电,fu'dian
复归,fu'gui
负荷电流,fu'he'dian'liu
复合电压,fu'he'dian'ya
复合电压闭锁,fu'he'dian'ya'bi'suo
负荷阻抗,fu'he'zu'kang
复式比率,fu'shi'bi'lv
复压,fu'ya
复压闭锁,fu'ya'bi'suo
复压过流,fu'ya'guo'liu
辅助保护,fu'zhu'bao'hu
辅助保护屏,fu'zhu'bao'hu'ping
辅助接点,fu'zhu'jie'dian
辅助屏,fu'zhu'ping
改定值,gai'ding'zhi
高定值,gao'ding'zhi
高后备,gao'hou'bei
高级工,gao'ji'gong
高级技师,gao'ji'ji'shi
高频保护,gao'pin'bao'hu
高压侧,gao'ya'ce
隔离开关,ge'li'kai'guan
公用测控屏,gong'yong'ce'kong'ping
工作班,gong'zuo'ban
工作服,gong'zuo'fu
工作负责人,gong'zuo'fu'ze'ren
工作票,gong'zuo'piao
工作票签发人,gong'zuo'piao'qian'fa'ren
工作许可人,gong'zuo'xu'ke'ren
沟盖板,gou'gai'ban
勾三跳,gou'san'tiao
勾通三跳,gou'tong'san'tiao
勾线,gou'xian
故障残压,gu'zhang'can'ya
故障测距,gu'zhang'ce'ju
故障点,gu'zhang'dian
故障录波器,gu'zhang'lu'bo'qi
光电接口,guang'dian'jie'kou
光功率计,guang'gong'lv'ji
光纤纵差,guang'xian'zong'cha
光字,guang'zi
光字牌,guang'zi'pai
过补偿,guo'bu'chang
国电,guo'dian
