黯然失色,an'ran'shi'se
奥秘,ao'mi
巴结,ba'jie
八年级上册,ba'nian'ji'shang'ce
八年级下册,ba'nian'ji'xia'ce
败笔,bai'bi
白瞪,bai'deng
白丁,bai'ding
班师,ban'shi
饱食终日,bao'shi'zhong'ri
标致,biao'zhi
波澜不惊,bo'lan'bu'jing
薄暮冥冥,bo'mu'ming'ming
播弄,bo'nong
博识,bo'shi
不二法门,bu'er'fa'men
不可名状,bu'ke'ming'zhuang
不蔓不枝,bu'man'bu'zhi
不求甚解,bu'qiu'shen'jie
不容置疑,bu'rong'zhi'yi
不逊,bu'xun
不言而喻,bu'yan'er'yu
不愿乎其外,bu'yuan'hu'qi'wai
不知老之将至云尔,bu'zhi'lao'zhi'jiang'zhi'yun'er
惨淡,can'dan
残损,can'sun
沧海桑田,cang'hai'sang'tian
苍茫,cang'mang
藏污纳垢,cang'wu'na'gou
草长莺飞,cao'zhang'ying'fei
层累,ceng'lei
茶饭无心,cha'fan'wu'xin
颤颤巍巍,chan'chan'wei'wei
蟾蜍,chan'chu
长妈妈,chang'ma'ma
长途跋涉,chang'tu'ba'she
长吁短叹,chang'xu'duan'tan
朝服衣冠,chao'fu'yi'guan
潮汐,chao'xi
潮汛,chao'xun
沉鳞竞跃,chen'lin'jing'yue
晨曦,chen'xi
沉吟,chen'yin
成材,cheng'cai
诚惶诚恐,cheng'huang'cheng'kong
诚意,cheng'yi
持之以恒,chi'zhi'yi'heng
重蹈覆辙,chong'dao'fu'zhe
充耳不闻,chong'er'bu'wen
出风头,chu'feng'tou
触目伤怀,chu'mu'shang'huai
吹毛求疵,chui'mao'qiu'ci
垂手,chui'shou
淳朴,chun'pu
粗制滥造,cu'zhi'lan'zao
打拱,da'gong
大惊小怪,da'jing'xiao'guai
大去,da'qu
大庭广众,da'ting'guang'zhong
大同,da'tong
打牙祭,da'ya'ji
大约摸,da'yue'mo
荡然无存,dang'ran'wu'cun
到了儿,dao'liao'er
倒运,dao'yun
德隆望尊,de'long'wang'zun
得体,de'ti
第二单元,di'er'dan'yuan
地灵人杰,di'ling'ren'jie
第六单元,di'liu'dan'yuan
低眉顺眼,di'mei'shun'yan
第三单元,di'san'dan'yuan
第四单元,di'si'dan'yuan
第五单元,di'wu'dan'yuan
第一单元,di'yi'dan'yuan
典质,dian'zhi
凋零,diao'ling
顶礼膜拜,ding'li'mo'bai
斗拱,dou'gong
断壁残垣,duan'bi'can'yuan
端的,duan'di
断章取义,duan'zhang'qu'yi
对答如流,dui'da'ru'liu
噩耗,e'hao
愕然,e'ran
厄运,e'yun
发奋忘食,fa'fen'wang'shi
繁花似锦,fan'hua'si'jin
翻来覆去,fan'lai'fu'qu
繁衍,fan'yan
烦躁,fan'zao
芳馨,fang'xin
风尘苦旅,feng'chen'ku'lv
风流人物,feng'liu'ren'wu
风云突变,feng'yun'tu'bian
服辩伏辩,fu'bian'fu'bian
浮光跃金,fu'guang'yue'jin
赋闲,fu'xian
夫战,fu'zhan
干戚,gan'qi
干系,gan'xi
告禀,gao'bing
戈壁滩,ge'bi'tan
格局,ge'ju
隔膜,ge'mo
格物致知,ge'wu'zhi'zhi
勾当,gou'dang
勾留,gou'liu
顾忌,gu'ji
孤军奋战,gu'jun'fen'zhan
古朴,gu'pu
管待,guan'dai
管束,guan'shu
广漠,guang'mo
过滤,guo'lv
哈佛尔,ha'fo'er
骸骨,hai'gu
海誓山盟,hai'shi'shan'meng
浩瀚无垠,hao'han'wu'yin
好行小慧,hao'xing'xiao'hui
好之者不如乐之者,hao'zhi'zhe'bu'ru'le'zhi'zhe
呵斥,he'chi
核磁共振,he'ci'gong'zhen
鹤立鸡群,he'li'ji'qun
黑咕隆咚,hei'gu'long'dong
鸿儒,hong'ru
红装素裹,hong'zhuang'su'guo
厚实,hou'shi
蝴蝶,hu'die
葫芦,hu'lu
化为乌有,hua'wei'wu'you
滑翔,hua'xiang
怀古伤今,huai'gu'shang'jin
缓冲,huan'chong
惑乱,huo'luan
豁免,huo'mian
激荡,ji'dang
鸡零狗碎,ji'ling'gou'sui
寄名,ji'ming
诘难,ji'nan
鸡犬不宁,ji'quan'bu'ning
诘问,ji'wen
诘责,ji'ze
家景,jia'jing
兼而有之,jian'er'you'zhi
间或,jian'huo
监控,jian'kong
尖利,jian'li
荐头,jian'tou
健忘,jian'wang
骄奢,jiao'she
金銮殿,jin'luan'dian
精灵,jing'ling
精巧绝伦,jing'qiao'jue'lun
精血诚聚,jing'xue'cheng'ju
敬业乐群,jing'ye'le'qun
静影沉璧,jing'ying'chen'bi
九年级上册,jiu'nian'ji'shang'ce
九年级下册,jiu'nian'ji'xia'ce
聚山林,ju'shan'lin
娟然,juan'ran
开卷有益,kai'juan'you'yi
课后古诗,ke'hou'gu'shi
恪尽职守,ke'jin'zhi'shou
克扣,ke'kou
克隆,ke'long
恐龙,kong'long
骷髅,ku'lou
酷肖,ku'xiao
宽恕,kuan'shu
狂妄自大,kuang'wang'zi'da
馈赠,kui'zeng
烂漫,lan'man
狼籍,lang'ji
乐此不疲,le'ci'bu'pi
乐以忘忧,le'yi'wang'you
雷霆,lei'ting
黎民百姓,li'min'bai'xing
理至易明,li'zhi'yi'ming
连翘,lian'qiao
连声诺诺,lian'sheng'nuo'nuo
鳞次栉比,lin'ci'zhi'bi
凛冽,lin'lie
