爱德华,ai'de'hua
岸电箱,an'dian'xiang
按钮,an'niu
安全阀,an'quan'fa
安全索,an'quan'suo
安全图,an'quan'tu
安装,an'zhuang
凹坑,ao'keng
巴拿马动河操舵灯,ba'na'ma'dong'he'cao'duo'deng
巴拿马运河操纵灯,ba'na'ma'yun'he'cao'zong'deng
巴拿马运河导缆盖,ba'na'ma'yun'he'dao'lan'gai
巴拿马运河导缆孔座,ba'na'ma'yun'he'dao'lan'kong'zuo
八其他,ba'qi'ta
把手,ba'shou
白炽灯,bai'chi'deng
白点,bai'dian
百页窗,bai'ye'chuang
白昼信号灯,bai'zhou'xin'hao'deng
扳手,ban'shou
半自动焊,ban'zi'dong'han
绑扎单元,bang'za'dan'yuan
保护导架,bao'hu'dao'jia
保护气体,bao'hu'qi'ti
报警系统,bao'jing'xi'tong
保养,bao'yang
备件,bei'jian
泵,beng
泵油和驳油,beng'you'he'bo'you
舭板,bi'ban
壁灯,bi'deng
舭肋骨,bi'lei'gu
避雷针,bi'lei'zhen
舭纵桁,bi'zong'heng
舭纵桁舭纵骨,bi'zong'heng'bi'zong'gu
边柜,bian'gui
变速送丝,bian'su'song'si
便携电话,bian'xie'dian'hua
变压器,bian'ya'qi
标称值,biao'cheng'zhi
标记,biao'ji
表铜截止阀,biao'tong'jie'zhi'fa
表铜截止止回阀,biao'tong'jie'zhi'zhi'hui'fa
并车,bing'che
病房呼叫,bing'fang'hu'jiao
并联,bing'lian
并列断续角焊缝,bing'lie'duan'xu'jiao'han'feng
渤船重工,bo'chuan'zhong'gong
波道,bo'dao
拨号,bo'hao
玻璃棉,bo'li'mian
泊位结构,bo'wei'jie'gou
补焊,bu'han
补气阀,bu'qi'fa
不锈钢,bu'xiu'gang
不锈钢螺丝,bu'xiu'gang'luo'si
不中断电源,bu'zhong'duan'dian'yuan
材料,cai'liao
餐桌,can'zhuo
舱,cang
舱壁板,cang'bi'ban
舱底消防泵,cang'di'xiao'fang'beng
舱底消防总用泵,cang'di'xiao'fang'zong'yong'beng
舱底压载系统,cang'di'ya'zai'xi'tong
舱盖板,cang'gai'ban
舱盖结构,cang'gai'jie'gou
舱口边梁,cang'kou'bian'liang
舱口围,cang'kou'wei
槽焊,cao'han
槽形舱壁板,cao'xing'cang'bi'ban
测量,ce'liang
测量缸套,ce'liang'gang'tao
测深仪,ce'shen'yi
测速传感器,ce'su'chuan'gan'qi
侧弯,ce'wan
层间温度,ceng'jian'wen'du
层状撕裂,ceng'zhuang'si'lie
茶几,cha'ji
插头,cha'tou
插座,cha'zuo
柴油澄清舱,chai'you'deng'qing'cang
柴油分油机,chai'you'fen'you'ji
柴油日用柜,chai'you'ri'yong'gui
柴油输送泵,chai'you'shu'song'beng
拆装校正,chai'zhuang'jiao'zheng
常闭,chang'bi
常开,chang'kai
常用缩语,chang'yong'suo'yu
超高频,chao'gao'pin
超声波探伤,chao'sheng'bo'tan'shang
超声波仪测厚,chao'sheng'bo'yi'ce'hou
掣链器,che'lian'qi
掣锚索,che'mao'suo
车钟,che'zhong
车钟记录仪,che'zhong'ji'lu'yi
衬套,chen'tao
澄西船厂,cheng'xi'chuan'chang
程序,cheng'xu
充电器,chong'dian'qi
充放电板,chong'fang'dian'ban
抽风机,chou'feng'ji
抽屉柜,chou'ti'gui
触摸屏,chu'mo'ping
触头,chu'tou
船舱,chuan'cang
船厂,chuan'chang
船的栏杆,chuan'de'lan'gan
船底板,chuan'di'ban
船底腹板纵桁,chuan'di'fu'ban'zong'heng
船底肋骨,chuan'di'lei'gu
船底塞,chuan'di'sai
船底纵骨,chuan'di'zong'gu
船东,chuan'dong
传动端,chuan'dong'duan
传感器,chuan'gan'qi
船籍,chuan'ji
串联,chuan'lian
船码头,chuan'ma'tou
船名灯,chuan'ming'deng
船壳板,chuan'qiao'ban
船首,chuan'shou
船首部结构,chuan'shou'bu'jie'gou
船首外板,chuan'shou'wai'ban
船梯,chuan'ti
船体部分,chuan'ti'bu'fen
船外板,chuan'wai'ban
船尾,chuan'wei
船坞,chuan'wu
船舷,chuan'xian
船装部分,chuan'zhuang'bu'fen
床,chuang
床边柜,chuang'bian'gui
窗帘,chuang'lian
床头灯,chuang'tou'deng
锤击,chui'ji
磁粉探险伤,ci'fen'tan'xian'shang
磁罗经,ci'luo'jing
磁盘,ci'pan
磁性探伤,ci'xing'tan'shang
脆性断裂,cui'xing'duan'lie
锉刀,cuo'dao
打底焊,da'di'han
搭接焊,da'jie'han
搭接接头,da'jie'jie'tou
打开,da'kai
大连大正,da'lian'da'zheng
大连新厂,da'lian'xin'chang
大连重工,da'lian'zhong'gong
大气冷凝器,da'qi'leng'ning'qi
打印机,da'yin'ji
带缆辅助索,dai'lan'fu'zhu'suo
带羊角滚轮导缆器,dai'yang'jiao'gun'lun'dao'lan'qi
单边带收发机,dan'bian'dai'shou'fa'ji
单道焊,dan'dao'han
单轨吊,dan'gui'diao
单旧率板,dan'jiu'lv'ban
单面焊,dan'mian'han
单面坡口,dan'mian'po'kou
淡水舱,dan'shui'cang
淡水冲洗,dan'shui'chong'xi
淡水输送泵,dan'shui'shu'song'beng
淡水压力柜,dan'shui'ya'li'gui
挡圈,dang'quan
到车,dao'che
导电嘴,dao'dian'zui
导航系统,dao'hang'xi'tong
导缆滚轮,dao'lan'gun'lun
灯,deng
等离子弧切割,deng'li'zi'hu'qie'ge
灯泡,deng'pao
等速送丝,deng'su'song'si
灯柱,deng'zhu
地板,di'ban
底边舱,di'bian'cang
底部龙骨结构,di'bu'long'gu'jie'gou
底舱,di'cang
底桁材,di'heng'cai
低氢型焊条,di'qing'xing'han'tiao
底座,di'zuo
电池,dian'chi
电磁阀,dian'ci'fa
电笛,dian'di
电笛喇叭,dian'di'la'ba
电动机,dian'dong'ji
电工试验板,dian'gong'shi'yan'ban
电光性眼炎,dian'guang'xing'yan'yan
点焊,dian'han
电焊机,dian'han'ji
电弧电压,dian'hu'dian'ya
电弧动特性,dian'hu'dong'te'xing
电弧静特性,dian'hu'jing'te'xing
电极,dian'ji
电机员,dian'ji'yuan
电缆,dian'lan
电缆管,dian'lan'guan
电缆填料函,dian'lan'tian'liao'han
电缆托架,dian'lan'tuo'jia
电缆扎带,dian'lan'zha'dai
电烙铁,dian'lao'tie
电力分电箱,dian'li'fen'dian'xiang
电流表,dian'liu'biao
电流密度,dian'liu'mi'du
电流损坏,dian'liu'sun'huai
电罗经,dian'luo'jing
垫木,dian'mu
垫片,dian'pian
垫圈,dian'quan
电容,dian'rong
电视,dian'shi
电刷,dian'shua
电线,dian'xian
电压,dian'ya
电压表,dian'ya'biao
电压自动调节器,dian'ya'zi'dong'tiao'jie'qi
电熨斗,dian'yun'dou
电阻,dian'zu
吊臂,diao'bi
吊臂搁吊,diao'bi'ge'diao
吊杆鹅颈销,diao'gan'e'jing'xiao
调光器,diao'guang'qi
吊柜,diao'gui
吊环螺钉,diao'huan'luo'ding
吊离型投抛型,diao'li'xing'tou'pao'xing
顶边水舱,ding'bian'shui'cang
顶边翼舱,ding'bian'yi'cang
顶灯,ding'deng
定位板,ding'wei'ban
定位焊,ding'wei'han
东方船厂,dong'fang'chuan'chang
镀锌,du'xin
镀锌管,du'xin'guan
端部止动装置,duan'bu'zhi'dong'zhuang'zhi
端铰链,duan'jiao'lian
端铰链底座,duan'jiao'lian'di'zuo
短路,duan'lu
短路过渡,duan'lu'guo'du
断续焊,duan'xu'han
断续焊缝,duan'xu'han'feng
堆焊,dui'han
对接焊,dui'jie'han
对接焊缝隙,dui'jie'han'feng'xi
对接接头,dui'jie'jie'tou
钝边,dun'bian
吨位表,dun'wei'biao
舵,duo
舵板,duo'ban
舵柄,duo'bing
多层焊,duo'ceng'han
多道焊,duo'dao'han
舵杆,duo'gan
舵杆衬套,duo'gan'chen'tao
舵杆承座,duo'gan'cheng'zuo
舵杆轴套,duo'gan'zhou'tao
舵机,duo'ji
舵机间,duo'ji'jian
舵机装置,duo'ji'zhuang'zhi
舵角,duo'jiao
舵角指示器,duo'jiao'zhi'shi'qi
多普勒记程仪,duo'pu'le'ji'cheng'yi
舵销,duo'xiao
舵销承衬套,duo'xiao'cheng'chen'tao
舵销承座,duo'xiao'cheng'zuo
舵销轴套,duo'xiao'zhou'tao
舵叶,duo'ye
额定,e'ding
二次系统,er'ci'xi'tong
二氧化碳灭火系统,er'yang'hua'tan'mie'huo'xi'tong
二氧化碳气体保护焊,er'yang'hua'tan'qi'ti'bao'hu'han
二氧化碳释放报警,er'yang'hua'tan'shi'fang'bao'jing
发电机,fa'dian'ji
发电机屏,fa'dian'ji'ping
翻板,fan'ban
反极性,fan'ji'xing
反接,fan'jie
反馈,fan'kui
反馈装置,fan'kui'zhuang'zhi
返修焊,fan'xiu'han
防爆灯,fang'bao'deng
方窗,fang'chuang
放大器,fang'da'qi
防海生物装置,fang'hai'sheng'wu'zhuang'zhi
防护服,fang'hu'fu
防火,fang'huo
防火舱壁,fang'huo'cang'bi
防火分隔,fang'huo'fen'ge
防火风闸,fang'huo'feng'zha
防火风闸控制单元,fang'huo'feng'zha'kong'zhi'dan'yuan
纺织品,fang'zhi'pin
粪便管,fen'bian'guan
分段,fen'duan
分段多层焊,fen'duan'duo'ceng'han
分段退焊,fen'duan'tui'han
分励脱扣,fen'li'tuo'kou
分配阀,fen'pei'fa
分配器,fen'pei'qi
分油机,fen'you'ji
分油机供给泵,fen'you'ji'gong'ji'beng
分油机工作水箱,fen'you'ji'gong'zuo'shui'xiang
风暴扶手,feng'bao'fu'shou
封底焊,feng'di'han
风机,feng'ji
风帽,feng'mao
蜂鸣器,feng'ming'qi
风速风向仪,feng'su'feng'xiang'yi
风雨密舱口盖,feng'yu'mi'cang'kou'gai
佛纳,fo'na
浮充电,fu'chong'dian
负极,fu'ji
辅机,fu'ji
付机淡水膨胀水箱,fu'ji'dan'shui'peng'zhang'shui'xiang
付机缸套水泵,fu'ji'gang'tao'shui'beng
付机海水泵,fu'ji'hai'shui'beng
付机燃油单元,fu'ji'ran'you'dan'yuan
敷设电缆,fu'she'dian'lan
扶手,fu'shou
附属工程,fu'shu'gong'cheng
附属件,fu'shu'jian
附属结构,fu'shu'jie'gou
复位,fu'wei
负载,fu'zai
辅助水柜,fu'zhu'shui'gui
辅助压载水舱,fu'zhu'ya'zai'shui'cang
盖面焊,gai'mian'han
干舱,gan'cang
感温探头,gan'wen'tan'tou
感烟探头,gan'yan'tan'tou
干衣机,gan'yi'ji
干燥箱,gan'zao'xiang
钢锯,gang'ju
钢丝网门,gang'si'wang'men
缸套水系统,gang'tao'shui'xi'tong
钢质工程,gang'zhi'gong'cheng
高压水冲洗,gao'ya'shui'chong'xi
隔离管,ge'li'guan
格栅滤器,ge'shan'lv'qi
根部间隙,gen'bu'jian'xi
根部裂纹,gen'bu'lie'wen
更换,geng'huan
更换水泥,geng'huan'shui'ni
功率电源,gong'lv'dian'yuan
功率因素,gong'lv'yin'su
工作台,gong'zuo'tai
构架结构,gou'jia'jie'gou
钩子,gou'zi
故障,gu'zhang
刮雨器,gua'yu'qi
关闭,guan'bi
管子,guan'zi
管子钳,guan'zi'qian
广播,guang'bo
广船国际,guang'chuan'guo'ji
光敏电阻,guang'min'dian'zu
广州黄埔,guang'zhou'huang'pu
轨道,gui'dao
轨迹球,gui'ji'qiu
滚动轴承型滑车,gun'dong'zhou'cheng'xing'hua'che
滚轮导缆器底座,gun'lun'dao'lan'qi'di'zuo
滚轮装置,gun'lun'zhuang'zhi
滚柱导缆器,gun'zhu'dao'lan'qi
滚柱导缆器底座,gun'zhu'dao'lan'qi'di'zuo
过电流,guo'dian'liu
