长庚大学,chang'geng'da'xue
长荣大学,chang'rong'da'xue
成功大学,cheng'gong'da'xue
慈光禅学研究所,ci'guang'chan'xue'yan'jiu'suo
慈济大学,ci'ji'da'xue
大仁科技大学,da'ren'ke'ji'da'xue
大同大学,da'tong'da'xue
大叶大学,da'ye'da'xue
淡江大学,dan'jiang'da'xue
稻江科技暨管理学院,dao'jiang'ke'ji'ji'guan'li'xue'yuan
东海大学,dong'hai'da'xue
东华大学,dong'hua'da'xue
东吴大学,dong'wu'da'xue
逢甲大学,feng'jia'da'xue
佛光人文社会学院,fo'guang'ren'wen'she'hui'xue'yuan
辅仁大学,fu'ren'da'xue
辅英科技大学,fu'ying'ke'ji'da'xue
高雄大学,gao'xiong'da'xue
高雄第一科技大学,gao'xiong'di'yi'ke'ji'da'xue
高雄海洋科技大学,gao'xiong'hai'yang'ke'ji'da'xue
高雄师范大学,gao'xiong'shi'fan'da'xue
高雄市立空中大学,gao'xiong'shi'li'kong'zhong'da'xue
高雄医学大学,gao'xiong'yi'xue'da'xue
高雄应用科技大学,gao'xiong'ying'yong'ke'ji'da'xue
高苑科技大学,gao'yuan'ke'ji'da'xue
国立高雄餐旅学院,guo'li'gao'xiong'can'lv'xue'yuan
国立花莲教育大学,guo'li'hua'lian'jiao'yu'da'xue
国立暨南国际大学,guo'li'ji'nan'guo'ji'da'xue
国立金门技术学院,guo'li'jin'men'ji'shu'xue'yuan
国立联合大学,guo'li'lian'he'da'xue
国立屏东教育大学,guo'li'ping'dong'jiao'yu'da'xue
国立侨生大学先修班,guo'li'qiao'sheng'da'xue'xian'xiu'ban
国立台北教育大学,guo'li'tai'bei'jiao'yu'da'xue
国立台中教育大学,guo'li'tai'zhong'jiao'yu'da'xue
国立体育学院,guo'li'ti'yu'xue'yuan
国立新竹教育大学,guo'li'xin'zhu'jiao'yu'da'xue
弘光科技大学,hong'guang'ke'ji'da'xue
虎尾科技大学,hu'wei'ke'ji'da'xue
华梵大学,hua'fan'da'xue
嘉南药理科技大学,jia'nan'yao'li'ke'ji'da'xue
嘉义大学,jia'yi'da'xue
建国科技大学,jian'guo'ke'ji'da'xue
交通大学,jiao'tong'da'xue
经国管理暨健康学院,jing'guo'guan'li'ji'jian'kang'xue'yuan
静宜大学,jing'yi'da'xue
开南管理学院,kai'nan'guan'li'xue'yuan
空中大学,kong'zhong'da'xue
昆山科技大学,kun'shan'ke'ji'da'xue
立德管理学院,li'de'guan'li'xue'yuan
岭东科技大学,ling'dong'ke'ji'da'xue
龙华科技大学,long'hua'ke'ji'da'xue
铭传大学,ming'chuan'da'xue
明道管理学院,ming'dao'guan'li'xue'yuan
明新科技大学,ming'xin'ke'ji'da'xue
明志科技大学,ming'zhi'ke'ji'da'xue
南华大学,nan'hua'da'xue
南台科技大学,nan'tai'ke'ji'da'xue
澎湖科技大学,peng'hu'ke'ji'da'xue
屏东科技大学,ping'dong'ke'ji'da'xue
清华大学,qing'hua'da'xue
清云科技大学,qing'yun'ke'ji'da'xue
圣约翰科技大学,sheng'yue'han'ke'ji'da'xue
实践大学,shi'jian'da'xue
世新大学,shi'xin'da'xue
树德科技大学,shu'de'ke'ji'da'xue
台北大学,tai'bei'da'xue
台北护理学院,tai'bei'hu'li'xue'yuan
台北科技大学,tai'bei'ke'ji'da'xue
台北市立教育大学,tai'bei'shi'li'jiao'yu'da'xue
台北市立体育学院,tai'bei'shi'li'ti'yu'xue'yuan
台北艺术大学,tai'bei'yi'shu'da'xue
台北医学大学,tai'bei'yi'xue'da'xue
台东大学,tai'dong'da'xue
台南大学,tai'nan'da'xue
台南艺术大学,tai'nan'yi'shu'da'xue
台湾大学,tai'wan'da'xue
台湾海洋大学,tai'wan'hai'yang'da'xue
台湾科技大学,tai'wan'ke'ji'da'xue
台湾师范大学,tai'wan'shi'fan'da'xue
台湾体育学院,tai'wan'ti'yu'xue'yuan
台湾艺术大学,tai'wan'yi'shu'da'xue
万能科技大学,wan'neng'ke'ji'da'xue
文化大学,wen'hua'da'xue
文藻外语学院,wen'zao'wai'yu'xue'yuan
兴国管理学院,xing'guo'guan'li'xue'yuan
玄奘大学,xuan'zang'da'xue
亚洲大学,ya'zhou'da'xue
阳明大学,yang'ming'da'xue
宜兰大学,yi'lan'da'xue
义守大学,yi'shou'da'xue
元智大学,yuan'zhi'da'xue
云林科技大学,yun'lin'ke'ji'da'xue
彰化师范大学,zhang'hua'shi'fan'da'xue
朝阳科技大学,zhao'yang'ke'ji'da'xue
真理大学,zhen'li'da'xue
正修科技大学,zheng'xiu'ke'ji'da'xue
政治大学,zheng'zhi'da'xue
致远管理学院,zhi'yuan'guan'li'xue'yuan
中国科技大学,zhong'guo'ke'ji'da'xue
中国医药大学,zhong'guo'yi'yao'da'xue
中华大学,zhong'hua'da'xue
中华佛学研究所,zhong'hua'fo'xue'yan'jiu'suo
中华医事学院,zhong'hua'yi'shi'xue'yuan
中山大学,zhong'shan'da'xue
中山医学大学,zhong'shan'yi'xue'da'xue
中台科技大学,zhong'tai'ke'ji'da'xue
中兴大学,zhong'xing'da'xue
中央大学,zhong'yang'da'xue
中央警察大学,zhong'yang'jing'cha'da'xue
中原大学,zhong'yuan'da'xue
中正大学,zhong'zheng'da'xue
