阿贝尔,a'bei'er
阿德勒,a'de'le
阿多,a'duo
阿多贝,a'duo'bei
阿尔贝托,a'er'bei'tuo
阿尔梅达,a'er'mei'da
阿尔特曼,a'er'te'man
阿尔滕托普,a'er'teng'tuo'pu
阿汉富夫,a'han'fu'fu
阿加利,a'jia'li
阿莱士,a'lai'shi
阿洛内夫蒂斯,a'luo'nei'fu'di'si
阿玛纳蒂迪斯,a'ma'na'di'di'si
阿梅迪克,a'mei'di'ke
阿萨莫阿,a'sa'mo'a
阿图巴,a'tu'ba
阿扎乌格,a'zha'wu'ge
埃伯特,ai'bo'te
埃德,ai'de
艾格勒,ai'ge'le
艾格纳,ai'ge'na
埃吉曼,ai'ji'man
艾京,ai'jing
埃帕勒,ai'pa'le
埃韦顿,ai'wei'dun
艾希纳,ai'xi'na
安德烈亚森,an'de'lie'ya'sen
安格洛夫,an'ge'luo'fu
奥尔,ao'er
奥科隆克沃,ao'ke'long'ke'wo
奥克斯,ao'ke'si
奥拉霍瓦茨,ao'la'huo'wa'ci
奥雷斯特,ao'lei'si'te
奥利奇,ao'li'qi
奥索里奥,ao'suo'li'ao
奥特尔,ao'te'er
奥沃莫耶拉,ao'wo'mo'ye'la
巴巴雷茨,ba'ba'lei'ci
巴尔德斯,ba'er'de'si
巴克利,ba'ke'li
巴利奇,ba'li'qi
巴内塔,ba'nei'ta
巴斯图尔克,ba'si'tu'er'ke
巴特尔斯,ba'te'er'si
巴西拉,ba'xi'la
巴伊拉莫维奇,ba'yi'la'mo'wei'qi
拜尔,bai'er
柏林赫塔,bai'lin'he'ta
拜仁慕尼黑,bai'ren'mu'ni'hei
拜因利希,bai'yin'li'xi
班德罗夫斯基,ban'de'luo'fu'si'ji
班克尔特,ban'ke'er'te
鲍曼,bao'man
鲍姆加特,bao'mu'jia'te
贝克,bei'ke
贝克尔,bei'ke'er
贝克曼,bei'ke'man
本哈蒂拉,ben'ha'di'la
本杰明,ben'jie'ming
本科,ben'ke
比彻姆,bi'che'mu
比达尔,bi'da'er
彼得里茨,bi'de'li'ci
比克马兹,bi'ke'ma'zi
比勒尔,bi'le'er
比勒费尔德,bi'le'fei'er'de
比洛,bi'luo
比朔夫,bi'shuo'fu
博阿基耶,bo'a'ji'ye
博阿滕,bo'a'teng
博德策克,bo'de'ce'ke
博登,bo'deng
波多尔斯基,bo'duo'er'si'ji
博尔曼,bo'er'man
波尔切洛,bo'er'qie'luo
博尔热斯,bo'er're'si
波鸿,bo'hong
博卡,bo'ka
博克,bo'ke
博罗夫斯基,bo'luo'fu'si'ji
伯梅,bo'mei
伯尼施,bo'ni'shi
伯尼希,bo'ni'xi
博伊克特,bo'yi'ke'te
布尔岑斯卡,bu'er'cen'si'ka
布尔达里奇,bu'er'da'li'qi
布尔卡,bu'er'ka
布克,bu'ke
布拉戈,bu'la'ge
布拉热克,bu'la're'ke
不来梅,bu'lai'mei
布兰克,bu'lan'ke
布雷金,bu'lei'jin
布雷奇科,bu'lei'qi'ke
布鲁金克,bu'lu'jin'ke
查里斯泰斯,cha'li'si'tai'si
茨维塔诺维奇,ci'wei'ta'nuo'wei'qi
达布罗夫斯基,da'bu'luo'fu'si'ji
达尔道伊,da'er'dao'yi
达席尔瓦,da'xi'er'wa
代扎加,dai'zha'jia
稻本润一,dao'ben'run'yi
德尔皮埃尔,de'er'pi'ai'er
德尔塞克,de'er'sai'ke
德根,de'gen
德雷埃尔,de'lei'ai'er
德罗布尼,de'luo'bu'ni
德梅尔,de'mei'er
德米凯利斯,de'mi'kai'li'si
德容,de'rong
迪迪,di'di
蒂费特,di'fei'te
迪克,di'ke
蒂拉拉,di'la'la
蒂姆,di'mu
蒂廷,di'ting
蒂亚姆,di'ya'mu
迭戈,die'ge
杜姆,du'mu
杜伊斯堡,du'yi'si'bao
多恩,duo'en
多尔,duo'er
多马施克,duo'ma'shi'ke
多特蒙德,duo'te'meng'de
多伊梅兰德,duo'yi'mei'lan'de
厄齐尔,e'qi'er
厄兹蒂尔克,e'zi'di'er'ke
恩格尔哈特,en'ge'er'ha'te
恩克,en'ke
恩科西,en'ke'xi
恩斯特,en'si'te
法比安,fa'bi'an
法蒂,fa'di
法尔内鲁德,fa'er'nei'lu'de
法夫尔,fa'fu'er
法兰克福,fa'lan'ke'fu
法伦霍斯特,fa'lun'huo'si'te
法伊克,fa'yi'ke
范博梅尔,fan'bo'mei'er
范伯伊滕,fan'bo'yi'teng
范德,fan'de
范德法特,fan'de'fa'te
范德海登,fan'de'hai'deng
费,fei
费代里科,fei'dai'li'ke
菲德勒,fei'de'le
费尔曼,fei'er'man
费尔南德斯,fei'er'nan'de'si
费尔南多,fei'er'nan'duo
菲尔斯特纳,fei'er'si'te'na
菲利佩斯库,fei'li'pei'si'ku
菲林格尔,fei'lin'ge'er
菲舍尔,fei'she'er
芬克,fen'ke
冯贝根,feng'bei'gen
丰克尔,feng'ke'er
弗尔佐吉奇,fu'er'zuo'ji'qi
富克斯,fu'ke'si
弗拉涅什,fu'la'nie'shen
弗赖,fu'lai
弗赖尔,fu'lai'er
弗赖斯,fu'lai'si
弗朗茨,fu'lang'ci
弗里茨,fu'li'ci
弗里德里希,fu'li'de'li'xi
弗林斯,fu'lin'si
福斯,fu'si
高原直泰,gao'yuan'zhi'tai
格奥尔基耶夫,ge'ao'er'ji'ye'fu
戈登,ge'deng
戈尔茨,ge'er'ci
格尔利奇,ge'er'li'qi
格拉菲特,ge'la'fei'te
格莱德松,ge'lai'de'song
格兰,ge'lan
格劳伯,ge'lao'bo
格雷罗,ge'lei'luo
格雷斯科,ge'lei'si'ke
格利茨,ge'li'ci
格罗斯米勒,ge'luo'si'mi'le
格罗特,ge'luo'te
戈麦斯,ge'mai'si
根,gen
根特纳,gen'te'na
哈尔法,ha'er'fa
哈利勒,ha'li'le
哈米德,ha'mi'de
哈内,ha'nei
哈内尔,ha'nei'er
