爱的光,ai'de'guang
爱冒险,ai'mao'xian
爱你一眼,ai'ni'yi'yan
爱情海的水手,ai'qing'hai'de'shui'shou
爱无所不能,ai'wu'suo'bu'neng
爱相随,ai'xiang'sui
摆渡的岁月,bai'du'de'sui'yue
摆渡人的歌,bai'du'ren'de'ge
百发百中,bai'fa'bai'zhong
不能没有你的关怀,bu'neng'mei'you'ni'de'guan'huai
不要在梦里想我,bu'yao'zai'meng'li'xiang'wo
不一样的夜晚,bu'yi'yang'de'ye'wan
不愿一个人,bu'yuan'yi'ge'ren
不愿再回首,bu'yuan'zai'hui'shou
不再拥有,bu'zai'yong'you
曾经沧海也是爱,ceng'jing'cang'hai'ye'shi'ai
处处爱,chu'chu'ai
纯真的心不变,chun'zhen'de'xin'bu'bian
从一开始,cong'yi'kai'shi
大闹营地,da'nao'ying'di
大屿山之恋,da'yu'shan'zhi'lian
当天的心,dang'tian'de'xin
到海边,dao'hai'bian
刀剑如梦,dao'jian'ru'meng
刀剑若梦,dao'jian'ruo'meng
等我一秒钟,deng'wo'yi'miao'zhong
的确比他好,di'que'bi'ta'hao
第一次约会,di'yi'ci'yue'hui
短歌,duan'ge
多一分钟少一分钟,duo'yi'fen'zhong'shao'yi'fen'zhong
放弃你留住你,fang'qi'ni'liu'zhu'ni
非常快乐,fei'chang'kuai'le
翡冷翠,fei'leng'cui
风笑痴,feng'xiao'chi
风雨无阻,feng'yu'wu'zu
感觉罪恶,gan'jue'zui'e
告诉我你爱我,gao'su'wo'ni'ai'wo
孤枕难眠,gu'zhen'nan'mian
寡妇村传奇,gua'fu'cun'chuan'qi
光阴似健,guang'yin'si'jian
鬼迷心窍,gui'mi'xin'qiao
海角天涯,hai'jiao'tian'ya
海阔天空,hai'kuo'tian'kong
还要爱你,hai'yao'ai'ni
孩子王,hai'zi'wang
孩子王录音实况,hai'zi'wang'lu'yin'shi'kuang
好想好想,hao'xiang'hao'xiang
喝一点酒,he'yi'dian'jiu
花心,hua'xin
回家的心情,hui'jia'de'xin'qing
寂寞的眼,ji'mo'de'yan
家和我一起成长,jia'he'wo'yi'qi'cheng'zhang
今夜该有的心情,jin'ye'gai'you'de'xin'qing
今夜无所不能,jin'ye'wu'suo'bu'neng
今夜阳光灿烂,jin'ye'yang'guang'can'lan
旧伤新痕,jiu'shang'xin'hen
苦苦等待你,ku'ku'deng'dai'ni
泪该停梦该醒,lei'gai'ting'meng'gai'xing
两个世界,liang'ge'shi'jie
忙与盲,mang'yu'mang
没有你,mei'you'ni
没有你伤心,mei'you'ni'shang'xin
没有永久的爱情,mei'you'yong'jiu'de'ai'qing
梦到破灭再从头,meng'dao'po'mie'zai'cong'tou
梦里的中国,meng'li'de'zhong'guo
明天我要嫁给你了,ming'tian'wo'yao'jia'gei'ni'le
难念的经,nan'nian'de'jing
男人缘,nan'ren'yuan
难兄难弟,nan'xiong'nan'di
你的名字是一首歌,ni'de'ming'zi'shi'yi'shou'ge
你是我心中的绿,ni'shi'wo'xin'zhong'de'lv
你说得对,ni'shuo'de'dui
你我是一句古老的诺言,ni'wo'shi'yi'ju'gu'lao'de'nuo'yan
你喜欢的会有几个,ni'xi'huan'de'hui'you'ji'ge
你现在还好吗,ni'xian'zai'hai'hao'ma
你要的男人是哪一种,ni'yao'de'nan'ren'shi'na'yi'zhong
你有爱过我吗,ni'you'ai'guo'wo'ma
你在我心里面,ni'zai'wo'xin'li'mian
年轻的歌未央,nian'qing'de'ge'wei'yang
浓情化不开,nong'qing'hua'bu'kai
女儿歌,nv'er'ge
女人的名字,nv'ren'de'ming'zi
女人缘,nv'ren'yuan
怕黑,pa'hei
泡面的幸福,pao'mian'de'xing'fu
跑在世界的前面,pao'zai'shi'jie'de'qian'mian
平安夜,ping'an'ye
