阿爷无大儿,a'ye'wu'da'er
阿姊闻妹来,a'zi'wen'mei'lai
爱莲说,ai'lian'shuo
爱士卒,ai'shi'zu
哀转久绝,ai'zhuan'jiu'jue
安得广厦千万间,an'de'guang'sha'qian'wan'jian
安陵君不听寡人,an'ling'jun'bu'ting'gua'ren
安陵君受地于先王而守之,an'ling'jun'shou'di'yu'xian'wang'er'shou'zhi
安陵君因使唐雎使于秦,an'ling'jun'yin'shi'tang'ju'shi'yu'qin
安陵以五十里之地存者,an'ling'yi'wu'shi'li'zhi'di'cun'zhe
安能辨我是雄雌,an'neng'bian'wo'shi'xiong'ci
安求其能千里也,an'qiu'qi'neng'qian'li'ye
黯乡魂,an'xiang'hun
安知我不知鱼之乐,an'zhi'wo'bu'zhi'yu'zhi'le
安知鱼之乐,an'zhi'yu'zhi'le
八百里分麾下炙,ba'bai'li'fen'hui'xia'zhi
巴东三峡巫峡长,ba'dong'san'xia'wu'xia'chang
拔剑四顾心茫然,ba'jian'si'gu'xin'mang'ran
把酒话桑麻,ba'jiu'hua'sang'ma
把酒临风,ba'jiu'lin'feng
把酒问青天,ba'jiu'wen'qing'tian
巴山楚水凄凉地,ba'shan'chu'shui'qi'liang'de
巴山夜雨涨秋池,ba'shan'ye'yu'zhang'qiu'chi
八月湖水平,ba'yue'hu'shui'ping
八月秋高风怒号,ba'yue'qiu'gao'feng'nu'hao
百草丰茂,bai'cao'feng'mao
百川东到海,bai'chuan'dong'dao'hai
百二十城,bai'er'shi'cheng
百废具兴,bai'fei'ju'xing
白虹贯日要离之刺庆忌也,bai'hong'guan'ri'yao'li'zhi'ci'qing'ji'ye
白居易,bai'ju'yi
百里奚举于市,bai'li'xi'ju'yu'shi
白露为霜,bai'lu'wei'shuang
白露未晞,bai'lu'wei'xi
白露未已,bai'lu'wei'yi
百千儿哭,bai'qian'er'ku
百千齐作又夹百千求救声,bai'qian'qi'zuo'you'jia'bai'qian'qiu'jiu'sheng
百千犬吠,bai'qian'quan'fei
白水绕东城,bai'shui'rao'dong'cheng
白头吊古风霜里,bai'tou'diao'gu'feng'shuang'li
白头搔更短,bai'tou'sao'geng'duan
百姓,bai'xing
百姓苦,bai'xing'ku
白雪纷纷何所似,bai'xue'fen'fen'he'suo'si
白雪歌送武判官归京,bai'xue'ge'song'wu'pan'guan'gui'jing
白云千载空悠悠,bai'yun'qian'zai'kong'you'you
半卷红旗临易水,ban'juan'hong'qi'lin'yi'shui
半亩方塘一鉴开,ban'mu'fang'tang'yi'jian'kai
半夜军行戈相拨,ban'ye'jun'xing'ge'xiang'bo
半夜凉初透,ban'ye'liang'chu'tou
报君黄金台上意,bao'jun'huang'jin'tai'shang'yi
保其岩阻,bao'qi'yan'zu
抱子在其旁,bao'zi'zai'qi'pang
北定中原,bei'ding'zhong'yuan
北斗阑干南斗斜,bei'dou'lan'gan'nan'dou'xie
北风江上寒,bei'feng'jiang'shang'han
