阿部健夫,a'bu'jian'fu
阿部宽,a'bu'kuan
阿部力,a'bu'li
阿部隆也,a'bu'long'ye
阿澄佳奈,a'cheng'jia'nai
阿非,a'fei
阿拉蕾,a'la'lei
阿南的小情人,a'nan'de'xiao'qing'ren
阿滋漫画大王,a'zi'man'hua'da'wang
爱爱,ai'ai
爱的和弦,ai'de'he'xian
爱的宽恕,ai'de'kuan'shu
爱的力量,ai'de'li'liang
爱迪生之母,ai'di'sheng'zhi'mu
埃及王子,ai'ji'wang'zi
艾克塞尔,ai'ke'sai'er
艾莉森和莉莉亚,ai'li'sen'he'li'li'ya
爱丽丝学院,ai'li'si'xue'yuan
艾琳,ai'lin
艾玛,ai'ma
艾美,ai'mei
爱情白皮书,ai'qing'bai'pi'shu
爱情泡泡糖,ai'qing'pao'pao'tang
爱情洗牌,ai'qing'xi'pai
爱情游戏,ai'qing'you'xi
爱神恶作剧,ai'shen'e'zuo'ju
艾泰娜,ai'tai'na
爱天使传说,ai'tian'shi'chuan'shuo
安倍夏美,an'bei'xia'mei
岸本加世子,an'ben'jia'shi'zi
安达佑实,an'da'you'shi
暗恋,an'lian
安藤奈津,an'teng'nai'jin
安藤政信,an'teng'zheng'xin
安田章大,an'tian'zhang'da
暗夜第六感,an'ye'di'liu'gan
暗夜魔法使,an'ye'mo'fa'shi
暗之末裔,an'zhi'mo'yi
奥菜惠,ao'cai'hui
奥林匹斯星传,ao'lin'pi'si'xing'chuan
奥帕,ao'pa
八岛智人,ba'dao'zhi'ren
巴蒂,ba'di
巴黎篇,ba'li'pian
霸王大系龙骑,ba'wang'da'xi'long'qi
百变小樱,bai'bian'xiao'ying
白川直也,bai'chuan'zhi'ye
百鬼夜行抄,bai'gui'ye'xing'chao
百合趣味,bai'he'qu'wei
白虎,bai'hu
柏木优,bai'mu'you
白色巨塔,bai'se'ju'ta
白色猎人,bai'se'lie'ren
白色相簿,bai'se'xiang'bu
白色相簿第二季,bai'se'xiang'bu'di'er'ji
白色相册,bai'se'xiang'ce
白色之春,bai'se'zhi'chun
白石,bai'shi
白石凉子,bai'shi'liang'zi
白石美帆,bai'shi'mei'fan
白藤杏子,bai'teng'xing'zi
拜托了老师,bai'tuo'le'lao'shi
白夜行,bai'ye'xing
百枝真理矢,bai'zhi'zhen'li'shi
白昼之月,bai'zhou'zhi'yue
坂本昌行,ban'ben'chang'xing
板谷由夏,ban'gu'you'xia
半海一晃,ban'hai'yi'huang
斑鸠,ban'jiu
坂口宪二,ban'kou'xian'er
棒球大联盟,bang'qiu'da'lian'meng
棒球英豪,bang'qiu'ying'hao
保阪,bao'ban
保村真,bao'cun'zhen
爆烈鼻毛真拳,bao'lie'bi'mao'zhen'quan
爆球,bao'qiu
宝生舞,bao'sheng'wu
宝石宠物,bao'shi'chong'wu
豹头王传说,bao'tou'wang'chuan'shuo
爆丸,bao'wan
爆旋陀螺,bao'xuan'tuo'luo
爆炸头武士,bao'zha'tou'wu'shi
保志总一朗,bao'zhi'zong'yi'lang
暴走猎人,bao'zou'lie'ren
暴走兄妹,bao'zou'xiong'mei
北川弘美,bei'chuan'hong'mei
北川景子,bei'chuan'jing'zi
北村一辉,bei'cun'yi'hui
北斗神拳拉奥外传天之霸,bei'dou'shen'quan'la'ao'wai'zhuan'tian'zhi'ba
背叛知道我的名字,bei'pan'zhi'dao'wo'de'ming'zi
被迫归来的分侦探,bei'po'gui'lai'de'fen'zhen'tan
背骑少女,bei'qi'shao'nv
北山宏光,bei'shan'hong'guang
笨笨姐弟,ben'ben'jie'di
笨笨森林日志,ben'ben'sen'lin'ri'zhi
本仮屋唯佳,ben'fan'wu'wei'jia
本木雅弘,ben'mu'ya'hong
奔向地球,ben'xiang'di'qiu
本乡奏多,ben'xiang'zou'duo
比嘉爱未,bi'jia'ai'wei
碧奇魂,bi'qi'hun
必杀仕事人,bi'sha'shi'shi'ren
彼氏彼女的故事,bi'shi'bi'nv'de'gu'shi
蝙蝠侠双人夹击,bian'fu'xia'shuang'ren'jia'ji
变身少年变身侦探,bian'shen'shao'nian'bian'shen'zhen'tan
变形金刚之头领战士,bian'xing'jin'gang'zhi'tou'ling'zhan'shi
滨崎步,bin'qi'bu
滨田良郎,bin'tian'liang'lang
滨田翔子,bin'tian'xiang'zi
冰上恋人,bing'shang'lian'ren
兵藤葵,bing'teng'kui
兵藤五月,bing'teng'wu'yue
波尔菲的漫长旅途,bo'er'fei'de'man'chang'lv'tu
伯爵与妖精,bo'jue'yu'yao'jing
玻璃假面,bo'li'jia'mian
玻璃面具,bo'li'mian'ju
薄樱鬼,bo'ying'gui
柏原崇,bo'yuan'chong
波子汽水,bo'zi'qi'shui
不公正抽签,bu'gong'zheng'chou'qian
不开心的基因,bu'kai'xin'de'ji'yin
不可思议的课堂,bu'ke'si'yi'de'ke'tang
不可思议猫森林,bu'ke'si'yi'mao'sen'lin
不可思议游戏,bu'ke'si'yi'you'xi
不良少年回母校,bu'liang'shao'nian'hui'mu'xiao
不能结婚的男人,bu'neng'jie'hun'de'nan'ren
布尼布尼,bu'ni'bu'ni
簿樱鬼,bu'ying'gui
菜菜子解体诊书,cai'cai'zi'jie'ti'zhen'shu
彩虹的浪漫,cai'hong'de'lang'man
彩虹满载,cai'hong'man'zai
彩云国物语,cai'yun'guo'wu'yu
苍井优,cang'jing'you
苍井优个谎言,cang'jing'you'ge'huang'yan
苍天航路,cang'tian'hang'lu
苍天之拳,cang'tian'zhi'quan
苍之流星,cang'zhi'liu'xing
苍之瞳的少女,cang'zhi'tong'de'shao'nv
草剪刚,cao'jian'gang
草彅刚,cao'jian'gang
草莓百分百,cao'mei'bai'fen'bai
草莓棉花糖,cao'mei'mian'hua'tang
草野博纪,cao'ye'bo'ji
侧耳倾听,ce'er'qing'ting
曾我萤娜,ceng'wo'ying'na
柴崎幸,chai'qi'xing
忏绝望先生,chan'jue'wang'xian'sheng
忏再见绝望先生,chan'zai'jian'jue'wang'xian'sheng
长谷川純,chang'gu'chuan'chun
长谷川纯,chang'gu'chuan'chun
长谷川京子,chang'gu'chuan'jing'zi
长今的梦,chang'jin'de'meng
长濑智也,chang'lai'zhi'ye
常盘贵子,chang'pan'gui'zi
长野博,chang'ye'bo
长泽雅美,chang'ze'ya'mei
长冢京三,chang'zhong'jing'san
超级机器人大战,chao'ji'ji'qi'ren'da'zhan
超级奶爸,chao'ji'nai'ba
超级英雄金刚狼钢铁侠,chao'ji'ying'xiong'jin'gang'lang'gang'tie'xia
超能力大战,chao'neng'li'da'zhan
超能奇兵,chao'neng'qi'bing
巢山尚治,chao'shan'shang'zhi
超时空要塞,chao'shi'kong'yao'sai
超时空要塞边界,chao'shi'kong'yao'sai'bian'jie
超寿兰,chao'shou'lan
潮与虎,chao'yu'hu
超智游戏,chao'zhi'you'xi
陈柏霖,chen'bo'lin
沉睡的森林,chen'shui'de'sen'lin
城岛茂,cheng'dao'mao
成宫宽贵,cheng'gong'kuan'gui
成海璃子,cheng'hai'li'zi
城市猎人,cheng'shi'lie'ren
城市猎人之海滩城市,cheng'shi'lie'ren'zhi'hai'tan'cheng'shi
成田剑,cheng'tian'jian
成田离婚,cheng'tian'li'hun
城田优,cheng'tian'you
成为王子的正确方法,cheng'wei'wang'zi'de'zheng'que'fang'fa
赤坂晃,chi'ban'huang
池袋西口公园,chi'dai'xi'kou'gong'yuan
池端慎之介,chi'duan'shen'zhi'jie
赤间直哉,chi'jian'zhi'zai
池田努,chi'tian'nu
池田铁洋,chi'tian'tie'yang
赤西,chi'xi
赤西仁,chi'xi'ren
赤小胖,chi'xiao'pang
池胁千鹤,chi'xie'qian'he
重返少年时,chong'fan'shao'nian'shi
铳墓,chong'mu
虫孽,chong'nie
虫师,chong'shi
冲田总司,chong'tian'zong'si
宠物情人,chong'wu'qing'ren
宠物小精灵神奇宝贝,chong'wu'xiao'jing'ling'shen'qi'bao'bei
冲一利,chong'yi'li
虫之歌,chong'zhi'ge
初瓣,chu'ban
初恋限定,chu'lian'xian'ding
初体验,chu'ti'yan
雏形明子,chu'xing'ming'zi
厨艺小天王,chu'yi'xiao'tian'wang
初音岛,chu'yin'dao
出租魔法使,chu'zu'mo'fa'shi
传颂之物,chuan'song'zhi'wu
穿越时空之壁,chuan'yue'shi'kong'zhi'bi
穿越宇宙的少女,chuan'yue'yu'zhou'de'shao'nv
川之光,chuan'zhi'guang
创圣大天使,chuang'sheng'da'tian'shi
创圣的大天使,chuang'sheng'de'da'tian'shi
纯爱物语,chun'ai'wu'yu
纯白相簿,chun'bai'xiang'bu
唇膏,chun'gao
纯情房东俏房客,chun'qing'fang'dong'qiao'fang'ke
赐让君女神的祝福,ci'rang'jun'nv'shen'de'zhu'fu
从天而降的三亿二千万,cong'tian'er'jiang'de'san'yi'er'qian'wan
从天而降一亿颗星,cong'tian'er'jiang'yi'yi'ke'xing
丛雨九十九,cong'yu'jiu'shi'jiu
丛雨十瑚,cong'yu'shi'hu
催眠,cui'mian
村川绘梨,cun'chuan'hui'li
村上信五,cun'shang'xin'wu
大奥,da'ao
大仓忠义,da'cang'zhong'yi
大川透,da'chuan'tou
大地翔,da'di'xiang
大耳朵图图,da'er'duo'tu'tu
大耳猴啊啦啦,da'er'hou'a'la'la
大公,da'gong
大和和纪,da'he'he'ji
大后寿寿花,da'hou'shou'shou'hua
打击天使,da'ji'tian'shi
大激突,da'ji'tu
大江户火箭,da'jiang'hu'huo'jian
大滝秀治,da'long'xiu'zhi
达露谢娜,da'lu'xie'na
达米亚,da'mi'ya
大魔法卡,da'mo'fa'ka
大浦龙宇一,da'pu'long'yu'yi
大桥望,da'qiao'wang
大泉洋,da'quan'yang
大杉涟,da'shan'lian
大兴奋,da'xing'fen
