阿宋生里,a'song'sheng'li
阿宋生围,a'song'sheng'wei
埃武拉街,ai'wu'la'jie
鹌鹑巷,an'chun'xiang
安仿西街,an'fang'xi'jie
安仿西巷,an'fang'xi'xiang
安乐街,an'le'jie
案树街,an'shu'jie
暗围,an'wei
奥林匹克大马路,ao'lin'pi'ke'da'ma'lu
奥林匹克游泳馆圆形地,ao'lin'pi'ke'you'yong'guan'yuan'xing'de
澳门博物馆前地,ao'men'bo'wu'guan'qian'de
澳门商业大马路,ao'men'shang'ye'da'ma'lu
巴波沙大马路,ba'bo'sha'da'ma'lu
巴波沙巷,ba'bo'sha'xiang
巴波沙总督街,ba'bo'sha'zong'du'jie
巴波沙总督前地,ba'bo'sha'zong'du'qian'de
巴冷登街,ba'leng'deng'jie
巴黎街,ba'li'jie
巴士度街,ba'shi'du'jie
巴素打尔古街,ba'su'da'er'gu'jie
巴掌围,ba'zhang'wei
巴掌围斜巷,ba'zhang'wei'xie'xiang
白鸽巢前地,bai'ge'chao'qian'de
摆华巷,bai'hua'xiang
白灰街,bai'hui'jie
白灰里,bai'hui'li
白灰围,bai'hui'wei
柏嘉街,bai'jia'jie
白兰街,bai'lan'jie
白朗古将军大马路,bai'lang'gu'jiang'jun'da'ma'lu
白朗古将军街,bai'lang'gu'jiang'jun'jie
栢林街,bai'lin'jie
白马行,bai'ma'hang
白头马路,bai'tou'ma'lu
白眼塘横街,bai'yan'tang'heng'jie
板堆里,ban'dui'li
板堆围,ban'dui'wei
板樟空地,ban'zhang'kong'di
板樟堂街,ban'zhang'tang'jie
板樟堂前地,ban'zhang'tang'qian'de
板樟堂围,ban'zhang'tang'wei
板樟堂巷,ban'zhang'tang'xiang
宝德街,bao'de'jie
鲍公马路,bao'gong'ma'lu
鲍公庙前地,bao'gong'miao'qian'de
鲍思高街,bao'si'gao'jie
鲍思高圆形地,bao'si'gao'yuan'xing'de
宝塔巷,bao'ta'xiang
北安大马路,bei'an'da'ma'lu
北安码头马路,bei'an'ma'tou'ma'lu
北安前地,bei'an'qian'de
北安圆形地,bei'an'yuan'xing'de
卑第围,bei'di'wei
卑第巷,bei'di'xiang
卑度路街,bei'du'lu'jie
北京街,bei'jing'jie
俾利喇街,bi'li'la'jie
比厘喇马忌士街,bi'li'la'ma'ji'shi'jie
俾利喇巷,bi'li'la'xiang
俾若翰街,bi'ruo'han'jie
庇山耶街,bi'shan'ye'jie
毕仕达大马路,bi'shi'da'da'ma'lu
兵房斜巷,bing'fang'xie'xiang
兵营斜路,bing'ying'xie'lu
兵营斜巷,bing'ying'xie'xiang
伯多禄局长街,bo'duo'lu'ju'zhang'jie
波尔图街,bo'er'tu'jie
跛脚梯,bo'jiao'ti
玻璃樽围,bo'li'zun'wei
卜围,bo'wei
布拉干萨街,bu'la'gan'sa'jie
布拉格街,bu'la'ge'jie
布鲁塞尔街,bu'lu'sai'er'jie
布巷,bu'xiang
蔡记里,cai'ji'li
菜园街,cai'yuan'jie
菜园路,cai'yuan'lu
菜园围,cai'yuan'wei
菜园巷,cai'yuan'xiang
菜园新街,cai'yuan'xin'jie
菜园涌北街,cai'yuan'yong'bei'jie
菜园涌边街,cai'yuan'yong'bian'jie
菜园涌边巷,cai'yuan'yong'bian'xiang
菜园涌街,cai'yuan'yong'jie
菜园涌巷,cai'yuan'yong'xiang
草地围,cao'di'wei
草堆横街,cao'dui'heng'jie
草堆横巷,cao'dui'heng'xiang
草堆街,cao'dui'jie
草蜢巷,cao'meng'xiang
草席围,cao'xi'wei
草席巷,cao'xi'xiang
叉巷,cha'xiang
柴船尾街,chai'chuan'wei'jie
长安街,chang'an'jie
常春滕围,chang'chun'teng'wei
长乐里,chang'le'li
长楼斜巷,chang'lou'xie'xiang
菖蒲围,chang'pu'wei
长崎街,chang'qi'jie
长寿大马路,chang'shou'da'ma'lu
潮州街,chao'zhou'jie
陈家里,chen'jia'li
陈家围,chen'jia'wei
陈乐街,chen'le'jie
陈乐里,chen'le'li
陈乐围,chen'le'wei
陈乐巷,chen'le'xiang
成都街,cheng'du'jie
城市日大马路,cheng'shi'ri'da'ma'lu
