氨纶,an'lun
凹凸罗拉,ao'tu'luo'la
拔染印花,ba'ran'yin'hua
白坯,bai'pi
白织,bai'zhi
薄纺,bao'fang
剥取辊,bao'qu'gun
蓖麻蚕丝,bi'ma'can'si
碧绉,bi'zhou
变形丝,bian'xing'si
变性羊毛,bian'xing'yang'mao
变则缎纹,bian'ze'duan'wen
并绞,bing'jiao
并卷机,bing'juan'ji
丙纶,bing'lun
并丝,bing'si
并条,bing'tiao
并条机,bing'tiao'ji
玻璃纤维,bo'li'xian'wei
菠萝叶纤维,bo'luo'ye'xian'wei
剥麻罗拉,bo'ma'luo'la
剥毛耙,bo'mao'ba
剥棉刀,bo'mian'dao
剥棉罗拉,bo'mian'luo'la
剥棉装置,bo'mian'zhuang'zhi
补纬,bu'wei
不匀率,bu'yun'lv
槽筒,cao'tong
差别化纤维,cha'bie'hua'xian'wei
车肚,che'du
尘棒,chen'bang
尘笼,chen'long
成卷机,cheng'juan'ji
称毛斗,cheng'mao'dou
成条机,cheng'tiao'ji
成条装置,cheng'tiao'zhuang'zhi
成纤高聚物,cheng'xian'gao'ju'wu
称重式喂毛机,cheng'zhong'shi'wei'mao'ji
绸类,chou'lei
樗蚕丝,chu'can'si
除草辊,chu'cao'gun
除尘棒,chu'chen'bang
除尘刀,chu'chen'dao
除杂效率,chu'za'xiao'lv
穿结经,chuan'jie'jing
穿经,chuan'jing
穿筘,chuan'kou
穿筘图,chuan'kou'tu
穿综,chuan'zong
穿综图,chuan'zong'tu
刺辊,ci'gun
疵毛棍,ci'mao'gun
粗纱,cu'sha
粗纱管,cu'sha'guan
粗纱机,cu'sha'ji
醋酯,cu'zhi
醋酯纤维,cu'zhi'xian'wei
搓板,cuo'ban
打草辊,da'cao'gun
大豆纤维,da'dou'xian'wei
大漏底,da'lou'di
大麻纤维,da'ma'xian'wei
打纬,da'wei
大轧辊,da'zha'gun
大宗纤维,da'zong'xian'wei
蛋白质纤维,dan'bai'zhi'xian'wei
单浸,dan'jin
旦尼尔数,dan'ni'er'shu
单压,dan'ya
挡车工,dang'che'gong
挡毛板,dang'mao'ban
倒断头,dao'duan'tou
道夫,dao'fu
导棉罗拉,dao'mian'luo'la
导纱钩,dao'sha'gou
导条架,dao'tiao'jia
灯芯绒,deng'xin'rong
涤纶,di'lun
涤棉,di'mian
底盘,di'pan
低弹网络丝,di'tan'wang'luo'si
电力纺,dian'li'fang
叠头,die'tou
定幅箱箱齿密度,ding'fu'xiang'xiang'chi'mi'du
定鼓式,ding'gu'shi
定捻,ding'nian
顶梳,ding'shu
锭轴,ding'zhou
动鼓式储纬器,dong'gu'shi'chu'wei'qi
动物纤维,dong'wu'xian'wei
缎类,duan'lei
缎纹,duan'wen
短纤纱,duan'xian'sha
多臂机,duo'bi'ji
多臂织机,duo'bi'zhi'ji
多层组织,duo'ceng'zu'zhi
多晶氧化物,duo'jing'yang'hua'wu
二重组织,er'chong'zu'zhi
纺类,fang'lei
方平组织,fang'ping'zu'zhi
防染印花,fang'ran'yin'hua
分离罗拉,fen'li'luo'la
分梳板,fen'shu'ban
分梳辊,fen'shu'gun
分梳罗拉,fen'shu'luo'la
分条整经,fen'tiao'zheng'jing
缝编,feng'bian
蜂巢组织,feng'chao'zu'zhi
浮长,fu'chang
复合斜纹,fu'he'xie'wen
辅经边,fu'jing'bian
富强纤维,fu'qiang'xian'wei
盖板,gai'ban
钢筘,gang'kou
高花,gao'hua
高速纺丝,gao'su'fang'si
高弹,gao'tan
高性能纤维,gao'xing'neng'xian'wei
高支高密大提花,gao'zhi'gao'mi'da'ti'hua
隔距,ge'ju
割条轴,ge'tiao'zhou
给棉,gei'mian
给棉板,gei'mian'ban
功能或智能纤维,gong'neng'huo'zhi'neng'xian'wei
供纬,gong'wei
公支,gong'zhi
工作罗拉,gong'zuo'luo'la
工作面,gong'zuo'mian
沟槽罗拉,gou'cao'luo'la
勾丝,gou'si
管纱,guan'sha
滚筒印花,gun'tong'yin'hua
果实纤维,guo'shi'xian'wei
海岛丝,hai'dao'si
含杂率,han'za'lv
豪猪打手,hao'zhu'da'shou
豪猪开棉机,hao'zhu'kai'mian'ji
合成纤维,he'cheng'xian'wei
和毛机,he'mao'ji
红麻,hong'ma
烘燥,hong'zao
后梁,hou'liang
