阿斗,a'dou
阿里,a'li
阿諛,a'yu
腌臢,a'za
矮几,ai'ji
矮幾輩,ai'ji'bei
矮幾尺,ai'ji'chi
矮幾寸,ai'ji'cun
矮幾分,ai'ji'fen
矮幾公尺,ai'ji'gong'chi
矮幾公分,ai'ji'gong'fen
矮幾乎,ai'ji'hu
矮幾截,ai'ji'jie
矮幾厘,ai'ji'li
矮幾米,ai'ji'mi
矮幾丈,ai'ji'zhang
愛屋及烏,ai'wu'ji'wu
愛慾,ai'yu
按編制,an'bian'zhi
廣佈,an'bu
暗鬥,an'dou
闇然,an'ran
闇弱,an'ruo
暗讚,an'zan
暗贊助,an'zan'zhu
廣徵,an'zheng
謷醜,ao'chou
敖遊,ao'you
翱遊,ao'you
遨遊,ao'you
懊鬱,ao'yu
熬製,ao'zhi
把才纔,ba'cai'cai
八斗,ba'dou
巴斗,ba'dou
笆斗,ba'dou
罷鬥,ba'dou
芭斗,ba'dou
巴爾幹,ba'er'gan
八海里,ba'hai'li
芭蕉,ba'jiao
八卷,ba'juan
八里,ba'li
巴里島,ba'li'dao
八里餘,ba'li'yu
巴人下里,ba'ren'xia'li
把他幹,ba'ta'gan
把她幹,ba'ta'gan
吧檯,ba'tai
把我幹,ba'wo'gan
霸佔,ba'zhan
八隻,ba'zhi
八字鬍,ba'zi'hu
白白發了,bai'bai'fa'le
白白發一,bai'bai'fa'yi
白白幹,bai'bai'gan
擺佈,bai'bu
擺盪,bai'dang
拜斗,bai'dou
百斗,bai'dou
百多隻,bai'duo'zhi
白髮,bai'fa
白發了筆,bai'fa'le'bi
白發了一,bai'fa'liao'yi
白幹的,bai'gan'de
白幹了,bai'gan'le
百海里,bai'hai'li
百卷,bai'juan
百來里,bai'lai'li
百老匯,bai'lao'hui
百里,bai'li
百兩,bai'liang
白面無鬚,bai'mian'mo'xu
擺明,bai'ming
拜託,bai'tuo
白皙,bai'xi
白象,bai'xiang
百姓於,bai'xing'yu
白鬚,bai'xu
百餘,bai'yu
百餘里,bai'yu'li
