阿顿,a'dun
阿蒙,a'meng
阿努比斯,a'nu'bi'si
阿匹斯,a'pi'si
阿吞,a'tun
艾德桥,ai'de'qiao
艾谢特,ai'xie'te
安穆凯,an'mu'kai
奥西里斯,ao'xi'li'si
贝斯,bei'si
贝斯特,bei'si'te
布塔,bu'ta
杜米特夫,du'mi'te'fu
给布,gei'bu
哈比,ha'bi
哈波奎特斯,ha'bo'kui'te'si
哈托尔,ha'tuo'er
海奎特,hai'kui'te
海鲁拉哈,hai'lu'la'ha
荷鲁斯,he'lu'si
凯布利,kai'bu'li
克奴姆,ke'nu'mu
孔苏,kong'su
奎本汉穆夫,kui'ben'han'mu'fu
奎特,kui'te
马特,ma'te
迈荷贝特,mai'he'bei'te
姆特,mu'te
奈芙提斯,nai'fu'ti'si
奈夫图,nai'fu'tu
奈斯,nai'si
奴特,nu'te
塞克,sai'ke
塞克荷迈特,sai'ke'he'mai'te
塞拉匹斯,sai'la'pi'si
塞勒凯特,sai'le'kai'te
赛特,sai'te
沙提,sha'ti
索贝克,suo'bei'ke
索提斯,suo'ti'si
泰夫姆特,tai'fu'mu'te
图特,tu'te
托荷艾瑞斯,tuo'he'ai'rui'si
托特,tuo'te
亚图姆,ya'tu'mu
伊姆贺特普,yi'mu'he'te'pu
伊西斯,yi'xi'si
