八字,ba'zi
八字官星太多,ba'zi'guan'xing'tai'duo
八字无比劫,ba'zi'wu'bi'jie
八字无官星,ba'zi'wu'guan'xing
八字有比劫,ba'zi'you'bi'jie
八字有官星,ba'zi'you'guan'xing
白虎,bai'hu
白虎持势,bai'hu'chi'shi
白腊金,bai'la'jin
背禄逐马,bei'lu'zhu'ma
比肩劫财与地支,bi'jian'jie'cai'yu'di'zhi
比肩劫财与天干,bi'jian'jie'cai'yu'tian'gan
比劫,bi'jie
比劫帮身,bi'jie'bang'shen
比劫夺财,bi'jie'duo'cai
比劫克财,bi'jie'ke'cai
壁上土,bi'shang'tu
遍野桃花,bian'ye'tao'hua
丙辰,bing'chen
丙申,bing'shen
丙午,bing'wu
丙戌,bing'xu
丙寅,bing'yin
丙子,bing'zi
财多身弱,cai'duo'shen'ruo
财官双美,cai'guan'shuang'mei
财临墓库,cai'lin'mu'ku
财神结党,cai'shen'jie'dang
财旺生官,cai'wang'sheng'guan
财星,cai'xing
财星坏印,cai'xing'huai'yin
钗钏金,chai'chuan'jin
常流水,chang'liu'shui
朝元禄,chao'yuan'lu
城墙土,cheng'qiang'tu
冲合禄马,chong'he'lu'ma
冲太岁,chong'tai'sui
丑遥巳禄,chou'yao'si'lu
从财格,cong'cai'ge
从儿格,cong'er'ge
从革格,cong'ge'ge
从杀格,cong'sha'ge
大海水,da'hai'shui
大耗,da'hao
大林木,da'lin'mu
大溪水,da'xi'shui
大驿土,da'yi'tu
倒插桃花,dao'cha'tao'hua
登明足艳,deng'ming'zu'yan
地支,di'zhi
地支连茹,di'zhi'lian'ru
丁丑,ding'chou
丁亥,ding'hai
丁卯,ding'mao
丁巳,ding'si
丁未,ding'wei
丁酉,ding'you
洞下水,dong'xia'shui
犯太岁,fan'tai'sui
飞财,fei'cai
飞天禄马,fei'tian'lu'ma
佛灯火,fo'deng'huo
福德秀气格,fu'de'xiu'qi'ge
伏象,fu'xiang
伏吟返吟,fu'yin'fan'yin
干辰一字,gan'chen'yi'zi
赶禄拦马,gan'lu'lan'ma
干支合禄,gan'zhi'he'lu
庚辰,geng'chen
庚申,geng'shen
庚午,geng'wu
庚戌,geng'xu
庚寅,geng'yin
庚子,geng'zi
拱禄拱贵,gong'lu'gong'gui
勾陈得位,gou'chen'de'wei
孤官无辅,gu'guan'wu'fu
官变为鬼,guan'bian'wei'gui
官鬼,guan'gui
官杀混杂,guan'sha'hun'za
官星,guan'xing
官星暗伤,guan'xing'an'shang
官星带刃,guan'xing'dai'ren
官星逢合,guan'xing'feng'he
官星入墓,guan'xing'ru'mu
官星桃花,guan'xing'tao'hua
官星卫财,guan'xing'wei'cai
官星与地支,guan'xing'yu'di'zhi
官星遇劫,guan'xing'yu'jie
官星与天干,guan'xing'yu'tian'gan
官印相生或杀印相生,guan'yin'xiang'sheng'huo'sha'yin'xiang'sheng
官坐刃头,guan'zuo'ren'tou
癸丑,gui'chou
癸亥,gui'hai
癸卯,gui'mao
癸巳,gui'si
癸未,gui'wei
癸酉,gui'you
滚浪桃花,gun'lang'tao'hua
海中金,hai'zhong'jin
合禄格,he'lu'ge
合杀留官,he'sha'liu'guan
红鸾,hong'luan
互换贵禄,hu'huan'gui'lu
虎牛奔巳,hu'niu'ben'si
虎午奔巳,hu'wu'ben'si
化气格,hua'qi'ge
火空,huo'kong
己丑,ji'chou
己亥,ji'hai
己卯,ji'mao
己巳,ji'si
己未,ji'wei
己酉,ji'you
甲辰,jia'chen
稼穑格,jia'se'ge
假伤官,jia'shang'guan
甲申,jia'shen
甲午,jia'wu
甲戌,jia'xu
甲寅,jia'yin
甲子,jia'zi
剑锋金,jian'feng'jin
荐枕星,jian'zhen'xing
金白水清,jin'bai'shui'qing
金箔金,jin'bo'jin
金空,jin'kong
金木间隔,jin'mu'jian'ge
金神格,jin'shen'ge
井栏叉格,jing'lan'cha'ge
空亡,kong'wang
库禄,ku'lu
两干不杂,liang'gan'bu'za
两神成象,liang'shen'cheng'xiang
六甲趋乾,liu'jia'qu'qian
六壬趋艮,liu'ren'qu'gen
六乙鼠贵,liu'yi'shu'gui
六阴朝阳,liu'yin'zhao'yang
龙吟虎啸,long'yin'hu'xiao
禄马同乡,lu'ma'tong'xiang
路旁土,lu'pang'tu
禄头财,lu'tou'cai
炉中火,lu'zhong'huo
裸形桃花,luo'xing'tao'hua
马奔财乡,ma'ben'cai'xiang
马头带剑,ma'tou'dai'jian
墨池涌泉,mo'chi'yong'quan
木火交辉,mu'huo'jiao'hui
木空,mu'kong
年上比劫,nian'shang'bi'jie
年上偏财,nian'shang'pian'cai
年上偏官,nian'shang'pian'guan
年上偏印,nian'shang'pian'yin
年上七煞,nian'shang'qi'sha
年上伤官,nian'shang'shang'guan
年上食神,nian'shang'shi'shen
年上正财,nian'shang'zheng'cai
年上正官,nian'shang'zheng'guan
年上正印,nian'shang'zheng'yin
霹雷火,pi'lei'huo
偏财,pian'cai
偏官,pian'guan
偏印夺食,pian'yin'duo'shi
平地木,ping'di'mu
破禄,po'lu
弃命从杀,qi'ming'cong'sha
墙内桃花,qiang'nei'tao'hua
墙外桃花,qiang'wai'tao'hua
倾国倾城,qing'guo'qing'cheng
曲直格,qu'zhi'ge
泉中水,quan'zhong'shui
壬辰,ren'chen
壬骑龙背,ren'qi'long'bei
壬申,ren'shen
壬午,ren'wu
壬戌,ren'xu
壬寅,ren'yin
壬子,ren'zi
日藏偏财,ri'cang'pian'cai
日带比劫,ri'dai'bi'jie
日带伤官,ri'dai'shang'guan
日带食神,ri'dai'shi'shen
日带正财,ri'dai'zheng'cai
日带正官,ri'dai'zheng'guan
日带正印,ri'dai'zheng'yin
日德格,ri'de'ge
日犯岁君,ri'fan'sui'jun
日贵格,ri'gui'ge
日禄归时,ri'lu'gui'shi
日刃格,ri'ren'ge
日上偏印,ri'shang'pian'yin
日元丙丁火,ri'yuan'bing'ding'huo
日元庚辛金,ri'yuan'geng'xin'jin
日元甲乙木,ri'yuan'jia'yi'mu
日元壬癸水,ri'yuan'ren'gui'shui
日元戊己土,ri'yuan'wu'ji'tu
日主桃花,ri'zhu'tao'hua
日坐独煞,ri'zuo'du'sha
日坐伤官,ri'zuo'shang'guan
润下格,run'xia'ge
丧门,sang'men
桑松木,sang'song'mu
沙中金,sha'zhong'jin
沙中土,sha'zhong'tu
山头火,shan'tou'huo
山下火,shan'xia'huo
伤官,shang'guan
伤官见官,shang'guan'jian'guan
伤官佩印,shang'guan'pei'yin
伤官入墓,shang'guan'ru'mu
伤官伤尽,shang'guan'shang'jin
伤官桃花,shang'guan'tao'hua
伤官用财,shang'guan'yong'cai
伤食泄秀,shang'shi'xie'xiu
身杀二停,shen'sha'er'ting
时带比劫,shi'dai'bi'jie
时带偏印,shi'dai'pian'yin
时带伤官,shi'dai'shang'guan
