饱和土,bao'he'tu
沉管法,chen'guan'fa
次生结构面,ci'sheng'jie'gou'mian
单轴,dan'zhou
地层结构法,di'ceng'jie'gou'fa
低围压,di'wei'ya
二次衬砌,er'ci'chen'qi
法向,fa'xiang
法向位移,fa'xiang'wei'yi
法向应力,fa'xiang'ying'li
反力,fan'li
非饱和土,fei'bao'he'tu
复合式衬砌,fu'he'shi'chen'qi
干坞,gan'wu
格里菲斯强度准则,ge'li'fei'si'qiang'du'zhun'ze
格里菲斯准则,ge'li'fei'si'zhun'ze
荷载结构,he'zai'jie'gou
荷载结构法,he'zai'jie'gou'fa
结构面,jie'gou'mian
节理化,jie'li'hua
节理化程度,jie'li'hua'cheng'du
截面设计,jie'mian'she'ji
拉剪,la'jian
拉剪破坏,la'jian'po'huai
莫尔库伦准则,mo'er'ku'lun'zhun'ze
排水盲管,pai'shui'mang'guan
强度准则,qiang'du'zhun'ze
蠕变,ru'bian
三轴压缩,san'zhou'ya'suo
试件,shi'jian
隧道结构,sui'dao'jie'gou
围压,wei'ya
围岩稳定性,wei'yan'wen'ding'xing
压剪,ya'jian
压剪破坏,ya'jian'po'huai
岩块,yan'kuai
岩体分级标准,yan'ti'fen'ji'biao'zhun
应力松弛,ying'li'song'chi
有限元分析法,you'xian'yuan'fen'xi'fa
原生结构面,yuan'sheng'jie'gou'mian
注浆法,zhu'jiang'fa
自承,zi'cheng
自承能力,zi'cheng'neng'li
钻爆法,zuan'bao'fa
