北海虽赊,bei'hai'sui'she
宾主尽东南之美,bin'zhu'jin'dong'nan'zhi'mei
勃三尺微命,bo'san'chi'wei'ming
不坠青云之志,bu'zhui'qing'yun'zhi'zhi
彩彻区明,cai'che'qu'ming
层峦耸翠,ceng'luan'song'cui
襜帷暂驻,chan'wei'zan'zhu
处涸辙而犹欢,chu'he'zhe'er'you'huan
川泽纡其骇瞩,chuan'ze'yu'qi'hai'zhu
窜梁鸿于海曲,cuan'liang'hong'yu'hai'qu
达人知命,da'ren'zhi'ming
叨陪鲤对,dao'pei'li'dui
得仙人之旧馆,de'xian'ren'zhi'jiu'guan
登高作赋,deng'gao'zuo'fu
等终军之弱冠,deng'zhong'jun'zhi'ruo'guan
地接衡庐,di'jie'heng'lu
地势极而南溟深,di'shi'ji'er'nan'ming'shen
东隅已逝,dong'yu'yi'shi
都督阎公之雅望,du'du'yan'gong'zhi'ya'wang
二难并,er'nan'bing
访风景于崇阿,fang'feng'jing'yu'chong'a
飞阁流丹,fei'ge'liu'dan
非无圣主,fei'wu'sheng'zhu
非谢家之宝树,fei'xie'jia'zhi'bao'shu
奉晨昏于万里,feng'chen'hun'yu'wan'li
冯唐易老,feng'tang'yi'lao
奉宣室以何年,feng'xuan'shi'yi'he'nian
俯雕甍,fu'diao'meng
抚凌云而自惜,fu'ling'yun'er'zi'xi
扶摇可接,fu'yao'ke'jie
敢竭鄙怀,gan'jie'bi'huai
高朋满座,gao'peng'man'zuo
舸舰迷津,ge'jian'mi'jin
各倾陆海云尔,ge'qing'lu'hai'yun'er
阁中帝子今何在,ge'zhong'di'zi'jin'he'zai
躬逢胜饯,gong'feng'sheng'jian
恭疏短引,gong'shu'duan'yin
关山难越,guan'shan'nan'yue
光照临川之笔,guang'zhao'lin'chuan'zhi'bi
桂殿兰宫,gui'dian'lan'gong
鹤汀凫渚,he'ting'fu'zhu
洪都新府,hong'du'xin'fu
虹销雨霁,hong'xiao'yu'ji
画栋朝飞南浦云,hua'dong'chao'fei'nan'pu'yun
怀帝阍而不见,huai'di'hun'er'bu'jian
隍枕夷夏之交,huang'zhen'yi'xia'zhi'jiao
极娱游于暇日,ji'yu'you'yu'xia'ri
家君作宰,jia'jun'zuo'zai
嗟乎,jie'hu
接孟氏之芳邻,jie'meng'shi'zhi'fang'lin
襟三江而带五湖,jin'san'jiang'er'dai'wu'hu
尽是他乡之客,jin'shi'ta'xiang'zhi'ke
今兹捧袂,jin'zi'peng'mei
觉宇宙之无穷,jue'yu'zhou'zhi'wu'qiong
俊彩星驰,jun'cai'xing'chi
槛外长江空自流,kan'wai'chang'jiang'kong'zi'liu
控蛮荆而引瓯越,kong'man'jing'er'yin'ou'yue
空余报国之情,kong'yu'bao'guo'zhi'qing
兰亭已矣,lan'ting'yi'yi
老当益壮,lao'dang'yi'zhuang
李广难封,li'guang'nan'feng
潦水尽而寒潭清,liao'shui'jin'er'han'tan'qing
列冈峦之体势,lie'gang'luan'zhi'ti'shi
临别赠言,lin'bie'zeng'yan
临帝子之长洲,lin'di'zi'zhi'chang'zhou
龙光射牛斗之墟,long'guang'she'niu'dou'zhi'xu
路出名区,lu'chu'ming'qu
落霞与孤鹜齐飞,luo'xia'yu'gu'wu'qi'fei
闾阎扑地,lv'yan'pu'di
孟尝高洁,meng'chang'gao'jie
孟学士之词宗,meng'xue'shi'zhi'ci'zong
命途多舛,ming'tu'duo'chuan
目吴会于云间,mu'wu'hui'yu'yun'jian
慕宗悫之长风,mu'zong'que'zhi'chang'feng
宁移白首之心,ning'yi'bai'shou'zhi'xin
佩玉鸣鸾罢歌舞,pei'yu'ming'luan'ba'ge'wu
披绣闼,pi'xiu'ta
萍水相逢,ping'shui'xiang'feng
岂乏明时,qi'fa'ming'shi
气凌彭泽之樽,qi'ling'peng'ze'zhi'zun
岂效穷途之哭,qi'xiao'qiong'tu'zhi'ku
千里逢迎,qian'li'feng'ying
綮戟遥临,qing'ji'yao'lin
青雀黄龙之舳,qing'que'huang'long'zhi'zhu
请洒潘江,qing'sa'pan'jiang
穷岛屿之萦回,qiong'dao'yu'zhi'ying'hui
穷睇眄于中天,qiong'di'mian'yu'zhong'tian
穷且益坚,qiong'qie'yi'jian
秋水共长天一色,qiu'shui'gong'chang'tian'yi'se
屈贾谊于长沙,qu'jia'yi'yu'chang'sha
人杰地灵,ren'jie'di'ling
阮籍猖狂,ruan'ji'chang'kuang
桑榆非晚,sang'yu'fei'wan
山原旷其盈视,shan'yuan'kuang'qi'ying'shi
上出重霄,shang'chu'chong'xiao
舍簪笏于百龄,she'zan'hu'yu'bai'ling
胜地不常,sheng'di'bu'chang
声断衡阳之浦,sheng'duan'heng'yang'zhi'pu
盛筵难再,sheng'yan'nan'zai
胜友如云,sheng'you'ru'yun
是所望于群公,shi'suo'wang'yu'qun'gong
时维九月,shi'wei'jiu'yue
十旬休暇,shi'xun'xiu'xia
识盈虚之有数,shi'ying'xu'zhi'you'shu
时运不齐,shi'yun'bu'qi
爽籁发而清风生,shuang'lai'fa'er'qing'feng'sheng
谁悲失路之人,shui'bei'shi'lu'zhi'ren
四美具,si'mei'ju
四韵俱成,si'yun'ju'cheng
睢园绿竹,sui'yuan'lv'zhu
所赖君子见机,suo'lai'jun'zi'jian'ji
他日趋庭,ta'ri'qu'ting
腾蛟起凤,teng'jiao'qi'feng
滕王高阁临江渚,teng'wang'gao'ge'lin'jiang'zhu
滕王阁序,teng'wang'ge'xu
天高地迥,tian'gao'di'jiong
天柱高而北辰远,tian'zhu'gao'er'bei'chen'yuan
童子何知,tong'zi'he'zhi
望长安于日下,wang'chang'an'yu'ri'xia
王将军之武库,wang'jiang'jun'zhi'wu'ku
呜呼,wu'hu
物华天宝,wu'hua'tian'bao
物换星移几度秋,wu'huan'xing'yi'ji'du'qiu
无路请缨,wu'lu'qing'ying
喜托龙门,xi'tuo'long'men
下临无地,xia'lin'wu'di
纤歌凝而白云遏,xian'ge'ning'er'bai'yun'e
闲云潭影日悠悠,xian'yun'tan'ying'ri'you'you
响穷彭蠡之滨,xiang'qiong'peng'li'zhi'bin
幸承恩于伟饯,xing'cheng'en'yu'wei'jian
星分翼轸,xing'fen'yi'zhen
兴尽悲来,xing'jin'bei'lai
雄州雾列,xiong'zhou'wu'lie
徐孺下陈蕃之榻,xu'ru'xia'chen'fan'zhi'ta
序属三秋,xu'shu'san'qiu
俨骖騑于上路,yan'can'fei'yu'shang'lu
烟光凝而暮山紫,yan'guang'ning'er'mu'shan'zi
雁阵惊寒,yan'zhen'jing'han
杨意不逢,yang'yi'bu'feng
遥襟甫畅,yao'jin'fu'chang
邺水朱华,ye'shui'zhu'hua
一介书生,yi'jie'shu'sheng
逸兴遄飞,yi'xing'chuan'fei
一言均赋,yi'yan'jun'fu
有怀投笔,you'huai'tou'bi
宇文新州之懿范,yu'wen'xin'zhou'zhi'yi'fan
豫章故郡,yu'zhang'gu'jun
渔舟唱晚,yu'zhou'chang'wan
钟鸣鼎食之家,zhong'ming'ding'shi'zhi'jia
锺期既遇,zhong'qi'ji'yu
珠帘暮卷西山雨,zhu'lian'mu'juan'xi'shan'yu
酌贪泉而觉爽,zhuo'tan'quan'er'jue'shuang
紫电青霜,zi'dian'qing'shuang
梓泽丘墟,zi'ze'qiu'xu
