摆线,bai'xian
哥白尼摆线,ge'bai'ni'bai'xian
江西省乐平市第二中学,jiang'xi'sheng'le'ping'shi'di'er'zhong'xue
卡丹转盘,ka'dan'zhuan'pan
开普勒特殊摆线,kai'pu'le'te'shu'bai'xian
开普勒椭圆是特殊摆线,kai'pu'le'tuo'yuan'shi'te'shu'bai'xian
乐平退休教师郑炳南,le'ping'tui'xiu'jiao'shi'zheng'bing'nan
螺旋,luo'xuan
牛顿质心说摆线,niu'dun'zhi'xin'shuo'bai'xian
双螺旋,shuang'luo'xuan
双螺旋摆线,shuang'luo'xuan'bai'xian
托勒密,tuo'le'mi
托勒密摆线,tuo'le'mi'bai'xian
椭圆是特殊的内摆线,tuo'yuan'shi'te'shu'de'nei'bai'xian
郑炳南,zheng'bing'nan
质心说,zhi'xin'shuo
