白带,bai'dai
白黄带,bai'huang'dai
摆踢,bai'ti
百折不屈,bai'zhe'bu'qu
背身整理道服,bei'shen'zheng'li'dao'fu
侧滑步,ce'hua'bu
侧踢,ce'ti
侧移步,ce'yi'bu
撤步,che'bu
重根,chong'gen
大方靶,da'fang'ba
旦君,dan'jun
道场,dao'chang
道山,dao'shan
道通天下,dao'tong'tian'xia
道主,dao'zhu
地跆,di'tai
电子护具,dian'zi'hu'ju
反横踢,fan'heng'ti
反抡踢,fan'lun'ti
反面技法,fan'mian'ji'fa
反手俯卧撑,fan'shou'fu'wo'cheng
俯卧撑击掌,fu'wo'cheng'ji'zhang
高丽,gao'li
高位格档接侧步直拳,gao'wei'ge'dang'jie'ce'bu'zhi'quan
高位横踢,gao'wei'heng'ti
格挡,ge'dang
挂踢,gua'ti
贯手,guan'shou
国际跆拳道联盟,guo'ji'tai'quan'dao'lian'meng
国际跆拳道联盟考核制度标准,guo'ji'tai'quan'dao'lian'meng'kao'he'zhi'du'biao'zhun
国技院,guo'ji'yuan
汉水,han'shui
汉武馆,han'wu'guan
黑带,hei'dai
黑带八段,hei'dai'ba'duan
黑带二段,hei'dai'er'duan
黑带九段,hei'dai'jiu'duan
黑带六段,hei'dai'liu'duan
黑带七段,hei'dai'qi'duan
黑带三段,hei'dai'san'duan
黑带十段,hei'dai'shi'duan
黑带四段,hei'dai'si'duan
黑带五段,hei'dai'wu'duan
黑带一段,hei'dai'yi'duan
横叉,heng'cha
横踢,heng'ti
横踢脚靶,heng'ti'jiao'ba
横踢接双飞接后踢,heng'ti'jie'shuang'fei'jie'hou'ti
红带,hong'dai
红黑带,hong'hei'dai
洪镇宗,hong'zhen'zong
后方单手抓,hou'fang'dan'shou'zhua
后方肩部抓,hou'fang'jian'bu'zhua
后方两手抓,hou'fang'liang'shou'zhua
后弓步,hou'gong'bu
后滑步,hou'hua'bu
后交叉步,hou'jiao'cha'bu
后踢,hou'ti
后踢脚靶,hou'ti'jiao'ba
后腿横踢,hou'tui'heng'ti
后腿横踢接高位横踢,hou'tui'heng'ti'jie'gao'wei'heng'ti
后腿横踢接后交叉上步侧踢,hou'tui'heng'ti'jie'hou'jiao'cha'shang'bu'ce'ti
后腿横踢接后踢,hou'tui'heng'ti'jie'hou'ti
后腿横踢接双飞踢,hou'tui'heng'ti'jie'shuang'fei'ti
后腿横踢接旋风踢,hou'tui'heng'ti'jie'xuan'feng'ti
后腿横踢接旋风踢接后摆腿,hou'tui'heng'ti'jie'xuan'feng'ti'jie'hou'bai'tui
后腿后踢接后腿下劈,hou'tui'hou'ti'jie'hou'tui'xia'pi
后腿前踢接前腿前踢,hou'tui'qian'ti'jie'qian'tui'qian'ti
后旋踢,hou'xuan'ti
护身倒法,hu'shen'dao'fa
滑步前腿推踢接后腿横踢脚靶,hua'bu'qian'tui'tui'ti'jie'hou'tui'heng'ti'jiao'ba
滑步前腿推踢接后腿后踢脚靶,hua'bu'qian'tui'tui'ti'jie'hou'tui'hou'ti'jiao'ba
滑步前腿推踢接下劈,hua'bu'qian'tui'tui'ti'jie'xia'pi
换步,huan'bu
黄带,huang'dai
黄绿带,huang'lv'dai
基本动作,ji'ben'dong'zuo
级位,ji'wei
肩部抓正面打,jian'bu'zhua'zheng'mian'da
讲德院,jiang'de'yuan
脚步动作准备,jiao'bu'dong'zuo'zhun'bei
抗击打,kang'ji'da
快速右提膝腿,kuai'su'you'ti'xi'tui
快速左提膝腿,kuai'su'zuo'ti'xi'tui
快速左右提膝腿,kuai'su'zuo'you'ti'xi'tui
昆明跆拳道协会,kun'ming'tai'quan'dao'xie'hui
蓝带,lan'dai
蓝红带,lan'hong'dai
李承琓,li'cheng'wan
栗谷,li'gu
李龙雨,li'long'yu
立卧撑跳,li'wo'cheng'tiao
两头起,liang'tou'qi
两腿交换竖叉,liang'tui'jiao'huan'shu'cha
抡踢,lun'ti
罗凯耀,luo'kai'yao
绿带,lv'dai
绿蓝带,lv'lan'dai
马步桩冲拳,ma'bu'zhuang'chong'quan
内格挡,nei'ge'dang
品式,pin'shi
平原,ping'yuan
前摆腿,qian'bai'tui
前摆腿击脚靶,qian'bai'tui'ji'jiao'ba
前弓步,qian'gong'bu
前滑步,qian'hua'bu
前交叉步,qian'jiao'cha'bu
前脚反勾踢,qian'jiao'fan'gou'ti
前上踢,qian'shang'ti
前踢,qian'ti
前踢脚靶,qian'ti'jiao'ba
前腿横踢,qian'tui'heng'ti
前腿横踢接下劈接后踢,qian'tui'heng'ti'jie'xia'pi'jie'hou'ti
前腿下劈,qian'tui'xia'pi
前跃步,qian'yue'bu
拳卧撑,quan'wo'cheng
忍耐克己,ren'nai'ke'ji
三次上段攻防技术,san'ci'shang'duan'gong'fang'ji'shu
三次中段攻防技术,san'ci'zhong'duan'gong'fang'ji'shu
三飞击靶,san'fei'ji'ba
三飞踢接后摆腿,san'fei'ti'jie'hou'bai'tui
三飞腿,san'fei'tui
上格挡,shang'ge'dang
世界跆拳道联盟,shi'jie'tai'quan'dao'lian'meng
十进,shi'jin
手刀内格挡,shou'dao'nei'ge'dang
手刀内格接撞肘对拆,shou'dao'nei'ge'jie'zhuang'zhou'dui'chai
手刀外格挡,shou'dao'wai'ge'dang
手刀一块砖,shou'dao'yi'kuai'zhuan
双飞接后摆踢,shuang'fei'jie'hou'bai'ti
双飞腿,shuang'fei'tui
双手侧翻,shuang'shou'ce'fan
双腿连续转身高位横踢脚靶,shuang'tui'lian'xu'zhuan'shen'gao'wei'heng'ti'jiao'ba
双腿腾空向前双拍脚接分腿拍脚,shuang'tui'teng'kong'xiang'qian'shuang'pai'jiao'jie'fen'tui'pai'jiao
双腿腾空左右分腿拍脚,shuang'tui'teng'kong'zuo'you'fen'tui'pai'jiao
四面格挡,si'mian'ge'dang
四面攻击,si'mian'gong'ji
太白,tai'bai
太极八章,tai'ji'ba'zhang
太极二章,tai'ji'er'zhang
太极六章,tai'ji'liu'zhang
太极七章,tai'ji'qi'zhang
太极三章,tai'ji'san'zhang
太极四章,tai'ji'si'zhang
太极五章,tai'ji'wu'zhang
太极一章,tai'ji'yi'zhang
跆拳道精神,tai'quan'dao'jing'shen
跆拳舞,tai'quan'wu
套路,tao'lu
套腿法对拆,tao'tui'fa'dui'chai
特技木板,te'ji'mu'ban
腾空侧踢,teng'kong'ce'ti
腾空侧踢飞人,teng'kong'ce'ti'fei'ren
腾空反抡踢,teng'kong'fan'lun'ti
腾空横踢,teng'kong'heng'ti
腾空后踢,teng'kong'hou'ti
腾空后旋,teng'kong'hou'xuan
腾空抡踢,teng'kong'lun'ti
腾空上踢,teng'kong'shang'ti
天拳,tian'quan
跳换步,tiao'huan'bu
跳劈脚靶,tiao'pi'jiao'ba
腿法,tui'fa
推踢接前摆腿,tui'ti'jie'qian'bai'tui
外格挡,wai'ge'dang
吾道馆,wu'dao'guan
武德馆,wu'de'guan
系道带,xi'dao'dai
下格挡,xia'ge'dang
下劈,xia'pi
下劈腿,xia'pi'tui
下踢,xia'ti
向国旗敬礼,xiang'guo'qi'jing'li
斜上踢,xie'shang'ti
行礼,xing'li
旋风踢,xuan'feng'ti
旋风腿,xuan'feng'tui
右站势,you'zhan'shi
原地侧踢,yuan'di'ce'ti
原地正踢,yuan'di'zheng'ti
元晓,yuan'xiao
彰武馆,zhang'wu'guan
正面技法,zheng'mian'ji'fa
正手俯卧撑,zheng'shou'fu'wo'cheng
正站势,zheng'zhan'shi
智道馆,zhi'dao'guan
直拳击靶,zhi'quan'ji'ba
指卧撑,zhi'wo'cheng
中段手刀外展格档对拆,zhong'duan'shou'dao'wai'zhan'ge'dang'dui'chai
中国跆拳道协会,zhong'guo'tai'quan'dao'xie'hui
中国武术,zhong'guo'wu'shu
转身,zhuan'shen
转身步,zhuan'shen'bu
转身侧踢,zhuan'shen'ce'ti
转身挂踢,zhuan'shen'gua'ti
转身横踢,zhuan'shen'heng'ti
转身后踢,zhuan'shen'hou'ti
转身抡踢,zhuan'shen'lun'ti
自卫术,zi'wei'shu
尊师重道,zun'shi'zhong'dao
左站势,zuo'zhan'shi
