阿福发型,a'fu'fa'xing
爱莉丝,ai'li'si
霸气套装,ba'qi'tao'zhuang
板房,ban'fang
板裤,ban'ku
暴走战士发型,bao'zou'zhan'shi'fa'xing
背后换手运球,bei'hou'huan'shou'yun'qiu
背后运球,bei'hou'yun'qiu
背身灌篮,bei'shen'guan'lan
边线突破,bian'xian'tu'po
冰城沸点,bing'cheng'fei'dian
补篮,bu'lan
侧身灌篮,ce'shen'guan'lan
长传,chang'chuan
敞襟运动套装,chang'jin'yun'dong'tao'zhuang
长袖近身衣,chang'xiu'jin'shen'yi
抄截,chao'jie
潮女套装,chao'nv'tao'zhuang
冲板,chong'ban
充值送积分,chong'zhi'song'ji'fen
传球,chuan'qiu
穿人上篮,chuan'ren'shang'lan
纯真年代,chun'zhen'nian'dai
次数道具,ci'shu'dao'ju
打板进框,da'ban'jin'kuang
打板入筐,da'ban'ru'kuang
大操场,da'cao'chang
大风车,da'feng'che
大力灌篮,da'li'guan'lan
大联盟,da'lian'meng
大梦,da'meng
大梦脚步,da'meng'jiao'bu
大前锋,da'qian'feng
打三分,da'san'fen
带球上篮,dai'qiu'shang'lan
单手大力补扣,dan'shou'da'li'bu'kou
单手扣篮,dan'shou'kou'lan
单手上篮,dan'shou'shang'lan
单手投篮,dan'shou'tou'lan
单手虚扣,dan'shou'xu'kou
单挑,dan'tiao
挡拆,dang'chai
倒地扑球,dao'di'pu'qiu
倒底扑球,dao'di'pu'qiu
道具仓库,dao'ju'cang'ku
道具设计大赛,dao'ju'she'ji'da'sai
倒手背身灌篮,dao'shou'bei'shen'guan'lan
得分后卫,de'fen'hou'wei
登陆送红包,deng'lu'song'hong'bao
第八代篮球鞋,di'ba'dai'lan'qiu'xie
掉球,diao'qiu
定点三分,ding'dian'san'fen
定点投篮,ding'dian'tou'lan
盯人防守,ding'ren'fang'shou
斗牛圣地,dou'niu'sheng'di
断裤,duan'ku
法兰绒裤子,fa'lan'rong'ku'zi
反板,fan'ban
反跑,fan'pao
防守篮板,fang'shou'lan'ban
防守意识,fang'shou'yi'shi
飞跃秦关,fei'yue'qin'guan
分球,fen'qiu
风车式灌篮,feng'che'shi'guan'lan
凤凰涅槃,feng'huang'nie'pan
蜂窝护耳帽,feng'wo'hu'er'mao
负角度暴扣,fu'jiao'du'bao'kou
弗朗西斯,fu'lang'xi'si
盖火锅儿,gai'huo'guo'er
盖帽,gai'mao
改名道具,gai'ming'dao'ju
高板,gao'ban
钩手,gou'shou
勾手,gou'shou
勾手传球,gou'shou'chuan'qiu
勾手投篮,gou'shou'tou'lan
灌篮,guan'lan
滚地扑球,gun'di'pu'qiu
黑色闪电,hei'se'shan'dian
黑色套装,hei'se'tao'zhuang
黑色羽翼,hei'se'yu'yi
后撤步,hou'che'bu
后撤式投篮,hou'che'shi'tou'lan
后仰,hou'yang
后仰三分,hou'yang'san'fen
后仰投篮,hou'yang'tou'lan
后仰中投,hou'yang'zhong'tou
花式拉杆,hua'shi'la'gan
滑行上篮,hua'xing'shang'lan
换手突破,huan'shou'tu'po
晃人,huang'ren
技能包,ji'neng'bao
技能槽,ji'neng'cao
技能商城,ji'neng'shang'cheng
极限暴扣,ji'xian'bao'kou
假动作,jia'dong'zuo
加时赛,jia'shi'sai
加速,jia'su
加速器,jia'su'qi
街球地带,jie'qiu'di'dai
街头篮球,jie'tou'lan'qiu
街头篮球地图,jie'tou'lan'qiu'di'tu
街头篮球韩服,jie'tou'lan'qiu'han'fu
街头篮球日服,jie'tou'lan'qiu'ri'fu
街头篮球台服,jie'tou'lan'qiu'tai'fu
街头篮球贴吧,jie'tou'lan'qiu'tie'ba
街舞公园,jie'wu'gong'yuan
进阶训练,jin'jie'xun'lian
竞技场,jing'ji'chang
精英战队,jing'ying'zhan'dui
俱乐部,ju'le'bu
角色包,jue'se'bao
角色槽,jue'se'cao
绝杀,jue'sha
卡技能,ka'ji'neng
卡能力,ka'neng'li
卡飘飞,ka'piao'fei
卡位,ka'wei
卡纹身,ka'wen'shen
开箱子,kai'xiang'zi
科比背身交替运球,ke'bi'bei'shen'jiao'ti'yun'qiu
科比胯下抛投,ke'bi'kua'xia'pao'tou
科比内线分球,ke'bi'nei'xian'fen'qiu
科比跑动中传球,ke'bi'pao'dong'zhong'chuan'qiu
科比自由灌篮,ke'bi'zi'you'guan'lan
科比左右倒手灌篮,ke'bi'zuo'you'dao'shou'guan'lan
空接,kong'jie
控球后卫,kong'qiu'hou'wei
空中补扣,kong'zhong'bu'kou
空中灌篮,kong'zhong'guan'lan
空中接力,kong'zhong'jie'li
空中远投,kong'zhong'yuan'tou
扣篮,kou'lan
胯下换手扣篮,kua'xia'huan'shou'kou'lan
胯下运球,kua'xia'yun'qiu
快速补防,kuai'su'bu'fang
快速得分,kuai'su'de'fen
快速上篮,kuai'su'shang'lan
快速突破,kuai'su'tu'po
狂热骷髅套装,kuang're'ku'lou'tao'zhuang
篮板,lan'ban
篮板球,lan'ban'qiu
篮框,lan'kuang
篮筐,lan'kuang
篮下单手投篮,lan'xia'dan'shou'tou'lan
篮下勾手,lan'xia'gou'shou
篮下突破,lan'xia'tu'po
连晃,lian'huang
连胜场数,lian'sheng'chang'shu
连胜纪录,lian'sheng'ji'lu
连招,lian'zhao
两分球,liang'fen'qiu
两双,liang'shuang
凌波微步,ling'bo'wei'bu
岭山疾速,ling'shan'ji'su
录像功能,lu'xiang'gong'neng
冒裤,mao'ku
猫王发型,mao'wang'fa'xing
梦幻舞步,meng'huan'wu'bu
米勒时刻,mi'le'shi'ke
秒版,miao'ban
秒开,miao'kai
魔法耳环,mo'fa'er'huan
木乃伊套装,mu'nai'yi'tao'zhuang
内线,nei'xian
能力值,neng'li'zhi
妮妮,ni'ni
跑动,pao'dong
跑动传球,pao'dong'chuan'qiu
跑位,pao'wei
扑球,pu'qiu
葡萄论坛,pu'tao'lun'tan
起跳,qi'tiao
前锋,qian'feng
抢板,qiang'ban
抢断,qiang'duan
抢篮板,qiang'lan'ban
强力盖帽,qiang'li'gai'mao
强力灌篮,qiang'li'guan'lan
强力篮板,qiang'li'lan'ban
强力中锋,qiang'li'zhong'feng
强势干扰,qiang'shi'gan'rao
切入,qie'ru
切西瓜,qie'xi'gua
轻柔贵族发型,qing'rou'gui'zu'fa'xing
青蛙式投篮,qing'wa'shi'tou'lan
全明星,quan'ming'xing
拳头三分,quan'tou'san'fen
日式单簇头,ri'shi'dan'cu'tou
日头,ri'tou
睿智投篮,rui'zhi'tou'lan
三不沾,san'bu'zhan
三分挂,san'fen'gua
三分球,san'fen'qiu
三分球命中率,san'fen'qiu'ming'zhong'lv
三开,san'kai
三双,san'shuang
闪电抢断,shan'dian'qiang'duan
商都篮球,shang'du'lan'qiu
绅士男装,shen'shi'nan'zhuang
身体对抗,shen'ti'dui'kang
圣诞套装,sheng'dan'tao'zhuang
胜率,sheng'lv
室内球场,shi'nei'qiu'chang
刷房子,shua'fang'zi
刷积分,shua'ji'fen
刷数据,shua'shu'ju
双倍经验,shuang'bei'jing'yan
双开,shuang'kai
双色套装,shuang'se'tao'zhuang
双手扣篮,shuang'shou'kou'lan
水墨地图,shui'mo'di'tu
死守,si'shou
素色套装,su'se'tao'zhuang
太岁头,tai'sui'tou
弹跳,tan'tiao
特殊角色,te'shu'jue'se
特殊角色包,te'shu'jue'se'bao
天联,tian'lian
天联通行证,tian'lian'tong'xing'zheng
天数道具,tian'shu'dao'ju
天游,tian'you
天游娱乐场,tian'you'yu'le'chang
跳投,tiao'tou
投进,tou'jin
投篮,tou'lan
投篮命中,tou'lan'ming'zhong
投篮命中率,tou'lan'ming'zhong'lv
投球命中率,tou'qiu'ming'zhong'lv
突破运球,tu'po'yun'qiu
涂鸦区域,tu'ya'qu'yu
推进投篮,tui'jin'tou'lan
拖延时间,tuo'yan'shi'jian
外线,wai'xian
完美中投,wan'mei'zhong'tou
膝盖弹射,xi'gai'tan'she
西格蒙,xi'ge'meng
嘻哈部落,xi'ha'bu'luo
向后运球,xiang'hou'yun'qiu
小勾手,xiao'gou'shou
小前锋,xiao'qian'feng
小前锋连招,xiao'qian'feng'lian'zhao
小瑞,xiao'rui
协防,xie'fang
协防意识,xie'fang'yi'shi
新角色妮妮,xin'jue'se'ni'ni
新秀,xin'xiu
型男服,xing'nan'fu
熊猫头,xiong'mao'tou
修身长袖恤,xiu'shen'chang'xiu'xu
虚实,xu'shi
虚实转身,xu'shi'zhuan'shen
虚实转身抛射,xu'shi'zhuan'shen'pao'she
延长赛,yan'chang'sai
掩护,yan'hu
夜王套装,ye'wang'tao'zhuang
移动挡,yi'dong'dang
影子角色,ying'zi'jue'se
永久道具,yong'jiu'dao'ju
永久技能槽,yong'jiu'ji'neng'cao
永久加能力,yong'jiu'jia'neng'li
游乐场道具,you'le'chang'dao'ju
运球,yun'qiu
战斧,zhan'fu
战斧式灌篮,zhan'fu'shi'guan'lan
战斧重扣,zhan'fu'zhong'kou
战绩,zhan'ji
詹姆斯后撤运球,zhan'mu'si'hou'che'yun'qiu
站位,zhan'wei
折叠休闲裤,zhe'die'xiu'xian'ku
志胜套装,zhi'sheng'tao'zhuang
中锋,zhong'feng
终结灌篮,zhong'jie'guan'lan
中距离投篮,zhong'ju'li'tou'lan
中世纪自由头,zhong'shi'ji'zi'you'tou
中投,zhong'tou
助攻,zhu'gong
抓球,zhua'qiu
转身三分球,zhuan'shen'san'fen'qiu
追冒,zhui'mao
自抛自扣,zi'pao'zi'kou
自由翱翔,zi'you'ao'xiang
自由灌篮,zi'you'guan'lan
自由击球,zi'you'ji'qiu
自由式过人,zi'you'shi'guo'ren
自由天空,zi'you'tian'kong
综合战绩,zong'he'zhan'ji
组织后卫,zu'zhi'hou'wei
最后两分钟,zui'hou'liang'fen'zhong
