艾滋病,ai'zi'bing
白鳍豚,bai'qi'tun
白细胞,bai'xi'bao
白质,bai'zhi
豹斑毒伞,bao'ban'du'san
胞肛,bao'gang
保护组织,bao'hu'zu'zhi
保卫细胞,bao'wei'xi'bao
保卫组织,bao'wei'zu'zhi
孢子丝,bao'zi'si
孢子植物,bao'zi'zhi'wu
被子植物,bei'zi'zhi'wu
本草纲目,ben'cao'gang'mu
比目鱼,bi'mu'yu
变形虫,bian'xing'chong
变异,bian'yi
表膜,biao'mo
濒危,bin'wei
濒危动物,bin'wei'dong'wu
病毒,bing'du
病原体,bing'yuan'ti
玻片标本,bo'pian'biao'ben
博物学家,bo'wu'xue'jia
哺乳动物,bu'ru'dong'wu
菜粉蝶,cai'fen'die
蚕豆种子,can'dou'zhong'zi
草本植物,cao'ben'zhi'wu
草地植被,cao'di'zhi'bei
草履虫,cao'lv'chong
草原生态系统,cao'yuan'sheng'tai'xi'tong
侧线,ce'xian
蟾蜍,chan'chu
长骨,chang'gu
长颈鹿,chang'jing'lu
成骨细胞,cheng'gu'xi'bao
虫草菌素,chong'cao'jun'su
雏鸡,chu'ji
雏鸟,chu'niao
出球小动脉,chu'qiu'xiao'dong'mai
传播途径,chuan'bo'tu'jing
传递遗传信息,chuan'di'yi'chuan'xin'xi
传染病,chuan'ran'bing
雌蕊,ci'rui
粗准焦螺旋,cu'zhun'jiao'luo'xuan
大肠,da'chang
大豆,da'dou
达尔文,da'er'wen
大脑,da'nao
大脑皮质,da'nao'pi'zhi
大鲵,da'ni
大小便失禁,da'xiao'bian'shi'jin
袋鼠,dai'shu
带藻,dai'zao
蛋白尿,dan'bai'niao
胆固醇,dan'gu'chun
单细胞动物,dan'xi'bao'dong'wu
单细胞生物,dan'xi'bao'sheng'wu
单细胞藻类,dan'xi'bao'zao'lei
得出结论,de'chu'jie'lun
低倍物镜,di'bei'wu'jing
滴管,di'guan
低级中枢,di'ji'zhong'shu
抵御,di'yu
电子显微镜,dian'zi'xian'wei'jing
动脉,dong'mai
动脉血,dong'mai'xue
动物细胞,dong'wu'xi'bao
短骨,duan'gu
多样性,duo'yang'xing
厄尔尼诺,e'er'ni'nuo
