刀斧帮,dao'fu'bang
都兰,dou'lan
段大力,duan'da'li
佛罗,fo'luo
古田,gu'tian
加纳,jia'na
柯克,ke'ke
空志明,kong'zhi'ming
麻生,ma'sheng
曼莎,man'sha
念阳枭,nian'yang'xiao
念阳雄,nian'yang'xiong
念正易,nian'zheng'yi
念子乔,nian'zi'qiao
泰宏,tai'hong
泰青,tai'qing
土狼,tu'lang
万鹏举,wan'peng'ju
万天功,wan'tian'gong
万天行,wan'tian'xing
五元堂,wu'yuan'tang
无宗会,wu'zong'hui
永儿,yong'er
