白度,bai'du
白水池,bai'shui'chi
半化学浆,ban'hua'xue'jiang
备木,bei'mu
布浆器,bu'jiang'qi
层间结合力,ceng'jian'jie'he'li
抄纸,chao'zhi
冲浆泵,chong'jiang'beng
除皮,chu'pi
传送带,chuan'song'dai
传纸,chuan'zhi
打浆,da'jiang
打浆度,da'jiang'du
打浆机,da'jiang'ji
导网辊,dao'wang'gun
底层,di'ceng
底层白水槽,di'ceng'bai'shui'cao
低浓除砂器,di'nong'chu'sha'qi
底网,di'wang
低真空吸水箱,di'zhen'kong'xi'shui'xiang
叠网,die'wang
定量,ding'liang
二压,er'ya
反馈数据,fan'kui'shu'ju
分层,fen'ceng
分丝帚化,fen'si'zhou'hua
复卷机,fu'juan'ji
干网,gan'wang
高浓除砂器,gao'nong'chu'sha'qi
光滑度,guang'hua'du
黑液,hei'ye
横幅定量,heng'fu'ding'liang
烘缸,hong'gang
弧形筛,hu'xing'shai
化机浆,hua'ji'jiang
化学浆,hua'xue'jiang
换辊,huan'gun
换纸,huan'zhi
挤浆机,ji'jiang'ji
机外白水槽,ji'wai'bai'shui'cao
夹网,jia'wang
浆泵,jiang'beng
浆池,jiang'chi
浆钙,jiang'gai
搅拌器,jiao'ban'qi
克重,ke'zhong
空压机,kong'ya'ji
叩解度,kou'jie'du
两面差,liang'mian'cha
流浆箱,liu'jiang'xiang
流送,liu'song
硫酸铝,liu'suan'lv
面层,mian'ceng
面层白水槽,mian'ceng'bai'shui'cao
面网,mian'wang
磨浆机,mo'jiang'ji
磨木浆,mo'mu'jiang
耐折度,nai'zhe'du
喷淋淀粉,pen'lin'dian'fen
喷淋水,pen'lin'shui
漂白塔,piao'bai'ta
汽热回收,qi're'hui'shou
切纸机,qie'zhi'ji
氢氧化钠,qing'yang'hua'na
去节,qu'jie
曲面筛,qu'mian'shai
热风干燥,re'feng'gan'zao
热交换,re'jiao'huan
三压,san'ya
扫描架,sao'miao'jia
筛选净化,shai'xuan'jing'hua
商品木浆,shang'pin'mu'jiang
升温曲线,sheng'wen'qu'xian
湿部,shi'bu
施胶,shi'jiao
施胶量,shi'jiao'liang
湿纸幅,shi'zhi'fu
水封槽,shui'feng'cao
水力碎浆机,shui'li'sui'jiang'ji
水针泵,shui'zhen'beng
损池,sun'chi
损纸池,sun'zhi'chi
碳酸钙,tan'suan'gai
涂布,tu'bu
涂料制备,tu'liao'zhi'bei
托水盘,tuo'shui'pan
网笼,wang'long
网下白水池,wang'xia'bai'shui'chi
温水槽,wen'shui'cao
稀释水,xi'shi'shui
稀释水筛,xi'shi'shui'shai
纤维,xian'wei
线压力,xian'ya'li
芯层,xin'ceng
芯层白水槽,xin'ceng'bai'shui'cao
芯网,xin'wang
行车,xing'che
压力筛,ya'li'shai
压榨部,ya'zha'bu
阳离子淀粉,yang'li'zi'dian'fen
液位,ye'wei
一压,yi'ya
引纸绳,yin'zhi'sheng
预浸机,yu'jin'ji
圆网浓缩机,yuan'wang'nong'suo'ji
原纸,yuan'zhi
振动筛,zhen'dong'shai
真空泵,zhen'kong'beng
真空洗浆机,zhen'kong'xi'jiang'ji
蒸球,zheng'qiu
制浆造纸,zhi'jiang'zao'zhi
纸面,zhi'mian
中性胶,zhong'xing'jiao
中央布浆器,zhong'yang'bu'jiang'qi
