艾家镇,ai'jia'zhen
安福寺镇,an'fu'si'zhen
坝陵街办,ba'ling'jie'ban
百里洲镇,bai'li'zhou'zhen
白洋镇,bai'yang'zhen
半月镇,ban'yue'zhen
宝塔河街办,bao'ta'he'jie'ban
采花乡,cai'hua'xiang
草埠湖镇,cao'bu'hu'zhen
长乐坪镇,chang'le'ping'zhen
大公桥街办,da'gong'qiao'jie'ban
大堰乡,da'yan'xiang
邓村乡,deng'cun'xiang
点军街办,dian'jun'jie'ban
董市镇,dong'shi'zhen
都镇湾镇,du'zhen'wan'zhen
分乡镇,fen'xiang'zhen
傅家堰乡,fu'jia'yan'xiang
高坝洲镇,gao'ba'zhou'zhen
高家堰镇,gao'jia'yan'zhen
高桥乡,gao'qiao'xiang
高阳镇,gao'yang'zhen
葛洲坝街办,ge'zhou'ba'jie'ban
古夫镇,gu'fu'zhen
顾家店镇,gu'jia'dian'zhen
古老背街办,gu'lao'bei'jie'ban
归州镇,gui'zhou'zhen
郭家坝镇,guo'jia'ba'zhen
荷花镇,he'hua'zhen
贺家坪镇,he'jia'ping'zhen
河口乡,he'kou'xiang
河溶镇,he'rong'zhen
红花套镇,hong'hua'tao'zhen
虎牙街办,hu'ya'jie'ban
花林寺镇,hua'lin'si'zhen
黄花乡,huang'hua'xiang
黄粮镇,huang'liang'zhen
火烧坪乡,huo'shao'ping'xiang
旧县镇,jiu'xian'zhen
榔坪镇,lang'ping'zhen
乐天溪镇,le'tian'xi'zhen
联棚乡,lian'peng'xiang
两河口镇,liang'he'kou'zhen
两河镇,liang'he'zhen
龙泉镇,long'quan'zhen
龙舟坪镇,long'zhou'ping'zhen
陆城街办,lu'cheng'jie'ban
马家店街办,ma'jia'dian'jie'ban
茅坪场镇,mao'ping'chang'zhen
茅坪镇,mao'ping'zhen
梅家河乡,mei'jia'he'xiang
庙前镇,miao'qian'zhen
鸣凤镇,ming'feng'zhen
磨坪乡,mo'ping'xiang
磨市镇,mo'shi'zhen
南阳镇,nan'yang'zhen
聂家河镇,nie'jia'he'zhen
牛庄乡,niu'zhuang'xiang
潘家湾土家族乡,pan'jia'wan'tu'jia'zu'xiang
七星台镇,qi'xing'tai'zhen
桥边镇,qiao'bian'zhen
屈原镇,qu'yuan'zhen
仁和坪镇,ren'he'ping'zhen
三斗坪镇,san'dou'ping'zhen
沙镇溪镇,sha'zhen'xi'zhen
水田坝乡,shui'tian'ba'xiang
水月寺镇,shui'yue'si'zhen
松木坪镇,song'mu'ping'zhen
太平溪镇,tai'ping'xi'zhen
土城乡,tu'cheng'xiang
万寿桥街办,wan'shou'qiao'jie'ban
湾潭镇,wan'tan'zhen
王店镇,wang'dian'zhen
王家畈乡,wang'jia'fan'xiang
问安镇,wen'an'zhen
雾渡河镇,wu'du'he'zhen
五峰镇,wu'feng'zhen
伍家岗街办,wu'jia'gang'jie'ban
伍家乡,wu'jia'xiang
五眼泉乡,wu'yan'quan'xiang
西坝街办,xi'ba'jie'ban
西陵街办,xi'ling'jie'ban
下堡坪乡,xia'bao'ping'xiang
峡口镇,xia'kou'zhen
仙女镇,xian'nv'zhen
小溪塔街办,xiao'xi'ta'jie'ban
泄滩乡,xie'tan'xiang
学院街街办,xue'yuan'jie'jie'ban
鸦鹊岭镇,ya'que'ling'zhen
鸭子口乡,ya'zi'kou'xiang
杨林桥镇,yang'lin'qiao'zhen
洋坪镇,yang'ping'zhen
姚家店乡,yao'jia'dian'xiang
窑湾乡,yao'wan'xiang
夜明珠街办,ye'ming'zhu'jie'ban
玉泉街办,yu'quan'jie'ban
淯溪镇,yu'xi'zhen
渔峡口镇,yu'xia'kou'zhen
渔洋关镇,yu'yang'guan'zhen
玉阳街办,yu'yang'jie'ban
云池街办,yun'chi'jie'ban
云集街办,yun'ji'jie'ban
樟村坪镇,zhang'cun'ping'zhen
榛子乡,zhen'zi'xiang
枝城镇,zhi'cheng'zhen
周坪乡,zhou'ping'xiang
资丘镇,zi'qiu'zhen
