阿魏,a'wei
矮地茶,ai'di'cha
矮地茶藜芦,ai'di'cha'li'lu
艾蒿,ai'hao
艾片,ai'pian
艾叶,ai'ye
艾叶油,ai'ye'you
暗经,an'jing
安神,an'shen
安胎,an'tai
安息香,an'xi'xiang
桉油,an'you
奥尕,ao'ga
巴豆,ba'dou
巴豆霜,ba'dou'shuang
巴戟肉,ba'ji'rou
巴戟天,ba'ji'tian
八角,ba'jiao
八角枫,ba'jiao'feng
八角茴香,ba'jiao'hui'xiang
八角茴香油,ba'jiao'hui'xiang'you
八角莲,ba'jiao'lian
八厘麻,ba'li'ma
八月札,ba'yue'zha
白贝齿,bai'bei'chi
白背叶,bai'bei'ye
白扁豆,bai'bian'dou
白病,bai'bing
百部,bai'bu
百草霜,bai'cao'shuang
白丑,bai'chou
白豆蔻,bai'dou'kou
白矾,bai'fan
白茯苓,bai'fu'ling
白附片,bai'fu'pian
白附子,bai'fu'zi
白果,bai'guo
白果仁,bai'guo'ren
百合,bai'he
白河车,bai'he'che
白胡椒,bai'hu'jiao
白花蛇,bai'hua'she
白花蛇舌草,bai'hua'she'she'cao
白及,bai'ji
白芨,bai'ji
白蒺藜,bai'ji'li
白降,bai'jiang
白僵蚕,bai'jiang'can
败酱草,bai'jiang'cao
白降丹,bai'jiang'dan
白胶木,bai'jiao'mu
白胶香,bai'jiao'xiang
百节,bai'jie
白芥子,bai'jie'zi
白菊花,bai'ju'hua
白蔻,bai'kou
白蔻仁,bai'kou'ren
百里霜,bai'li'shuang
白蔹,bai'lian
百两金,bai'liang'jin
白马骨,bai'ma'gu
白茅根,bai'mao'gen
白茅花,bai'mao'hua
白蜜,bai'mi
白木耳,bai'mu'er
白平子,bai'ping'zi
白前,bai'qian
白茄根,bai'qie'gen
白求,bai'qiu
白屈菜,bai'qu'cai
百日咳,bai'ri'ke
百蕊草,bai'rui'cao
白涩病,bai'se'bing
白商陆,bai'shang'lu
白芍,bai'shao
白参,bai'shen
白石英,bai'shi'ying
白首乌,bai'shou'wu
白苏,bai'su
白头翁,bai'tou'weng
白头须,bai'tou'xu
白兔根,bai'tu'gen
白土苓,bai'tu'ling
白微,bai'wei
白薇,bai'wei
白鲜皮,bai'xian'pi
百芯草,bai'xin'cao
百药煎,bai'yao'jian
白药子,bai'yao'zi
白英,bai'ying
白云花根,bai'yun'hua'gen
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
半边莲,ban'bian'lian
半边旗,ban'bian'qi
半表半里,ban'biao'ban'li
半枫荷,ban'feng'he
瘢痕,ban'hen
板兰根,ban'lan'gen
板蓝根,ban'lan'gen
板栗壳,ban'li'ke
斑蝥,ban'mao
斑蟊,ban'mao
半天雷,ban'tian'lei
半夏,ban'xia
半夏曲,ban'xia'qu
斑蛰,ban'zhe
斑疹,ban'zhen
半支莲,ban'zhi'lian
半枝莲,ban'zhi'lian
蚌花,bang'hua
豹骨,bao'gu
暴厥,bao'jue
暴聋,bao'long
暴马子,bao'ma'zi
暴盲,bao'mang
暴仆,bao'pu
暴热,bao're
暴脱,bao'tuo
暴泻,bao'xie
胞衣,bao'yi
胞衣不下,bao'yi'bu'xia
暴瘖,bao'yin
胞脏,bao'zang
暴注,bao'zhu
胞阻,bao'zu
北柴胡,bei'chai'hu
贝齿,bei'chi
北豆根,bei'dou'gen
贝母,bei'mu
贝母花,bei'mu'hua
背强,bei'qiang
北沙参,bei'sha'shen
北玄参,bei'xuan'shen
北野菊,bei'ye'ju
贝子,bei'zi
奔豚,ben'tun
奔豚气,ben'tun'qi
崩漏,beng'lou
荜拔,bi'ba
荜茇,bi'ba
痹病,bi'bing
闭病,bi'bing
荜澄茄,bi'cheng'qie
鼻疔,bi'ding
鼻疳,bi'gan
鼻槁,bi'gao
鼻鼾,bi'han
壁虎,bi'hu
蓖麻油,bi'ma'you
蓖麻子,bi'ma'zi
避年,bi'nian
鼻衄,bi'nv
荸荠,bi'qi
鼻鼽,bi'qiu
鼻塞,bi'se
鼻煽,bi'shan
鼻为肺窍,bi'wei'fei'qiao
萆薢,bi'xie
鼻渊,bi'yuan
痹证,bi'zheng
鼻窒,bi'zhi
鼻赘型,bi'zhui'xing
便闭,bian'bi
辨病,bian'bing
扁豆,bian'dou
扁豆花,bian'dou'hua
扁瘊,bian'hou
扁蕾,bian'lei
便秘,bian'mi
砭石,bian'shi
便血,bian'xie
扁蓄,bian'xu
萹蓄,bian'xu
辨证,bian'zheng
辨证论治,bian'zheng'lun'zhi
辨证施治,bian'zheng'shi'zhi
表寒,biao'han
表寒里热,biao'han'li're
表寒里饮,biao'han'li'yin
表里,biao'li
表里俱寒,biao'li'ju'han
表里俱热,biao'li'ju're
表里同病,biao'li'tong'bing
表气不固,biao'qi'bu'gu
表热,biao're
表热里寒,biao're'li'han
表实,biao'shi
表实里虚,biao'shi'li'xu
表邪,biao'xie
表虚,biao'xu
表虚里实,biao'xu'li'shi
表证,biao'zheng
鳖甲,bie'jia
禀赋不足,bing'fu'bu'zu
病机,bing'ji
病机十九条,bing'ji'shi'jiu'tiao
槟榔,bing'lang
冰凉花,bing'liang'hua
病脉,bing'mai
冰片,bing'pian
并月,bing'yue
驳骨丹,bo'gu'dan
薄荷,bo'he
薄荷脑,bo'he'nao
薄荷油,bo'he'you
薄厥病,bo'jue'bing
补法,bu'fa
补肺,bu'fei
补骨脂,bu'gu'zhi
卜芥,bu'jie
不寐,bu'mei
补气,bu'qi
补肾,bu'shen
补泻兼施,bu'xie'jian'shi
补心,bu'xin
补血,bu'xue
补阳,bu'yang
补阴,bu'yin
不育,bu'yu
不月,bu'yue
不孕,bu'yun
布渣叶,bu'zha'ye
蚕豆黄,can'dou'huang
蚕砂,can'sha
蚕矢,can'shi
苍耳子,cang'er'zi
藏统失司,cang'tong'shi'si
苍术,cang'zhu
草豆蔻,cao'dou'kou
草果,cao'guo
草红藤,cao'hong'teng
糙苏,cao'su
草乌,cao'wu
草血竭,cao'xue'jie
嘈杂,cao'za
侧柏,ce'bai
侧柏叶,ce'bai'ye
茶油,cha'you
柴胡,chai'hu
颤病,chan'bing
产后败血上冲证,chan'hou'bai'xue'shang'chong'zheng
产后大便难,chan'hou'da'bian'nan
产后恶露不绝,chan'hou'e'lu'bu'jue
产后恶露不下,chan'hou'e'lu'bu'xia
产后发热,chan'hou'fa're
缠喉风,chan'hou'feng
产后腹痛,chan'hou'fu'tong
产后汗病,chan'hou'han'bing
产后痉病,chan'hou'jing'bing
产后尿血病,chan'hou'niao'xie'bing
产后缺乳病,chan'hou'que'ru'bing
产后乳汁自出,chan'hou'ru'zhi'zi'chu
产后身痛病,chan'hou'shen'tong'bing
产后小便不通,chan'hou'xiao'bian'bu'tong
产后小便淋沥,chan'hou'xiao'bian'lin'li
产后小便频数,chan'hou'xiao'bian'pin'shuo
产后血崩病,chan'hou'xue'beng'bing
产后血晕病,chan'hou'xue'yun'bing
产后遗粪病,chan'hou'yi'fen'bing
产后遗尿病,chan'hou'yi'niao'bing
产后自汗盗汗,chan'hou'zi'han'dao'han
燀苦杏仁,chan'ku'xing'ren
产门,chan'men
蟾酥,chan'su
蝉蜕,chan'tui
蝉衣,chan'yi
肠癌,chang'ai
肠痹,chang'bi
长春花,chang'chun'hua
肠道气滞,chang'dao'qi'zhi
肠道实热,chang'dao'shi're
肠道湿热,chang'dao'shi're
肠风,chang'feng
肠风伤络,chang'feng'shang'luo
肠结,chang'jie
肠痨,chang'lao
肠瘤,chang'liu
常脉,chang'mai
肠辟,chang'pi
菖蒲,chang'pu
常山,chang'shan
肠胃实热,chang'wei'shi're
肠胃湿热,chang'wei'shi're
肠虚滑脱,chang'xu'hua'tuo
肠液亏损,chang'ye'kui'sun
肠痈,chang'yong
肠郁,chang'yu
肠燥便秘,chang'zao'bian'mi
肠燥津伤,chang'zao'jin'shang
炒白扁豆,chao'bai'bian'dou
炒白芍,chao'bai'shao
炒白术,chao'bai'zhu
炒扁豆,chao'bian'dou
炒苍耳子,chao'cang'er'zi
炒茺蔚子,chao'chong'wei'zi
炒楮实子,chao'chu'shi'zi
炒川楝子,chao'chuan'lian'zi
炒丹皮,chao'dan'pi
炒稻芽,chao'dao'ya
炒蜂房,chao'feng'fang
炒谷芽,chao'gu'ya
炒瓜蒌子,chao'gua'lou'zi
炒黄柏,chao'huang'bai
炒火麻仁,chao'huo'ma'ren
炒蒺藜,chao'ji'li
炒鸡内金,chao'ji'nei'jin
炒芥子,chao'jie'zi
炒决明子,chao'jue'ming'zi
炒莱菔,chao'lai'fu
炒莱菔子,chao'lai'fu'zi
炒麦芽,chao'mai'ya
炒蔓荆子,chao'man'jing'zi
炒没药,chao'mei'yao
炒米仁,chao'mi'ren
炒南鹤虱,chao'nan'he'shi
炒内金,chao'nei'jin
炒牛蒡子,chao'niu'bang'zi
炒蒲黄,chao'pu'huang
炒牵牛子,chao'qian'niu'zi
炒青葙子,chao'qing'xiang'zi
潮热,chao're
炒乳香,chao'ru'xiang
炒三仙,chao'san'xian
炒三消,chao'san'xiao
炒山桅,chao'shan'wei
