阿尼林油,a'ni'lin'you
对甲苯磺酸钠,dui'jia'ben'huang'suan'na
对甲苯磺酰胺,dui'jia'ben'huang'xian'an
对甲苯磺酰肼,dui'jia'ben'huang'xian'jing
对甲酚,dui'jia'fen
对甲基苯磺酸,dui'jia'ji'ben'huang'suan
对甲基硝基苯,dui'jia'ji'xiao'ji'ben
对羟基苯胺,dui'qiang'ji'ben'an
对叔丁基苯酚,dui'shu'ding'ji'ben'fen
对硝基苯胺,dui'xiao'ji'ben'an
对硝基甲苯,dui'xiao'ji'jia'ben
多聚甲醛,duo'ju'jia'quan
多氯联二苯,duo'lv'lian'er'ben
蒽醌,en'kun
蒽油,en'you
二氨基丙烷,er'an'ji'bing'wan
二氨基二苯基甲烷,er'an'ji'er'ben'ji'jia'wan
二苯胺,er'ben'an
二苯基对苯二胺,er'ben'ji'dui'ben'er'an
二苯醚,er'ben'mi
二酚基丙烷,er'fen'ji'bing'wan
二氟二氯甲烷,er'fu'er'lv'jia'wan
二氟一氯甲烷,er'fu'yi'lv'jia'wan
二甘醇,er'gan'chun
二环已基,er'huan'yi'ji
二甲胺,er'jia'an
二甲苯,er'jia'ben
二甲苯胺,er'jia'ben'an
二甲基,er'jia'ji
二甲基苯胺,er'jia'ji'ben'an
二甲基苯醚,er'jia'ji'ben'mi
二甲基甲酰胺,er'jia'ji'jia'xian'an
二甲基苕甲酰胺,er'jia'ji'shao'jia'xian'an
二甲基替苯胺,er'jia'ji'ti'ben'an
二甲基硝基苯,er'jia'ji'xiao'ji'ben
二甲醚,er'jia'mi
二甲酸,er'jia'suan
二甲酮,er'jia'tong
二硫代二苯并噻唑,er'liu'dai'er'ben'bing'sai'zuo
二硫化钼,er'liu'hua'mu
二硫化碳,er'liu'hua'tan
二硫化亚铁,er'liu'hua'ya'tie
二硫五氧酸钠,er'liu'wu'yang'suan'na
二氯硅烷,er'lv'gui'wan
二氯化铁,er'lv'hua'tie
二氯化锡,er'lv'hua'xi
二氯甲烷,er'lv'jia'wan
二氯乙基铝,er'lv'yi'ji'lv
二氯乙烷,er'lv'yi'wan
二羟基丁二酸,er'qiang'ji'ding'er'suan
二水基亚磷酸铅,er'shui'ji'ya'lin'suan'qian
二水氯化钙,er'shui'lv'hua'gai
二烯三元共聚物,er'xi'san'yuan'gong'ju'wu
二溴化苯基膦,er'xiu'hua'ben'ji'lin
二亚硝基五次甲基四胺,er'ya'xiao'ji'wu'ci'jia'ji'si'an
二氧化氮,er'yang'hua'dan
二氧化硅,er'yang'hua'gui
二氧化硫,er'yang'hua'liu
二氧化氯,er'yang'hua'lv
二氧化锰,er'yang'hua'meng
二氧化碳,er'yang'hua'tan
二氧化钖,er'yang'hua'yang
二氧化锗,er'yang'hua'zhe
二乙胺,er'yi'an
二乙二醇醚,er'yi'er'chun'mi
二乙基苯胺,er'yi'ji'ben'an
二乙基醚,er'yi'ji'mi
二乙基替苯胺,er'yi'ji'ti'ben'an
二乙醚,er'yi'mi
二乙烯苯,er'yi'xi'ben
二乙烯基苯,er'yi'xi'ji'ben
二元醇,er'yuan'chun
发泡剂,fa'pao'ji
发烟硫酸,fa'yan'liu'suan
凡尼林,fan'ni'lin
凡士林,fan'shi'lin
钒酸酐,fan'suan'gan
矾土,fan'tu
方解石,fang'jie'shi
防老剂,fang'lao'ji
芳烃,fang'ting
芳香烃,fang'xiang'ting
肥酸,fei'suan
肥皂,fei'zao
酚醚压塑粉,fen'mi'ya'su'fen
酚醛,fen'quan
酚醛树脂,fen'quan'shu'zhi
酚醛塑料,fen'quan'su'liao
分散海军蓝,fen'san'hai'jun'lan
分散黑,fen'san'hei
分散红,fen'san'hong
分散红玉,fen'san'hong'yu
分散黄,fen'san'huang
分散黄棕,fen'san'huang'zong
分散灰,fen'san'hui
分散蓝,fen'san'lan
分散深蓝,fen'san'shen'lan
分散型阳离子艳蓝,fen'san'xing'yang'li'zi'yan'lan
分散藏青,fen'san'zang'qing
佛手甘油,fo'shou'gan'you
氟醋酸钠,fu'cu'suan'na
福尔马林,fu'er'ma'lin
氟化亚铊,fu'hua'ya'ta
氟里昂,fu'li'ang
福马林,fu'ma'lin
福美林,fu'mei'lin
呋喃,fu'nan
呋喃甲醇,fu'nan'jia'chun
呋喃甲醛,fu'nan'jia'quan
氟石,fu'shi
浮石,fu'shi
氟塑料,fu'su'liao
钙镁磷肥,gai'mei'lin'fei
钙镁磷钾肥,gai'mei'lin'jia'fei
干冰,gan'bing
甘醇酸,gan'chun'suan
干馏松节油,gan'liu'song'jie'you
甘油,gan'you
刚玉,gang'yu
高岭石,gao'ling'shi
高岭土,gao'ling'tu
高氯酸,gao'lv'suan
高氯酸铵,gao'lv'suan'an
高氯酸钾,gao'lv'suan'jia
高锰酸钾,gao'meng'suan'jia
高密度聚乙烯,gao'mi'du'ju'yi'xi
高效漂白粉,gao'xiao'piao'bai'fen
高压聚乙烯,gao'ya'ju'yi'xi
铬黄,ge'huang
格来汉氏盐,ge'lai'han'shi'yan
铬酸铅,ge'suan'qian
庚醇,geng'chun
共聚物,gong'ju'wu
工业六偏磷酸钠,gong'ye'liu'pian'lin'suan'na
谷氨酸,gu'an'suan
骨胶,gu'jiao
固体甲醛,gu'ti'jia'quan
光卤石,guang'lu'shi
光明丹,guang'ming'dan
光气,guang'qi
癸二酸,gui'er'suan
癸二酸二异辛酯,gui'er'suan'er'yi'xin'zhi
硅胶,gui'jiao
硅溶胶,gui'rong'jiao
硅酸,gui'suan
硅酸钾,gui'suan'jia
硅酸钾钠,gui'suan'jia'na
硅酸钠,gui'suan'na
硅橡胶,gui'xiang'jiao
过磷酸钙,guo'lin'suan'gai
过硼酸钠,guo'peng'suan'na
过氧化苯甲酰,guo'yang'hua'ben'jia'xian
过氧化钙,guo'yang'hua'gai
过氧化钾,guo'yang'hua'jia
过氧化氢,guo'yang'hua'qing
海波,hai'bo
海藻酸钠,hai'zao'suan'na
皓矾,hao'fan
合成树脂,he'cheng'shu'zhi
合成橡胶,he'cheng'xiang'jiao
核酸钡,he'suan'bei
核糖,he'tang
褐铁矿,he'tie'kuang
褐铁矿石,he'tie'kuang'shi
红宝石,hong'bao'shi
红丹,hong'dan
红矾铵,hong'fan'an
红矾钾,hong'fan'jia
红矾钠,hong'fan'na
化肥,hua'fei
花岗岩,hua'gang'yan
花生油,hua'sheng'you
滑石,hua'shi
环己烷基对二胺,huan'ji'wan'ji'dui'er'an
环烷酸,huan'wan'suan
环烷酸钙,huan'wan'suan'gai
环烷酸钴,huan'wan'suan'gu
环烷酸锰,huan'wan'suan'meng
环烷酸铜,huan'wan'suan'tong
环烷酸锌,huan'wan'suan'xin
环氧丙烷,huan'yang'bing'wan
环氧氯丙烷,huan'yang'lv'bing'wan
环氧树脂,huan'yang'shu'zhi
环氧乙烷,huan'yang'yi'wan
环乙胺,huan'yi'an
环乙醇,huan'yi'chun
环已醇,huan'yi'chun
环乙酮,huan'yi'tong
环已酮,huan'yi'tong
还原靛蓝,huan'yuan'dian'lan
还原橄榄绿,huan'yuan'gan'lan'lv
还原黑,huan'yuan'hei
还原蓝,huan'yuan'lan
还原溴蓝,huan'yuan'xiu'lan
黄丹,huang'dan
磺化煤,huang'hua'mei
黄磷,huang'lin
磺镪水,huang'qiang'shui
黄铁矿,huang'tie'kuang
黄铜,huang'tong
黄铜矿,huang'tong'kuang
黄血盐,huang'xue'yan
黄血盐钾,huang'xue'yan'jia
黄血盐钠,huang'xue'yan'na
黄月砂,huang'yue'sha
灰口铸铁,hui'kou'zhu'tie
灰锰氧,hui'meng'yang
辉铜矿,hui'tong'kuang
混合二甲酚,hun'he'er'jia'fen
混合甲胺,hun'he'jia'an
混合甲酚,hun'he'jia'fen
火碱,huo'jian
火酒,huo'jiu
火棉,huo'mian
火硝,huo'xiao
活性白土,huo'xing'bai'tu
活性橙,huo'xing'cheng
活性翠蓝,huo'xing'cui'lan
活性大红,huo'xing'da'hong
活性黑,huo'xing'hei
活性红棕,huo'xing'hong'zong
活性黄,huo'xing'huang
活性漂土,huo'xing'piao'tu
活性桃红,huo'xing'tao'hong
活性艳红,huo'xing'yan'hong
活性氧化锌,huo'xing'yang'hua'xin
己二胺,ji'er'an
己二腈,ji'er'jing
己内酰胺,ji'nei'xian'an
几双尼,ji'shuang'ni
季戊四醇,ji'wu'si'chun
机械润滑油,ji'xie'run'hua'you
甲胺,jia'an
甲苯,jia'ben
甲叉二氯,jia'cha'er'lv
甲醇,jia'chun
钾肥,jia'fei
甲基苯乙烯,jia'ji'ben'yi'xi
甲基苯乙烯共聚物,jia'ji'ben'yi'xi'gong'ju'wu
甲基丙烯酸,jia'ji'bing'xi'suan
甲基丙烯酸丁酯,jia'ji'bing'xi'suan'ding'zhi
甲基丙烯酸甲酯,jia'ji'bing'xi'suan'jia'zhi
甲基丙烯酸乙酯,jia'ji'bing'xi'suan'yi'zhi
甲基氯,jia'ji'lv
甲基氯硅烷,jia'ji'lv'gui'wan
甲基三氯硅烷,jia'ji'san'lv'gui'wan
甲基三乙氧基硅烷,jia'ji'san'yi'yang'ji'gui'wan
甲基胂酸钙,jia'ji'shen'suan'gai
甲基纤维素,jia'ji'xian'wei'su
钾碱,jia'jian
甲醚,jia'mi
钾明矾,jia'ming'fan
甲萘胺,jia'nai'an
甲萘酚,jia'nai'fen
甲醛,jia'quan
甲醛树脂,jia'quan'shu'zhi
甲醛水,jia'quan'shui
甲酸,jia'suan
甲酸钠,jia'suan'na
甲酸乙酯,jia'suan'yi'zhi
甲烷,jia'wan
甲烷醇,jia'wan'chun
甲酰胺,jia'xian'an
甲氧基苯甲醛,jia'yang'ji'ben'jia'quan
甲乙酮,jia'yi'tong
甲脂,jia'zhi
甲酯,jia'zhi
间氨基苯酚,jian'an'ji'ben'fen
间苯二胺,jian'ben'er'an
间苯二酚,jian'ben'er'fen
间苯二甲酸,jian'ben'er'jia'suan
间二胺基苯,jian'er'an'ji'ben
间甲苯酚,jian'jia'ben'fen
间甲酚,jian'jia'fen
间甲基硝基苯,jian'jia'ji'xiao'ji'ben
碱类,jian'lei
碱面,jian'mian
间羟基苯胺,jian'qiang'ji'ben'an
碱式,jian'shi
碱式碳酸铅,jian'shi'tan'suan'qian
碱式碳酸锌,jian'shi'tan'suan'xin
碱式盐,jian'shi'yan
间硝基苯磺酸钠,jian'xiao'ji'ben'huang'suan'na
间硝基甲苯,jian'xiao'ji'jia'ben
碱性绿,jian'xing'lv
碱性嫩黄,jian'xing'nen'huang
碱性品红,jian'xing'pin'hong
浇碱,jiao'jian
焦磷酸钾,jiao'lin'suan'jia
焦炉气,jiao'lu'qi
胶棉,jiao'mian
胶木粉,jiao'mu'fen
焦炭,jiao'tan
焦性没食子酸,jiao'xing'mei'shi'zi'suan
焦性硼酸钠,jiao'xing'peng'suan'na
焦亚硫酸钠,jiao'ya'liu'suan'na
结晶硫,jie'jing'liu
结晶氯化铝,jie'jing'lv'hua'lv
结晶氯化镁,jie'jing'lv'hua'mei
结晶亚硫酸钠,jie'jing'ya'liu'suan'na
金刚砂,jin'gang'sha
金刚石,jin'gang'shi
金属钙,jin'shu'gai
金属钾,jin'shu'jia
金属钠,jin'shu'na
鲸油,jing'you
酒精,jiu'jing
酒石酸,jiu'shi'suan
聚氨基甲酸酯,ju'an'ji'jia'suan'zhi
聚氨脂,ju'an'zhi
聚氨酯,ju'an'zhi
聚氨酯塑料,ju'an'zhi'su'liao
聚苯撑氧,ju'ben'cheng'yang
聚苯矾,ju'ben'fan
聚苯硫醚,ju'ben'liu'mi
聚苯醚,ju'ben'mi
聚苯乙烯,ju'ben'yi'xi
聚丙烯,ju'bing'xi
聚丙烯腈,ju'bing'xi'jing
聚丙烯睛纤维,ju'bing'xi'jing'xian'wei
聚丙烯酸,ju'bing'xi'suan
聚丙烯酰胺,ju'bing'xi'xian'an
聚醋酸乙烯,ju'cu'suan'yi'xi
聚醋酸乙烯脂,ju'cu'suan'yi'xi'zhi
聚丁二烯,ju'ding'er'xi
聚丁烯,ju'ding'xi
聚对苯二甲酸丁二醇酯,ju'dui'ben'er'jia'suan'ding'er'chun'zhi
聚对苯二甲酸乙二醇,ju'dui'ben'er'jia'suan'yi'er'chun
聚对苯二甲酸乙二酯,ju'dui'ben'er'jia'suan'yi'er'zhi
聚二氯乙烯,ju'er'lv'yi'xi
聚矾,ju'fan
聚酚氧树脂,ju'fen'yang'shu'zhi
聚氟乙烯,ju'fu'yi'xi
聚硅氧烷,ju'gui'yang'wan
桔黄,ju'huang
聚甲基丙烯酸甲脂,ju'jia'ji'bing'xi'suan'jia'zhi
聚甲基丙烯酸甲酯,ju'jia'ji'bing'xi'suan'jia'zhi
聚甲基丙烯酰亚胺,ju'jia'ji'bing'xi'xian'ya'an
聚甲醛,ju'jia'quan
聚间苯二甲酸二烯丙脂,ju'jian'ben'er'jia'suan'er'xi'bing'zhi
聚邻苯二甲酸二烯丙酯,ju'lin'ben'er'jia'suan'er'xi'bing'zhi
聚氯丁烯,ju'lv'ding'xi
聚氯硫醚,ju'lv'liu'mi
聚氯乙烯,ju'lv'yi'xi
聚氯乙烯塑料,ju'lv'yi'xi'su'liao
聚醚,ju'mi
聚羟基醚,ju'qiang'ji'mi
聚全氟乙烯树脂,ju'quan'fu'yi'xi'shu'zhi
聚三氟氯乙烯,ju'san'fu'lv'yi'xi
聚四氟,ju'si'fu
聚四氟乙烯,ju'si'fu'yi'xi
聚四氯乙烯,ju'si'lv'yi'xi
聚四氯乙烯树脂,ju'si'lv'yi'xi'shu'zhi
聚碳酸脂,ju'tan'suan'zhi
聚碳酸酯,ju'tan'suan'zhi
聚酰胺,ju'xian'an
聚亚苯基硫醚,ju'ya'ben'ji'liu'mi
聚氧化乙烷,ju'yang'hua'yi'wan
聚氧化乙烯,ju'yang'hua'yi'xi
聚异丁烯,ju'yi'ding'xi
聚乙醛,ju'yi'quan
聚乙酸乙烯酯,ju'yi'suan'yi'xi'zhi
聚异戊二烯,ju'yi'wu'er'xi
聚乙烯,ju'yi'xi
聚乙烯醇,ju'yi'xi'chun
聚乙烯塑料,ju'yi'xi'su'liao
聚乙烯缩丁醛,ju'yi'xi'suo'ding'quan
聚乙烯缩甲醛,ju'yi'xi'suo'jia'quan
聚酯,ju'zhi
聚脂树脂,ju'zhi'shu'zhi
聚酯树脂,ju'zhi'shu'zhi
崁酮,kan'tong
糠醇,kang'chun
抗静电剂,kang'jing'dian'ji
糠醛,kang'quan
抗氧剂,kang'yang'ji
苛性钾,ke'xing'jia
苛性碱,ke'xing'jian
苛性钠,ke'xing'na
孔雀绿,kong'que'lv
孔雀石,kong'que'shi
苦盐,ku'yan
矿物油,kuang'wu'you
喹啉,kui'lin
醌醇,kun'chun
蓝宝石,lan'bao'shi
蓝矾,lan'fan
兰矾,lan'fan
酪素塑料,lao'su'su'liao
乐果,le'guo
雷锁辛,lei'suo'xin
里哪醇,li'na'chun
沥青,li'qing
联苯醚,lian'ben'mi
连苯三酚,lian'ben'san'fen
连二亚硫酸钠,lian'er'ya'liu'suan'na
联甲苯胺,lian'jia'ben'an
亮溴靛蓝,liang'xiu'dian'lan
裂解气,lie'jie'qi
邻氨基苯甲酸,lin'an'ji'ben'jia'suan
邻苯二胺,lin'ben'er'an
邻苯二酚,lin'ben'er'fen
邻苯二甲酸丁,lin'ben'er'jia'suan'ding
邻苯二甲酸二丙烯酯,lin'ben'er'jia'suan'er'bing'xi'zhi
邻苯二甲酸二甲酯,lin'ben'er'jia'suan'er'jia'zhi
邻苯二甲酸二异辛酯,lin'ben'er'jia'suan'er'yi'xin'zhi
邻苯二甲酸二乙酯,lin'ben'er'jia'suan'er'yi'zhi
邻苯二甲酸二正丁酯,lin'ben'er'jia'suan'er'zheng'ding'zhi
邻苯二甲酸酐,lin'ben'er'jia'suan'gan
邻苯二甲酸酯,lin'ben'er'jia'suan'zhi
邻苯基乙苯,lin'ben'ji'yi'ben
邻二氨基苯,lin'er'an'ji'ben
磷化铝,lin'hua'lv
磷化锌,lin'hua'xin
磷灰石,lin'hui'shi
邻甲苯胺,lin'jia'ben'an
邻甲苯酚,lin'jia'ben'fen
邻甲酚,lin'jia'fen
邻甲基硝基苯,lin'jia'ji'xiao'ji'ben
邻氯苯甲酸,lin'lv'ben'jia'suan
邻氯苯酸,lin'lv'ben'suan
邻羟基苯甲酸,lin'qiang'ji'ben'jia'suan
磷酸,lin'suan
磷酸二苯基,lin'suan'er'ben'ji
磷酸二苯基异辛酯,lin'suan'er'ben'ji'yi'xin'zhi
磷酸二钙,lin'suan'er'gai
磷酸二氢铵,lin'suan'er'qing'an
磷酸二氢钙,lin'suan'er'qing'gai
磷酸二氢钾,lin'suan'er'qing'jia
磷酸氢二铵,lin'suan'qing'er'an
磷酸三苯酯,lin'suan'san'ben'zhi
磷酸三甲苯酯,lin'suan'san'jia'ben'zhi
磷酸三甲酚酯,lin'suan'san'jia'fen'zhi
磷酸锌,lin'suan'xin
邻硝基甲苯,lin'xiao'ji'jia'ben
菱铁矿石,ling'tie'kuang'shi
硫铵,liu'an
硫醇基苯并噻唑,liu'chun'ji'ben'bing'sai'zuo
硫代二丙酸二月桂酯,liu'dai'er'bing'suan'er'yue'gui'zhi
