阿尼林油,a'ni'lin'you
硫代硫酸钠,liu'dai'liu'suan'na
硫化汞,liu'hua'gong
硫化剂,liu'hua'ji
硫化钾,liu'hua'jia
硫化碱,liu'hua'jian
硫化钠,liu'hua'na
硫化氢,liu'hua'qing
硫化亚铁,liu'hua'ya'tie
硫黄,liu'huang
硫磺,liu'huang
六甲基磷酰胺,liu'jia'ji'lin'xian'an
硫苦,liu'ku
六磷胺,liu'lin'an
六氯丙烯,liu'lv'bing'xi
六氯乙烷,liu'lv'yi'wan
硫脲,liu'niao
硫氰化铵,liu'qing'hua'an
硫氰化钠,liu'qing'hua'na
硫氰化铁,liu'qing'hua'tie
硫氰酸铵,liu'qing'suan'an
硫氰酸钠,liu'qing'suan'na
六水氯化镁,liu'shui'lv'hua'mei
六水三氯化铝,liu'shui'san'lv'hua'lv
硫酸,liu'suan
硫酸铵,liu'suan'an
硫酸钡,liu'suan'bei
硫酸二甲酯,liu'suan'er'jia'zhi
硫酸钙,liu'suan'gai
硫酸钾,liu'suan'jia
硫酸铝,liu'suan'lv
硫酸铝钾,liu'suan'lv'jia
硫酸镁,liu'suan'mei
硫酸钠,liu'suan'na
硫酸镍,liu'suan'nie
硫酸铅,liu'suan'qian
硫酸氢钠,liu'suan'qing'na
硫酸铜,liu'suan'tong
硫酸锌,liu'suan'xin
硫酸亚锰,liu'suan'ya'meng
硫酸亚铁,liu'suan'ya'tie
硫酸盐,liu'suan'yan
硫铁矿,liu'tie'kuang
六亚甲基四胺,liu'ya'jia'ji'si'an
硫氧,liu'yang
炉甘石,lu'gan'shi
卤块,lu'kuai
氯胺,lv'an
氯苯,lv'ben
氯苯橡胶,lv'ben'xiang'jiao
氯丙烯,lv'bing'xi
氯丁胶,lv'ding'jiao
氯丁橡胶,lv'ding'xiang'jiao
绿矾,lv'fan
绿矾油,lv'fan'you
氯仿,lv'fang
氯化铵,lv'hua'an
氯化钡,lv'hua'bei
氯化苯,lv'hua'ben
氯化钙,lv'hua'gai
氯化汞,lv'hua'gong
氯化钴,lv'hua'gu
氯化钾,lv'hua'jia
氯化聚丙烯,lv'hua'ju'bing'xi
氯化聚乙烯,lv'hua'ju'yi'xi
氯化铝,lv'hua'lv
氯化镁,lv'hua'mei
氯化锰,lv'hua'meng
氯化钠,lv'hua'na
氯化氢,lv'hua'qing
氯化石腊,lv'hua'shi'la
氯化锶,lv'hua'si
氯化铜,lv'hua'tong
氯化锡,lv'hua'xi
氯化橡胶,lv'hua'xiang'jiao
氯化锌,lv'hua'xin
氯化亚汞,lv'hua'ya'gong
氯化亚锰,lv'hua'ya'meng
氯化亚铜,lv'hua'ya'tong
氯化亚钖,lv'hua'ya'yang
氯甲烷,lv'jia'wan
氯气,lv'qi
铝酸钾,lv'suan'jia
氯酸钾,lv'suan'jia
氯酸钠,lv'suan'na
氯酸盐,lv'suan'yan
氯酰氟,lv'xian'fu
氯酰氧氟,lv'xian'yang'fu
氯乙醇,lv'yi'chun
氯乙酸,lv'yi'suan
氯乙酸甲酯,lv'yi'suan'jia'zhi
氯乙酸乙酯,lv'yi'suan'yi'zhi
氯乙烯,lv'yi'xi
马来酸酐,ma'lai'suan'gan
麦氨酸,mai'an'suan
脉石,mai'shi
芒硝,mang'xiao
毛必鲁油,mao'bi'lu'you
煤焦油,mei'jiao'you
煤焦油沥青,mei'jiao'you'li'qing
没食子酸,mei'shi'zi'suan
镁铁矿石,mei'tie'kuang'shi
煤油,mei'you
蜜胺,mi'an
密陀僧,mi'tuo'seng
