安全带,an'quan'dai
安全帽,an'quan'mao
安全绳,an'quan'sheng
安全网,an'quan'wang
办公锁,ban'gong'suo
板岩,ban'yan
报警器材及系统,bao'jing'qi'cai'ji'xi'tong
保温,bao'wen
杯架,bei'jia
壁布,bi'bu
壁橱,bi'chu
壁灯,bi'deng
闭门器,bi'men'qi
壁纸,bi'zhi
别墅,bie'shu
玻璃刀,bo'li'dao
玻璃胶,bo'li'jiao
玻璃门,bo'li'men
不动产,bu'dong'chan
不锈钢管,bu'xiu'gang'guan
操作台,cao'zuo'tai
插销,cha'xiao
铲土运输机械,chan'tu'yun'shu'ji'xie
厂房,chang'fang
超市购物车,chao'shi'gou'wu'che
冲洗阀,chong'xi'fa
厨房设施,chu'fang'she'shi
厨卫设施,chu'wei'she'shi
窗轨,chuang'gui
窗帘,chuang'lian
窗帘杆,chuang'lian'gan
窗锁,chuang'suo
炊具挂盘,chui'ju'gua'pan
磁卡锁,ci'ka'suo
瓷砖胶,ci'zhuan'jiao
大理石,da'li'shi
地板,di'ban
地板料,di'ban'liao
地漏,di'lou
地毯,di'tan
地弹簧,di'tan'huang
电工胶带,dian'gong'jiao'dai
电梯及配件,dian'ti'ji'pei'jian
电子巡更系统,dian'zi'xun'geng'xi'tong
吊灯,diao'deng
镀锌管,du'xin'guan
二手建材加工设备,er'shou'jian'cai'jia'gong'she'bei
法兰,fa'lan
法兰盘,fa'lan'pan
阀片,fa'pian
阀芯,fa'xin
防潮材料,fang'chao'cai'liao
防盗,fang'dao
防盗门,fang'dao'men
防护耳塞耳罩,fang'hu'er'sai'er'zhao
防护服,fang'hu'fu
防护面罩面具,fang'hu'mian'zhao'mian'ju
防护手套,fang'hu'shou'tao
防护鞋,fang'hu'xie
防护眼镜眼罩,fang'hu'yan'jing'yan'zhao
防滑砖,fang'hua'zhuan
防火材料,fang'huo'cai'liao
防静电地板,fang'jing'dian'di'ban
防水,fang'shui
防锈漆,fang'xiu'qi
肥皂架,fei'zao'jia
分水器,fen'shui'qi
复合窗,fu'he'chuang
复合地板,fu'he'di'ban
复合管,fu'he'guan
复合门,fu'he'men
钢结构,gang'jie'gou
钢筋和预应力机械,gang'jin'he'yu'ying'li'ji'xie
隔断与吊顶,ge'duan'yu'diao'ding
隔热材料,ge're'cai'liao
格栅灯,ge'shan'deng
隔音,ge'yin
工程承包,gong'cheng'cheng'bao
工程规划,gong'cheng'gui'hua
工程机械配件,gong'cheng'ji'xie'pei'jian
工程监理,gong'cheng'jian'li
工程施工,gong'cheng'shi'gong
工程与建筑机械,gong'cheng'yu'jian'zhu'ji'xie
工地施工材料,gong'di'shi'gong'cai'liao
公寓,gong'yu
挂镜线,gua'jing'xian
挂锁,gua'suo
管道辅助材料,guan'dao'fu'zhu'cai'liao
管道系统,guan'dao'xi'tong
管件管材,guan'jian'guan'cai
管帽,guan'mao
焊接钢管,han'jie'gang'guan
合页,he'ye
护墙板,hu'qiang'ban
花岗岩,hua'gang'yan
滑轨,hua'gui
花洒,hua'sa
花洒及配件,hua'sa'ji'pei'jian
花洒软管,hua'sa'ruan'guan
花园,hua'yuan
混凝土搅拌机械,hun'ning'tu'jiao'ban'ji'xie
混凝土制品,hun'ning'tu'zhi'pin
混水阀,hun'shui'fa
活动房,huo'dong'fang
机械门锁,ji'xie'men'suo
家具锁,jia'ju'suo
建材机械及用具,jian'cai'ji'xie'ji'yong'ju
建材加工,jian'cai'jia'gong
建材类管材,jian'cai'lei'guan'cai
建材类管件,jian'cai'lei'guan'jian
建材生产加工机械,jian'cai'sheng'chan'jia'gong'ji'xie
监控器材及系统,jian'kong'qi'cai'ji'xi'tong
建筑,jian'zhu
建筑玻璃,jian'zhu'bo'li
建筑材料,jian'zhu'cai'liao
建筑门窗及五金,jian'zhu'men'chuang'ji'wu'jin
建筑配套设施及其他,jian'zhu'pei'tao'she'shi'ji'qi'ta
建筑陶瓷,jian'zhu'tao'ci
建筑涂料,jian'zhu'tu'liao
建筑图纸,jian'zhu'tu'zhi
建筑项目合作,jian'zhu'xiang'mu'he'zuo
建筑用粘合剂,jian'zhu'yong'nian'he'ji
建筑装潢工程承包,jian'zhu'zhuang'huang'gong'cheng'cheng'bao
匠作工具,jiang'zuo'gong'ju
铰链,jiao'lian
金属窗,jin'shu'chuang
金属建材,jin'shu'jian'cai
金属胶,jin'shu'jiao
金属门,jin'shu'men
镜台,jing'tai
绝缘板,jue'yuan'ban
绝缘材料,jue'yuan'cai'liao
绝缘带,jue'yuan'dai
绝缘垫片,jue'yuan'dian'pian
绝缘隔离柱,jue'yuan'ge'li'zhu
绝缘套管,jue'yuan'tao'guan
绝缘子,jue'yuan'zi
卡锁,ka'suo
开门器,kai'men'qi
库存及相关服务,ku'cun'ji'xiang'guan'fu'wu
库存建材,ku'cun'jian'cai
快开,kuai'kai
拉手,la'shou
冷热水系统,leng're'shui'xi'tong
沥青,li'qing
砾石,li'shi
淋浴房,lin'yu'fang
淋浴器,lin'yu'qi
楼梯及配件,lou'ti'ji'pei'jian
楼宇对讲设备,lou'yu'dui'jiang'she'bei
楼宇设施,lou'yu'she'shi
路面机械,lu'mian'ji'xie
卵石,luan'shi
落地灯,luo'di'deng
绿化工程,lv'hua'gong'cheng
马赛克,ma'sai'ke
毛巾杆,mao'jin'gan
门窗挂钩,men'chuang'gua'gou
门窗五金,men'chuang'wu'jin
门夹,men'jia
门禁考勤器材及系统,men'jin'kao'qin'qi'cai'ji'xi'tong
门碰,men'peng
门吸,men'xi
密码锁,mi'ma'suo
面盆及配件,mian'pen'ji'pei'jian
抹泥板,mo'ni'ban
摩托车锁,mo'tuo'che'suo
模型设计,mo'xing'she'ji
木板材,mu'ban'cai
牧场,mu'chang
木窗,mu'chuang
木工胶,mu'gong'jiao
木工铣刀,mu'gong'xi'dao
木工油漆,mu'gong'you'qi
木门,mu'men
幕墙胶,mu'qiang'jiao
木质材料,mu'zhi'cai'liao
木质片材,mu'zhi'pian'cai
木质线材,mu'zhi'xian'cai
木质型材,mu'zhi'xing'cai
耐火,nai'huo
耐磨砖,nai'mo'zhuan
农场,nong'chang
暖气片,nuan'qi'pian
排水系统,pai'shui'xi'tong
抛光砖,pao'guang'zhuan
汽车锁,qi'che'suo
其他不动产,qi'ta'bu'dong'chan
其他厨房设施,qi'ta'chu'fang'she'shi
其他窗,qi'ta'chuang
其他地板,qi'ta'di'ban
其他工程承包,qi'ta'gong'cheng'cheng'bao
其他工程与建筑机械,qi'ta'gong'cheng'yu'jian'zhu'ji'xie
其他管道系统,qi'ta'guan'dao'xi'tong
其他管件,qi'ta'guan'jian
其他建筑,qi'ta'jian'zhu
其他建筑玻璃,qi'ta'jian'zhu'bo'li
其他建筑陶瓷,qi'ta'jian'zhu'tao'ci
其他建筑涂料,qi'ta'jian'zhu'tu'liao
其他建筑用粘合剂,qi'ta'jian'zhu'yong'nian'he'ji
其他匠作工具,qi'ta'jiang'zuo'gong'ju
其他绝缘材料,qi'ta'jue'yuan'cai'liao
其他楼宇设施,qi'ta'lou'yu'she'shi
其他门,qi'ta'men
其他门窗五金,qi'ta'men'chuang'wu'jin
其他木质材料,qi'ta'mu'zhi'cai'liao
其他石材石料,qi'ta'shi'cai'shi'liao
其他室内照明灯具,qi'ta'shi'nei'zhao'ming'deng'ju
其他水暖五金,qi'ta'shui'nuan'wu'jin
其他锁具,qi'ta'suo'ju
其他卫浴用五金件,qi'ta'wei'yu'yong'wu'jin'jian
其他装饰线板,qi'ta'zhuang'shi'xian'ban
其他作业保护,qi'ta'zuo'ye'bao'hu
起重机,qi'zhong'ji
墙面砖,qiang'mian'zhuan
墙纸胶,qiang'zhi'jiao
燃气系统,ran'qi'xi'tong
人造石,ren'zao'shi
软梯,ruan'ti
三角阀,san'jiao'fa
散热器,san're'qi
三通,san'tong
