阿伯特,a'bo'te
移植眼,yi'zhi'yan
隐刀,yin'dao
隐形刀兵,yin'xing'dao'bing
幽灵兵,you'ling'bing
幽灵战机,you'ling'zhan'ji
游牧者,you'mu'zhe
宇宙天空流,yu'zhou'tian'kong'liu
原子弹,yuan'zi'dan
运输机,yun'shu'ji
炸弹人,zha'dan'ren
战斗巡洋舰,zhan'dou'xun'yang'jian
战列巡洋舰,zhan'lie'xun'yang'jian
战略性撤退,zhan'lue'xing'che'tui
蟑螂,zhang'lang
召唤,zhao'huan
折越,zhe'yue
侦察机,zhen'cha'ji
侦察者,zhen'cha'zhe
震荡波,zhen'dang'bo
震荡攻击,zhen'dang'gong'ji
治疗,zhi'liao
致盲,zhi'mang
蜘蛛雷,zhi'zhu'lei
仲裁,zhong'cai
仲裁者,zhong'cai'zhe
重工,zhong'gong
重工厂,zhong'gong'chang
终级母舰,zhong'ji'mu'jian
重力调整,zhong'li'tiao'zheng
中型单位,zhong'xing'dan'wei
主矿,zhu'kuang
主宰,zhu'zai
追猎,zhui'lie
追踪者,zhui'zong'zhe
自爆人,zi'bao'ren
自动炮台,zi'dong'pao'tai
自杀飞幅,zi'sha'fei'fu
自杀飞机,zi'sha'fei'ji
