北帝,bei'di
不死天皇,bu'si'tian'huang
帝尊,di'zun
斗战圣皇,dou'zhan'sheng'huang
段德,duan'de
阿弥陀佛,e'mi'tuo'fo
盖九幽,gai'jiu'you
黑皇,hei'huang
狠人大帝,hen'ren'da'di
恒宇大帝,heng'yu'da'di
姬皓月,ji'hao'yue
姬子,ji'zi
姬紫月,ji'zi'yue
老疯子,lao'feng'zi
老子,lao'zi
龙马,long'ma
乱古大帝,luan'gu'da'di
冥尊,ming'zun
南妖,nan'yao
庞博,pang'bo
青帝,qing'di
圣皇子,sheng'huang'zi
释迦牟尼,shi'jia'mou'ni
太阳圣皇,tai'yang'sheng'huang
太阴圣皇,tai'yin'sheng'huang
天皇子,tian'huang'zi
无始大帝,wu'shi'da'di
西皇母,xi'huang'mu
西菩萨,xi'pu'sa
虚空大帝,xu'kong'da'di
雪月清,xue'yue'qing
妖帝,yao'di
叶凡,ye'fan
