安全进入,an'quan'jin'ru
安全上垒,an'quan'shang'lei
安全踏触,an'quan'ta'chu
八支队伍,ba'zhi'dui'wu
败场,bai'chang
败投,bai'tou
棒球比赛,bang'qiu'bi'sai
棒球大联盟,bang'qiu'da'lian'meng
棒球都市,bang'qiu'du'shi
棒球发展,bang'qiu'fa'zhan
棒球好手,bang'qiu'hao'shou
棒球赛,bang'qiu'sai
棒球三强,bang'qiu'san'qiang
棒球王,bang'qiu'wang
棒球运动,bang'qiu'yun'dong
保持着,bao'chi'zhe
保送上垒,bao'song'shang'lei
北京队,bei'jing'dui
本次比赛,ben'ci'bi'sai
本垒,ben'lei
本垒裁判,ben'lei'cai'pan
本垒打,ben'lei'da
本垒王,ben'lei'wang
比赛时间,bi'sai'shi'jian
比赛停止球,bi'sai'ting'zhi'qiu
变速球,bian'su'qiu
边线裁判,bian'xian'cai'pan
并协助,bing'xie'zhu
不触球,bu'chu'qiu
捕手面罩,bu'shou'mian'zhao
擦棒球,ca'bang'qiu
擦球棒,ca'qiu'bang
裁判工作,cai'pan'gong'zuo
残垒数,can'lei'shu
侧面投球,ce'mian'tou'qiu
侧身倒地踏垒,ce'shen'dao'di'ta'lei
长滩舰队,chang'tan'jian'dui
场外球,chang'wai'qiu
持棒触击,chi'bang'chu'ji
持棒挥击,chi'bang'hui'ji
持球碰触,chi'qiu'peng'chu
持球手,chi'qiu'shou
持球踏垒,chi'qiu'ta'lei
持续碰触,chi'xu'peng'chu
出局前,chu'ju'qian
触杀,chu'sha
触身球,chu'shen'qiu
传球,chuan'qiu
次本垒打世界记录,ci'ben'lei'da'shi'jie'ji'lu
打带跑,da'dai'pao
大都会队,da'du'hui'dui
打击率,da'ji'lv
打击手,da'ji'shou
打击顺序,da'ji'shun'xu
打击位置,da'ji'wei'zhi
大联盟,da'lian'meng
打席,da'xi
诞生在,dan'sheng'zai
单手接球,dan'shou'jie'qiu
稻草人式,dao'cao'ren'shi
到达垒位,dao'da'lei'wei
盗垒成功,dao'lei'cheng'gong
盗垒失败,dao'lei'shi'bai
道奇棒球场,dao'qi'bang'qiu'chang
得点圈,de'dian'quan
的平台,de'ping'tai
的球,de'qiu
第八十,di'ba'shi
第二款,di'er'kuan
低肩侧投,di'jian'ce'tou
第六条,di'liu'tiao
低手,di'shou
低手传球,di'shou'chuan'qiu
地中海杯,di'zhong'hai'bei
东部赛区,dong'bu'sai'qu
多伦多蓝鸟队,duo'lun'duo'lan'niao'dui
二垒安打,er'lei'an'da
二垒手,er'lei'shou
犯规行为,fan'gui'xing'wei
防守技术,fang'shou'ji'shu
防守位置,fang'shou'wei'zhi
分及以上,fen'ji'yi'shang
分及以上时,fen'ji'yi'shang'shi
封杀,feng'sha
俯冲倒地踏垒,fu'chong'dao'di'ta'lei
负责记录,fu'ze'ji'lu
改称为,gai'cheng'wei
高飞球,gao'fei'qiu
高飞牺牲打,gao'fei'xi'sheng'da
各分为,ge'fen'wei
个赛区,ge'sai'qu
攻队,gong'dui
