挨都都是滴,ai'dou'dou'shi'di
坝坝儿,ba'ba'er
巴钉,ba'ding
巴都,ba'dou
巴资不得,ba'zi'bu'de
掰人,bai'ren
掰子,bai'zi
板眼多,ban'yan'duo
包白菜,bao'bai'cai
暴暴,bao'bao
抱耳风,bao'er'feng
包谷,bao'gu
包老爷,bao'lao'ye
鲍噻,bao'sai
背四,bei'si
被窝,bei'wo
荸球,bi'qiu
不清白,bu'qing'bai
不要脸,bu'yao'lian
不张事,bu'zhang'shi
策吧,ce'ba
岑达,cen'da
岑头,cen'tou
差火,cha'huo
朝天望,chao'tian'wang
扯皮,che'pi
扯闪,che'shan
臭翻天,chou'fan'tian
丑贩子,chou'fan'zi
出拐达,chu'guai'da
穿钱,chuan'qian
吹吹儿,chui'chui'er
刺鱼,ci'yu
窜窜森,cuan'cuan'sen
搓一顿,cuo'yi'dun
打粑糖,da'ba'tang
哒倒,da'dao
达都,da'dou
打鼓泅,da'gu'qiu
呆期,dai'qi
带一脚,dai'yi'jiao
掸胯子,dan'kua'zi
当中,dang'zhong
得虽,de'sui
嘀哆,di'duo
滴该儿,di'gai'er
颠二倒三,dian'er'dao'san
靛水,dian'shui
掉底子,diao'di'zi
调调森,diao'diao'sen
吊儿啷当,diao'er'lang'dang
叮叮,ding'ding
顶顶糕,ding'ding'gao
饿牢,e'lao
二道贩子,er'dao'fan'zi
耳洞,er'dong
二黄,er'huang
二黄八吊的,er'huang'ba'diao'de
儿子该儿,er'zi'gai'er
发摇,fa'yao
发炸,fa'zha
翻锹,fan'qiao
饭蚊子,fan'wen'zi
放狗屁,fang'gou'pi
飞天,fei'tian
飞天神狂,fei'tian'shen'kuang
袱子,fu'zi
噶噶儿毛头儿,ga'ga'er'mao'tou'er
尬事,ga'shi
该都,gai'dou
赶车,gan'che
干祸,gan'huo
搞不好哒,gao'bu'hao'da
搞不清白,gao'bu'qing'bai
搞不赢哒,gao'bu'ying'da
搞吗儿窝,gao'ma'er'wo
搞事,gao'shi
搞事儿,gao'shi'er
搞邪哒,gao'xie'da
葛哒,ge'da
个狗日的,ge'gou'ri'de
跟着羊儿造反,gen'zhe'yang'er'zao'fan
狗大爷,gou'da'ye
狗打爷,gou'da'ye
鼓出来,gu'chu'lai
姑娘儿,gu'niang'er
姑娘婆婆儿,gu'niang'po'po'er
怪包,guai'bao
怪不得,guai'bu'de
裹人,guo'ren
过细,guo'xi
过早,guo'zao
哈,ha
汗流,han'liu
好吃佬,hao'chi'lao
好吃佬儿,hao'chi'lao'er
好哭佬,hao'ku'lao
河边哈,he'bian'ha
河起,he'qi
黑黢麻拱,hei'qu'ma'gong
黑曲吗拱滴,hei'qu'ma'gong'di
很,hen
哄哄森,hong'hong'sen
后儿,hou'er
呼,hu
胡豆,hu'dou
呼人,hu'ren
糊脏哒,hu'zang'da
划凑儿,hua'cou'er
画猫子,hua'mao'zi
话婆婆儿,hua'po'po'er
花头,hua'tou
画娃娃儿,hua'wa'wa'er
荒货,huang'huo
灰面,hui'mian
豁巴齿,huo'ba'chi
火背,huo'bei
伙计,huo'ji
攉螺丝,huo'luo'si
机都,ji'dou
鸡痱子,ji'fei'zi
鸡公,ji'gong
鸡母,ji'mu
急做包,ji'zuo'bao
家门,jia'men
见不得,jian'bu'de
贱相,jian'xiang
叫花子发欢,jiao'hua'zi'fa'huan
叫花子搁不得隔夜食,jiao'hua'zi'ge'bu'de'ge'ye'shi
角角钱,jiao'jiao'qian
脚鱼,jiao'yu
结火,jie'huo
紧挨,jin'ai
颈扛,jing'kang
精挝儿,jing'wo'er
卷包肉,juan'bao'rou
军馆滴,jun'guan'di
卡卡儿,ka'ka'er
坎坎儿,kan'kan'er
靠饺,kao'jiao
克,ke
客马儿,ke'ma'er
壳其包儿,ke'qi'bao'er
抠痒,kou'yang
阔德性,kuo'de'xing
来神,lai'shen
懒的烧蛇吃,lan'de'shao'she'chi
揽人,lan'ren
老哇,lao'wa
脸巴儿,lian'ba'er
俩瓜,liang'gua
亮火虫,liang'huo'chong
亮壳儿虫,liang'ke'er'chong
两嘴巴铲死你,liang'zui'ba'chan'si'ni
撩疯摄眼的,liao'feng'she'yan'de
咧,lie
列哈儿,lie'ha'er
炉子靠钵子,lu'zi'kao'bo'zi
麻乎子,ma'hu'zi
麻呼子,ma'hu'zi
麻木,ma'mu
马泥光,ma'ni'guang
麻叶儿,ma'ye'er
麦豌,mai'wan
麦丸儿,mai'wan'er
满处唉都是,man'chu'ai'dou'shi
忙的屁颠屁颠的,mang'de'pi'dian'pi'dian'de
卯,mao
毛儿咪,mao'er'mi
冒火,mao'huo
毛急火辣滴,mao'ji'huo'la'di
卯痞,mao'pi
没得解,mei'de'jie
蒙蒙儿亮,meng'meng'er'liang
米刀尺,mi'dao'chi
摸,mo
摸摸嘘嘘,mo'mo'xu'xu
摸蛆,mo'qu
哪个,na'ge
哪个兴地窝,na'ge'xing'de'wo
那哈儿,na'ha'er
哪么来窝,na'me'lai'wo
