阿拉伯文字,a'la'bo'wen'zi
阿缀考,a'zhui'kao
爱称,ai'cheng
暗原因,an'yuan'yin
澳斯特罗尼西亚语言学,ao'si'te'luo'ni'xi'ya'yu'yan'xue
奥斯汀,ao'si'ting
巴尔特,ba'er'te
巴科斯诺尔范式,ba'ke'si'nuo'er'fan'shi
巴科斯诺尔形式,ba'ke'si'nuo'er'xing'shi
巴萨印尼话,ba'sa'yin'ni'hua
巴斯克语,ba'si'ke'yu
把字句,ba'zi'ju
柏柏尔语,bai'bai'er'yu
百科知识,bai'ke'zhi'shi
半闭元音,ban'bi'yuan'yin
半部件词,ban'bu'jian'ci
半辅音,ban'fu'yin
半开元音,ban'kai'yuan'yin
办事交际,ban'shi'jiao'ji
伴随关系,ban'sui'guan'xi
伴随语言,ban'sui'yu'yan
伴随语言特征,ban'sui'yu'yan'te'zheng
伴随语言学,ban'sui'yu'yan'xue
半谐音,ban'xie'yin
半语讲话人,ban'yu'jiang'hua'ren
半元音,ban'yuan'yin
保尔罗瓦结语法,bao'er'luo'wa'jie'yu'fa
包含,bao'han
保留宾语,bao'liu'bin'yu
包络,bao'luo
保姆语,bao'mu'yu
爆破音,bao'po'yin
包容性,bao'rong'xing
保险范围,bao'xian'fan'wei
保险系数,bao'xian'xi'shu
褒义,bao'yi
褒义后缀,bao'yi'hou'zhui
褒义化,bao'yi'hua
被表示成分,bei'biao'shi'cheng'fen
被动不定式,bei'dong'bu'ding'shi
被动的,bei'dong'de
被动语态,bei'dong'yu'tai
背景蕴涵,bei'jing'yun'han
悖论,bei'lun
贝式统计,bei'shi'tong'ji
贝式学习,bei'shi'xue'xi
倍数词,bei'shu'ci
碑文体文字,bei'wen'ti'wen'zi
被证实的形式,bei'zheng'shi'de'xing'shi
被字句,bei'zi'ju
本地话,ben'di'hua
本地语言,ben'di'yu'yan
本国官方语言,ben'guo'guan'fang'yu'yan
本国语,ben'guo'yu
本能论,ben'neng'lun
本体,ben'ti
本体论,ben'ti'lun
本体隐喻,ben'ti'yin'yu
本义,ben'yi
本族语,ben'zu'yu
本族语词,ben'zu'yu'ci
鼻辅音,bi'fu'yin
闭合循环,bi'he'xun'huan
鼻化音,bi'hua'yin
鼻化元音,bi'hua'yuan'yin
比较,bi'jiao
比较重建法,bi'jiao'chong'jian'fa
比较法,bi'jiao'fa
比较级,bi'jiao'ji
比较型概念,bi'jiao'xing'gai'nian
比较音标,bi'jiao'yin'biao
比较语法,bi'jiao'yu'fa
比较语文学,bi'jiao'yu'wen'xue
比较语言学,bi'jiao'yu'yan'xue
闭近似音,bi'jin'si'yin
比例问题,bi'li'wen'ti
比例系列,bi'li'xi'lie
比例性量词,bi'li'xing'liang'ci
闭连音,bi'lian'yin
比率,bi'lv
比拟,bi'ni
鼻破裂音,bi'po'lie'yin
鼻腔,bi'qiang
鼻腔除阻,bi'qiang'chu'zu
必然真理,bi'ran'zhen'li
闭塞音,bi'se'yin
比特,bi'te
鼻咽部,bi'yan'bu
必要,bi'yao
笔译,bi'yi
笔译人员,bi'yi'ren'yuan
鼻音,bi'yin
鼻音对口音,bi'yin'dui'kou'yin
鼻音化,bi'yin'hua
鼻音化的,bi'yin'hua'de
鼻音化消失,bi'yin'hua'xiao'shi
闭音节,bi'yin'jie
比喻,bi'yu
比喻词,bi'yu'ci
比喻引申,bi'yu'yin'shen
闭元音,bi'yuan'yin
鼻元音,bi'yuan'yin
比字句,bi'zi'ju
边除阻,bian'chu'zu
变词,bian'ci
变化,bian'hua
变化词尾表,bian'hua'ci'wei'biao
变换,bian'huan
变换句,bian'huan'ju
边界词,bian'jie'ci
变量,bian'liang
变量赋值函数,bian'liang'fu'zhi'han'shu
变码,bian'ma
编码,bian'ma
编码手段,bian'ma'shou'duan
边破裂音,bian'po'lie'yin
辨认策略,bian'ren'ce'lue
辨认度,bian'ren'du
变体,bian'ti
变体规则,bian'ti'gui'ze
变位,bian'wei
变项,bian'xiang
变项规则,bian'xiang'gui'ze
变项规则分析法,bian'xiang'gui'ze'fen'xi'fa
变形语法转换语法,bian'xing'yu'fa'zhuan'huan'yu'fa
变形转换,bian'xing'zhuan'huan
贬义,bian'yi
变异,bian'yi
贬义成分,bian'yi'cheng'fen
辨义成分,bian'yi'cheng'fen
贬义后缀,bian'yi'hou'zhui
贬义化,bian'yi'hua
变异句,bian'yi'ju
编译器,bian'yi'qi
变异数方差,bian'yi'shu'fang'cha
边音,bian'yin
边音对非边音,bian'yin'dui'fei'bian'yin
变音符,bian'yin'fu
变音符号,bian'yin'fu'hao
变音符元音,bian'yin'fu'yuan'yin
边音区,bian'yin'qu
变音位,bian'yin'wei
边缘成分,bian'yuan'cheng'fen
边缘区域,bian'yuan'qu'yu
边缘语言,bian'yuan'yu'yan
边缘元音,bian'yuan'yuan'yin
表层结构,biao'ceng'jie'gou
表层实现,biao'ceng'shi'xian
表层示意,biao'ceng'shi'yi
表层图解,biao'ceng'tu'jie
表层语法,biao'ceng'yu'fa
表层语言,biao'ceng'yu'yan
表达,biao'da
表达动词,biao'da'dong'ci
表达法,biao'da'fa
表达方式,biao'da'fang'shi
表达类,biao'da'lei
表达手段,biao'da'shou'duan
表达性动作,biao'da'xing'dong'zuo
表达原则,biao'da'yuan'ze
表达职能,biao'da'zhi'neng
标点符号,biao'dian'fu'hao
标杠理论,biao'gang'li'lun
标记,biao'ji
标记成分,biao'ji'cheng'fen
标记类型,biao'ji'lei'xing
标记性,biao'ji'xing
表句词,biao'ju'ci
表面结构,biao'mian'jie'gou
表面字符,biao'mian'zi'fu
标签,biao'qian
表情感叹义,biao'qing'gan'tan'yi
表情意义,biao'qing'yi'yi
表缺词缀,biao'que'ci'zhui
表示成分,biao'shi'cheng'fen
表式剖析图表句法分析,biao'shi'pou'xi'tu'biao'ju'fa'fen'xi
表始体,biao'shi'ti
表述动词实践动词,biao'shu'dong'ci'shi'jian'dong'ci
表现,biao'xian
表现错误,biao'xian'cuo'wu
标写,biao'xie
标星号,biao'xing'hao
标星号的形式,biao'xing'hao'de'xing'shi
表义部分意念成分,biao'yi'bu'fen'yi'nian'cheng'fen
表义功能,biao'yi'gong'neng
表意功能,biao'yi'gong'neng
标音,biao'yin
标引,biao'yin
标引的,biao'yin'de
表音文字,biao'yin'wen'zi
表征,biao'zheng
标志项,biao'zhi'xiang
标准差,biao'zhun'cha
标准的健全,biao'zhun'de'jian'quan
标准的实施,biao'zhun'de'shi'shi
标准的选择,biao'zhun'de'xuan'ze
标准发音,biao'zhun'fa'yin
标准方言,biao'zhun'fang'yan
标准话,biao'zhun'hua
标准化,biao'zhun'hua
标准美国英语,biao'zhun'mei'guo'ying'yu
标准通用标示语言,biao'zhun'tong'yong'biao'shi'yu'yan
标准言语,biao'zhun'yan'yu
标准语,biao'zhun'yu
宾补句,bin'bu'ju
宾格,bin'ge
宾格代词,bin'ge'dai'ci
宾语,bin'yu
宾语移前,bin'yu'yi'qian
宾语语言学,bin'yu'yu'yan'xue
并存关系,bing'cun'guan'xi
并存型,bing'cun'xing
并合,bing'he
并合地区,bing'he'di'qu
并集,bing'ji
病理语言学,bing'li'yu'yan'xue
并列复合词,bing'lie'fu'he'ci
并列复合句,bing'lie'fu'he'ju
并列复句,bing'lie'fu'ju
并列关系,bing'lie'guan'xi
并列结构,bing'lie'jie'gou
并列句,bing'lie'ju
并列连词,bing'lie'lian'ci
并列连接,bing'lie'lian'jie
并列连接词,bing'lie'lian'jie'ci
并列内向结构,bing'lie'nei'xiang'jie'gou
并列下义词,bing'lie'xia'yi'ci
并列语,bing'lie'yu
并列子句,bing'lie'zi'ju
并行句法剖析,bing'xing'ju'fa'pou'xi
博采式,bo'cai'shi
波浪理论,bo'lang'li'lun
波浪说,bo'lang'shuo
波利安现象,bo'li'an'xian'xiang
波形,bo'xing
波形号,bo'xing'hao
波形理论,bo'xing'li'lun
博弈论,bo'yi'lun
博弈论语义学,bo'yi'lun'yu'yi'xue
不被认可,bu'bei'ren'ke
不变词,bu'bian'ci
不变的,bu'bian'de
不变格的,bu'bian'ge'de
布词素区,bu'ci'su'qu
不带音,bu'dai'yin
不带音的,bu'dai'yin'de
不当的语言,bu'dang'de'yu'yan
不定变格,bu'ding'bian'ge
不定词不定式,bu'ding'ci'bu'ding'shi
不定代词,bu'ding'dai'ci
不定冠词,bu'ding'guan'ci
不定过去时,bu'ding'guo'qu'shi
不定式,bu'ding'shi
不定式标记,bu'ding'shi'biao'ji
不定式短语,bu'ding'shi'duan'yu
不定指,bu'ding'zhi
不定指限定词,bu'ding'zhi'xian'ding'ci
布尔,bu'er
部分,bu'fen
部分冠词,bu'fen'guan'ci
部分函数,bu'fen'han'shu
部分生格,bu'fen'sheng'ge
部分所有格,bu'fen'suo'you'ge
部分同化,bu'fen'tong'hua
不规范言语,bu'gui'fan'yan'yu
不规则动词,bu'gui'ze'dong'ci
不规则现象,bu'gui'ze'xian'xiang
不规则现象论,bu'gui'ze'xian'xiang'lun
不规则性,bu'gui'ze'xing
不合乎语法的话语,bu'he'hu'yu'fa'de'hua'yu
不合逻辑,bu'he'luo'ji
不合适,bu'he'shi
不合语法,bu'he'yu'fa
补集,bu'ji
不及物,bu'ji'wu
不及物动词,bu'ji'wu'dong'ci
部件关系,bu'jian'guan'xi
部件结构,bu'jian'jie'gou
不考虑上下文的语法,bu'kao'lv'shang'xia'wen'de'yu'fa
不可分的词缀,bu'ke'fen'de'ci'zhui
不可兼容的或,bu'ke'jian'rong'de'huo
不可接受的,bu'ke'jie'shou'de
不可决定的,bu'ke'jue'ding'de
不可能,bu'ke'neng
不可能世界,bu'ke'neng'shi'jie
不可逆的,bu'ke'ni'de
不可数词,bu'ke'shu'ci
不可数名词,bu'ke'shu'ming'ci
布拉格学派,bu'la'ge'xue'pai
布林网格布尔网格,bu'lin'wang'ge'bu'er'wang'ge
布隆菲尔德,bu'long'fei'er'de
布龙菲尔德学派,bu'long'fei'er'de'xue'pai
布龙菲尔德之后学派,bu'long'fei'er'de'zhi'hou'xue'pai
布罗卡区,bu'luo'ka'qu
不恰当的,bu'qia'dang'de
布若卡氏区,bu'ruo'ka'shi'qu
部首,bu'shou
不受上下文约束的规则,bu'shou'shang'xia'wen'yue'shu'de'gui'ze
不受时空限制的特性,bu'shou'shi'kong'xian'zhi'de'te'xing
不送气,bu'song'qi
不送气塞音,bu'song'qi'se'yin
不调合,bu'tiao'he
不停顿,bu'ting'dun
不完备定理,bu'wan'bei'ding'li
不完全变化动词,bu'wan'quan'bian'hua'dong'ci
不完全动词,bu'wan'quan'dong'ci
不完全句,bu'wan'quan'ju
不完全态未完成态,bu'wan'quan'tai'wei'wan'cheng'tai
不完全文字,bu'wan'quan'wen'zi
不相容析取,bu'xiang'rong'xi'qu
不相容性,bu'xiang'rong'xing
不谐和音,bu'xie'he'yin
不一致性,bu'yi'zhi'xing
补语,bu'yu
补语标记,bu'yu'biao'ji
不语症,bu'yu'zheng
不悦耳的配音,bu'yue'er'de'pei'yin
不自然的,bu'zi'ran'de
不自然性,bu'zi'ran'xing
补足成分,bu'zu'cheng'fen
补足性片断,bu'zu'xing'pian'duan
补足语,bu'zu'yu
不遵守语言习惯的,bu'zun'shou'yu'yan'xi'guan'de
擦音,ca'yin
猜测,cai'ce
采访,cai'fang
参量,can'liang
参量语言学,can'liang'yu'yan'xue
参数,can'shu
参项,can'xiang
参与成分,can'yu'cheng'fen
残余地区,can'yu'di'qu
残余区域,can'yu'qu'yu
参与者,can'yu'zhe
参照,can'zhao
参照点,can'zhao'dian
参照时间,can'zhao'shi'jian
操多语者,cao'duo'yu'zhe
草书,cao'shu
操双语者,cao'shuang'yu'zhe
草写体文字,cao'xie'ti'wen'zi
操作,cao'zuo
操作定义,cao'zuo'ding'yi
操作符因子,cao'zuo'fu'yin'zi
操作数,cao'zuo'shu
测听术,ce'ting'shu
测验,ce'yan
层次,ceng'ci
层次的抽样方法,ceng'ci'de'chou'yang'fang'fa
层次构造,ceng'ci'gou'zao
层次结构,ceng'ci'jie'gou
层次省略,ceng'ci'sheng'lue
层次语法,ceng'ci'yu'fa
层递,ceng'di
层第现象,ceng'di'xian'xiang
插词法,cha'ci'fa
插旗式,cha'qi'shi
插入,cha'ru
插入成分,cha'ru'cheng'fen
插入的,cha'ru'de
插入分句,cha'ru'fen'ju
插入规则,cha'ru'gui'ze
插入句,cha'ru'ju
插入性句子,cha'ru'xing'ju'zi
插入音,cha'ru'yin
插入音元音或辅音,cha'ru'yin'yuan'yin'huo'fu'yin
阐述,chan'shu
阐述类,chan'shu'lei
颤音,chan'yin
长度,chang'du
长短短格,chang'duan'duan'ge
长短格,chang'duan'ge
长辅音,chang'fu'yin
唱歌说,chang'ge'shuo
常规选择,chang'gui'xuan'ze
场合性,chang'he'xing
场合语体,chang'he'yu'ti
敞开性,chang'kai'xing
常量,chang'liang
常量词,chang'liang'ci
常量函数,chang'liang'han'shu
场论,chang'lun
长期记忆,chang'qi'ji'yi
常识语意学,chang'shi'yu'yi'xue
常态分布,chang'tai'fen'bu
长音符,chang'yin'fu
长音符号,chang'yin'fu'hao
常用句,chang'yong'ju
场域范围,chang'yu'fan'wei
长元音,chang'yuan'yin
长元音符,chang'yuan'yin'fu
超集,chao'ji
超句语法,chao'ju'yu'fa
超句子的连词,chao'ju'zi'de'lian'ci
超内涵结构,chao'nei'han'jie'gou
嘲弄形式,chao'nong'xing'shi
超切分特征,chao'qie'fen'te'zheng
超切分音位,chao'qie'fen'yin'wei
超切分字素,chao'qie'fen'zi'su
超时,chao'shi
超文件超文本,chao'wen'jian'chao'wen'ben
超音段成分,chao'yin'duan'cheng'fen
超音段的,chao'yin'duan'de
超音段字素,chao'yin'duan'zi'su
超音位,chao'yin'wei
超语言,chao'yu'yan
超语言特征,chao'yu'yan'te'zheng
超语言学,chao'yu'yan'xue
超越,chao'yue
陈词滥调,chen'ci'lan'diao
陈述,chen'shu
陈述句,chen'shu'ju
陈述式,chen'shu'shi
陈述性算子,chen'shu'xing'suan'zi
陈述性知识,chen'shu'xing'zhi'shi
陈述语气,chen'shu'yu'qi
衬托,chen'tuo
衬托型反馈形式,chen'tuo'xing'fan'kui'xing'shi
陈望道,chen'wang'dao
衬音,chen'yin
程度词,cheng'du'ci
