闭环控制,bi'huan'kong'zhi
比例控制,bi'li'kong'zhi
比例调节,bi'li'tiao'jie
采集系统,cai'ji'xi'tong
串级控制,chuan'ji'kong'zhi
串级前馈控制,chuan'ji'qian'kui'kong'zhi
积分时间,ji'fen'shi'jian
监控系统,jian'kong'xi'tong
监视系统,jian'shi'xi'tong
开环控制,kai'huan'kong'zhi
控制单元,kong'zhi'dan'yuan
控制器,kong'zhi'qi
控制系统,kong'zhi'xi'tong
模糊控制,mo'hu'kong'zhi
配方管理,pei'fang'guan'li
前馈控制,qian'kui'kong'zhi
冗余系统,rong'yu'xi'tong
顺序控制,shun'xu'kong'zhi
调节,tiao'jie
微分时间,wei'fen'shi'jian
自动化,zi'dong'hua
自动化工业控制,zi'dong'hua'gong'ye'kong'zhi
自动化工业控制系统,zi'dong'hua'gong'ye'kong'zhi'xi'tong
